,FCA
index,A2A
commit2--commit3,3.846153846
commit3--commit4,5.504587156
commit4--commit5,100
commit5--commit6,82.40740741
commit6--commit7,84.7826087
commit7--commit8,100
commit8--commit9,7.042253521
commit9--commit10,7.947019868
commit10--commit11,7.947019868
commit11--commit12,89.43661972
commit12--commit13,14.94252874
commit13--commit14,100
commit14--commit15,95.05494505
commit15--commit16,6.097560976
commit16--commit17,8.839779006
commit17--commit18,8.839779006
commit18--commit19,8.839779006
commit19--commit20,80.39215686
commit20--commit21,100
commit21--commit22,100
commit22--commit23,80.55555556
commit23--commit24,82.53968254
commit24--commit25,100
commit25--commit26,30.44982699
commit26--commit27,71.68367347
commit27--commit28,100
commit28--commit29,100
commit29--commit30,45.34313725
commit30--commit31,96.03960396
commit31--commit32,98.03921569
commit32--commit33,98.28850856
commit33--commit34,96.74418605
commit34--commit35,100
commit35--commit36,96.37188209
commit36--commit37,98.39816934
commit37--commit38,100
commit38--commit39,100
commit39--commit40,100
commit40--commit41,97.99554566
commit41--commit42,97.35099338
commit42--commit43,100
commit43--commit44,100
commit44--commit45,100
commit45--commit46,100
commit46--commit47,100
commit47--commit48,100
commit48--commit49,100
commit49--commit50,100
commit50--commit51,100
commit51--commit52,98.21826281
commit52--commit53,99.33035714
commit53--commit54,100
commit54--commit55,97.33333333
commit55--commit56,93.12638581
commit56--commit57,93.12638581
commit57--commit58,100
commit58--commit59,100
commit59--commit60,100
commit60--commit61,100
commit61--commit62,100
commit62--commit63,90.13157895
commit63--commit64,100
commit64--commit65,100
commit65--commit66,100
commit66--commit67,100
commit67--commit68,100
commit68--commit69,100
commit69--commit70,100
commit70--commit71,100
commit71--commit72,100
commit72--commit73,100
commit73--commit74,100
commit74--commit75,100
commit75--commit76,100
commit76--commit77,98.03921569
commit77--commit78,98.03921569
commit78--commit79,93.11064718
commit79--commit80,100
commit80--commit81,89.5049505
commit81--commit82,89.5049505
commit82--commit83,100
commit83--commit84,89.5049505
commit84--commit85,100
commit85--commit86,100
commit86--commit87,100
commit87--commit88,92.36947791
commit88--commit89,84.98985801
commit89--commit90,85.59837728
commit90--commit91,92.85714286
commit91--commit92,97.59036145
commit92--commit93,99.6
commit93--commit94,93.77358491
commit94--commit95,100
commit95--commit96,99.82078853
commit96--commit97,100
commit97--commit98,100
commit98--commit99,92.83154122
commit99--commit100,100
commit100--commit101,100
commit101--commit102,100
commit102--commit103,97.49552773
commit103--commit104,100
commit104--commit105,100
commit105--commit106,100
commit106--commit107,95.89552239
commit107--commit108,92.76190476
commit108--commit109,87.36263736
commit109--commit110,100
commit110--commit111,100
commit111--commit112,99.64285714
commit112--commit113,100
commit113--commit114,95.32258065
commit114--commit115,100
commit115--commit116,98.52724595
commit116--commit117,95.67233385
commit117--commit118,100
commit118--commit119,100
commit119--commit120,95.1986755
commit120--commit121,98.99497487
commit121--commit122,100
commit122--commit127,98.99833055
commit127--commit128,98.49749583
commit128--commit129,99.32885906
commit129--commit130,89.05472637
commit130--commit131,95.90163934
commit131--commit132,97.55700326
commit132--commit133,100
commit133--commit134,89.79238754
commit134--commit135,87.82051282
commit135--commit136,87.09677419
commit136--commit137,100
commit137--commit138,87.98701299
commit138--commit139,87.09677419
commit139--commit140,98.68913858
commit140--commit141,87.98701299
commit141--commit142,94.44444444
commit142--commit144,100
commit144--commit145,100
commit145--commit146,96.01837672
commit146--commit147,100
commit147--commit148,100
commit148--commit150,100
commit150--commit151,100
commit151--commit152,100
commit152--commit153,100
commit153--commit154,99.375
commit154--commit155,100
commit155--commit156,100
commit156--commit157,100
commit157--commit158,99.22600619
commit158--commit159,99.07407407
commit159--commit160,99.23076923
commit160--commit161,100
commit161--commit162,100
commit162--commit163,100
commit163--commit164,99.84756098
commit164--commit165,94.1089838
commit165--commit166,100
commit166--commit167,95.93613933
commit167--commit168,100
commit168--commit169,100
commit169--commit170,100
commit170--commit171,100
commit171--commit172,100
commit172--commit173,100
commit173--commit174,100
commit174--commit175,100
commit175--commit176,100
commit176--commit177,100
commit177--commit178,90
commit178--commit179,90
commit179--commit180,90
commit180--commit181,100
commit181--commit182,100
commit182--commit183,100
commit183--commit184,100
commit184--commit186,100
commit186--commit188,100
commit188--commit196,100
commit196--commit197,93.20557491
commit197--commit198,100
commit198--commit201,100
commit201--commit202,93.84615385
commit202--commit203,100
commit203--commit204,100
commit204--commit205,100
commit205--commit206,100
commit206--commit208,100
commit208--commit211,100
commit211--commit212,100
commit212--commit213,100
commit213--commit217,100
commit217--commit218,100
commit218--commit219,100
commit219--commit220,100
commit220--commit222,100
commit222--commit225,100
commit225--commit226,100
commit226--commit228,100
commit228--commit229,100
commit229--commit230,99.34318555
commit230--commit231,100
commit231--commit232,100
commit232--commit233,98.2171799
commit233--commit234,98.2171799
commit234--commit235,98.2171799
commit235--commit236,100
commit236--commit237,100
commit237--commit238,100
commit238--commit239,100
commit239--commit240,95.44159544
commit240--commit241,99.11054638
commit241--commit242,99.74747475
commit242--commit243,100
commit243--commit244,100
commit244--commit245,99.13793103
commit245--commit246,100
commit246--commit247,57.96344648
commit247--commit248,100
commit248--commit249,99.57081545
commit249--commit250,100
commit250--commit251,100
commit251--commit252,100
commit252--commit253,100
commit253--commit254,100
commit254--commit255,100
commit255--commit256,98.69375907
commit256--commit257,100
commit257--commit258,100
commit258--commit259,100
commit259--commit260,99.55621302
commit260--commit261,100
commit261--commit262,100
commit262--commit263,100
commit263--commit264,100
commit264--commit265,100
commit265--commit266,99.70326409
commit266--commit267,96.60265879
commit267--commit268,98.83211679
commit268--commit269,98.83211679
commit269--commit270,94.19087137
commit270--commit271,84.53608247
commit271--commit272,100
commit272--commit273,99.36628644
commit273--commit274,97.79681763
commit274--commit275,100
commit275--commit276,100
commit276--commit277,100
commit277--commit278,94.86215539
commit278--commit279,99.47089947
commit279--commit280,99.60422164
commit280--commit281,100
commit281--commit282,100
commit282--commit283,99.20844327
commit283--commit284,97.16216216
commit284--commit285,96.79218968
commit285--commit286,100
commit286--commit287,100
commit287--commit288,100
commit288--commit289,100
commit289--commit290,99.00990099
commit290--commit291,100
commit291--commit292,99.57446809
commit292--commit293,100
commit293--commit294,98.73595506
commit294--commit295,99.44521498
commit295--commit296,99.44521498
commit296--commit297,99.58275382
commit297--commit298,100
commit298--commit299,100
commit299--commit300,100
commit300--commit301,100
commit301--commit302,99.31034483
commit302--commit303,98.90410959
commit303--commit304,99.31034483
commit304--commit305,99.31034483
commit305--commit306,100
commit306--commit307,98.37177748
commit307--commit308,100
commit308--commit309,100
