NMF,NAD,CFC,NCC,NMC,a2a
1,1,35,984,12,99.28057554
1,0,35,984,12,99.28057554
0,0,0,0,0,100
3,1,14,345,3,90.68322981
0,0,0,0,0,100
19,0,33,1563,34,90.19607843
3,0,6,190,2,100
2,0,3,65,1,100
4,0,24,797,6,98.35390947
0,0,0,0,0,100
2,0,3,279,2,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,8,96,0,100
0,0,0,0,0,100
9,0,4,210,2,100
0,0,0,0,0,100
6,0,31,1169,6,96.26556017
0,0,0,0,0,100
4,0,1,70,0,100
2,0,15,221,6,100
0,0,0,0,0,100
12,3,8,649,7,97.1659919
14,0,55,1383,19,100
1,0,5,127,2,100
15,3,56,1348,22,97.265625
4,0,0,6,0,100
0,0,0,0,0,100
2,0,10,356,6,100
3,0,1,15,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,18,0,100
0,0,0,0,0,100
4,2,14,426,6,92.33226837
14,0,24,1001,5,98.13333333
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
18,2,207,7872,96,91.44542773
2,2,0,0,0,98.63013699
25,0,0,226,0,84.64419476
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,4,91,4,100
0,0,0,0,0,100
2,0,0,18,0,100
23,4,61,2319,6,77.13178295
0,0,0,0,0,100
14,9,467,16601,190,87.61061947
0,0,0,0,0,100
1,0,40,577,0,99.26650367
0,0,0,0,0,100
1,0,1,3,0,100
2,0,0,288,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,0,0,0,100
0,0,0,0,0,100
1,0,0,9,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,11,303,4,93.77682403
0,0,0,0,0,100
1,0,0,1,0,100
24,10,60,289,32,93.46642468
61,0,0,6,0,92.90187891
0,0,0,0,0,100
15,1,2,135,3,97.59358289
0,0,0,0,0,100
12,6,56,2544,38,96.40102828
0,0,0,0,0,100
8,0,0,0,0,100
1,0,6,62,1,100
6,0,3,164,5,100
6,3,21,1116,17,93.99538106
2,1,4,948,4,98.72881356
3,1,6,381,2,99.59016393
0,0,0,0,0,100
0,0,0,0,0,100
1,0,3,82,0,100
2,0,0,0,0,100
8,0,21,932,17,100
2,0,2,29,0,100
0,0,0,0,0,100
2,2,74,2409,23,96.7462039
23,2,40,1514,22,98.39449541
0,0,0,0,0,100
5,0,4,320,7,100
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
12,4,14,808,11,94.9339207
1,0,4,83,1,100
0,0,0,0,0,100
1,0,1,19,1,100
5,0,3,85,1,100
0,0,0,0,0,100
25,2,48,1145,20,94.9044586
2,0,2,47,2,100
0,0,0,0,0,100
1,0,8,290,6,100
0,0,0,0,0,100
3,3,23,1143,14,98.54469854
3,1,3,189,2,96.57794677
0,0,0,0,0,100
0,0,0,0,0,100
3,1,3,146,0,77.59433962
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,7,0,100
3,1,2,75,2,76.04938272
3,0,0,0,0,100
0,0,0,0,0,100
2,0,6,91,0,100
24,0,2,141,2,99.23954373
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,4,29,0,100
2,0,4,71,2,100
3,1,12,660,9,99.62121212
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,2,10,392,4,98.88682746
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,13,543,7,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
7,0,8,436,5,78.73303167
2,0,4,138,1,100
16,0,11,80,3,90.60402685
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,0,151,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,1,6,309,1,99.23664122
0,0,0,0,0,100
2,0,6,556,5,98.87218045
2,0,0,0,0,100
3,0,0,27,0,100
14,1,114,3432,65,74.56359102
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,6,220,4,100
4,0,5,86,2,94.83101392
0,0,0,0,0,100
8,0,19,549,7,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,20,640,6,100
0,0,0,0,0,100
5,1,9,176,14,92.91666667
6,0,7,207,3,100
8,1,15,501,7,99.59183673
2,0,3,106,2,100
5,0,10,545,2,100
2,0,3,193,0,100
2,0,1,131,1,100
0,0,0,0,0,100
2,0,0,14,0,100
4,0,0,21,0,100
0,0,0,0,0,100
0,0,0,0,0,100
11,9,50,3027,30,92.63565891
10,1,13,271,7,97.61029412
4,0,2,76,2,100
3,0,4,228,0,99.81751825
4,2,30,1018,12,96.92585895
1,0,0,1,0,100
1,0,0,6,0,100
6,3,24,1664,17,96.58703072
0,0,0,0,0,100
0,0,0,0,0,100
2,2,8,421,8,98.14814815
2,0,0,17,0,100
0,0,0,0,0,100
0,0,0,0,0,100
10,10,94,4550,68,95.93908629
0,0,0,0,0,100
