CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP
22c72f70298ae5b2edd636ddeb363d6d8f750685,1,136,0,JsonSchema.java,136,0,0,1,0,1,1,0,1,1,0,0,2,2
e8a0c370ddd6fb6bb70c0742ad7e864b819c2d08,1,0,136,JsonSchema.java,0,136,115,0,0,1,4,0,1,1,0,115,10,10
8edb62db76579f58d3713e6dde9345363153d2df,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,11,11
e2b3d669da0efd84d73805d0fe11383b049ca3de,3,154,42,src/java/org/apache/avro/io/ValueReader.java,50,26,70,1,0,1,4,2,1,3,1.554682498,111,12,12
,,,,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,31,16,41,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/io/TestValueReader.java,73,0,0,,,,,,,,,,,
fc29ce8b138b408b3ae054c2bfca61cc08c0c232,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7947e7367bfcbd96851ef986d99ef170ee09c992,19,509,232,src/java/org/apache/avro/Protocol.java,14,6,212,0,0,1,4,0,1,5,3.657421711,2121,13,13
,,,,src/java/org/apache/avro/Schema.java,70,16,350,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericData.java,7,4,217,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericDatumReader.java,108,50,202,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericDatumWriter.java,93,31,114,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericRequestor.java,3,3,29,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericResponder.java,10,9,23,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectData.java,23,13,148,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumReader.java,34,12,65,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,19,9,35,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectRequestor.java,15,7,46,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectResponder.java,18,13,82,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificCompiler.java,13,12,170,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificDatumReader.java,36,14,95,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificDatumWriter.java,6,6,19,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificRequestor.java,9,6,27,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/RandomData.java,12,5,100,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestDataFile.java,18,15,98,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestSchema.java,1,1,89,,,,,,,,,,,
9b14a2a7da50853d869d0fa0f153c6dbcbd4a2de,3,48,19,src/java/org/apache/avro/specific/ProtocolTask.java,28,7,51,0,0,1,5,10,1,1,1.331072575,231,14,14
,,,,src/java/org/apache/avro/specific/SchemaTask.java,3,3,8,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificCompiler.java,17,9,172,,,,,,,,,,,
e6d1fca400c0f5627f81f0f673ba06393b8745d0,2,9,0,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,2,0,48,0,0,1,5,12,1,2,0.764204507,130,15,15
,,,,src/test/java/org/apache/avro/TestProtocolSpecific.java,7,0,82,,,,,,,,,,,
952db93552b995be8af8a9c54f7c4ab8c152a364,4,47,152,src/java/org/apache/avro/reflect/ReflectDatumReader.java,25,41,83,0,0,1,5,0,1,2,1.586470743,260,16,16
,,,,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,6,17,43,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificDatumReader.java,13,88,114,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificDatumWriter.java,3,6,20,,,,,,,,,,,
