,FCA,,A2A
index,A2A,,99.28057554
commit2--commit3,99.28057554,,99.28057554
commit3--commit11,99.28057554,,100
commit11--commit12,100,,90.68322981
commit12--commit13,90.68322981,,100
commit13--commit14,100,,90.19607843
commit14--commit15,90.19607843,,100
commit15--commit16,100,,100
commit16--commit17,100,,98.35390947
commit17--commit18,98.35390947,,100
commit18--commit19,100,,100
commit19--commit20,100,,100
commit20--commit21,100,,100
commit21--commit22,100,,100
commit22--commit23,100,,100
commit23--commit24,100,,100
commit24--commit25,100,,100
commit25--commit26,100,,96.26556017
commit26--commit27,96.26556017,,100
commit27--commit28,100,,100
commit28--commit29,100,,100
commit29--commit30,100,,100
commit30--commit31,100,,97.1659919
commit31--commit32,97.1659919,,100
commit32--commit33,100,,100
commit33--commit34,100,,97.265625
commit34--commit35,97.265625,,100
commit35--commit36,100,,100
commit36--commit37,100,,100
commit37--commit38,100,,100
commit38--commit39,100,,100
commit39--commit40,100,,100
commit40--commit41,100,,100
commit41--commit42,100,,100
commit42--commit43,100,,92.33226837
commit43--commit44,92.33226837,,98.13333333
commit44--commit45,98.13333333,,100
commit45--commit46,100,,100
commit46--commit47,100,,100
commit47--commit48,100,,100
commit48--commit49,100,,91.44542773
commit49--commit50,91.44542773,,98.63013699
commit50--commit51,98.63013699,,84.64419476
commit51--commit52,84.64419476,,100
commit52--commit53,100,,100
commit53--commit54,100,,100
commit54--commit55,100,,100
commit55--commit56,100,,100
commit56--commit57,100,,100
commit57--commit58,100,,77.13178295
commit58--commit59,77.13178295,,100
commit59--commit60,100,,87.61061947
commit60--commit61,87.61061947,,100
commit61--commit62,100,,99.26650367
commit62--commit63,99.26650367,,100
commit63--commit64,100,,100
commit64--commit65,100,,100
commit65--commit66,100,,100
commit66--commit67,100,,100
commit67--commit68,100,,100
commit68--commit69,100,,100
commit69--commit70,100,,100
commit70--commit71,100,,100
commit71--commit72,100,,100
commit72--commit73,100,,100
commit73--commit74,100,,100
commit74--commit75,100,,100
commit75--commit76,100,,100
commit76--commit77,100,,100
commit77--commit78,100,,100
commit78--commit79,100,,100
commit79--commit80,100,,100
commit80--commit81,100,,100
commit81--commit82,100,,100
commit82--commit83,100,,93.77682403
commit83--commit84,93.77682403,,100
commit84--commit85,100,,100
commit85--commit86,100,,93.46642468
commit86--commit87,93.46642468,,92.90187891
commit87--commit88,92.90187891,,100
commit88--commit89,100,,97.59358289
commit89--commit90,97.59358289,,100
commit90--commit91,100,,96.40102828
commit91--commit92,96.40102828,,100
commit92--commit93,100,,100
commit93--commit94,100,,100
commit94--commit95,100,,100
commit95--commit96,100,,93.99538106
commit96--commit97,93.99538106,,98.72881356
commit97--commit98,98.72881356,,99.59016393
commit98--commit99,99.59016393,,100
commit99--commit100,100,,100
commit100--commit101,100,,100
commit101--commit102,100,,100
commit102--commit103,100,,100
commit103--commit104,100,,100
commit104--commit105,100,,100
commit105--commit106,100,,96.7462039
commit106--commit107,96.7462039,,98.39449541
commit107--commit108,98.39449541,,100
commit108--commit109,100,,100
commit109--commit110,100,,100
commit110--commit111,100,,100
commit111--commit112,100,,100
commit112--commit113,100,,100
commit113--commit114,100,,100
commit114--commit115,100,,100
commit115--commit116,100,,100
commit116--commit117,100,,100
commit117--commit118,100,,94.9339207
commit118--commit119,94.9339207,,100
commit119--commit120,100,,100
commit120--commit121,100,,100
commit121--commit122,100,,100
commit122--commit123,100,,100
commit123--commit124,100,,94.9044586
commit124--commit125,94.9044586,,100
commit125--commit126,100,,100
commit126--commit127,100,,100
commit127--commit128,100,,100
commit128--commit129,100,,98.54469854
commit129--commit130,98.54469854,,96.57794677
commit130--commit131,96.57794677,,100
commit131--commit132,100,,100
commit132--commit133,100,,77.59433962
commit133--commit134,77.59433962,,100
commit134--commit135,100,,100
commit135--commit136,100,,100
commit136--commit137,100,,76.04938272
commit137--commit138,76.04938272,,100
commit138--commit139,100,,100
commit139--commit140,100,,100
commit140--commit141,100,,99.23954373
commit141--commit142,99.23954373,,100
commit142--commit143,100,,100
commit143--commit144,100,,100
commit144--commit145,100,,100
commit145--commit146,100,,100
