CommitID,FileNum,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,A2A
22c72f70298ae5b2edd636ddeb363d6d8f750685,1,136,0,136,1,0,1,1,1,0,1,1,0,0,2,2,35,0,35,984,0,984,12,0,12,99.28057554
e8a0c370ddd6fb6bb70c0742ad7e864b819c2d08,1,0,136,136,0,0,0,1,4,0,1,1,0,115,10,10,0,35,35,0,984,984,0,12,12,99.28057554
8edb62db76579f58d3713e6dde9345363153d2df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,100
e2b3d669da0efd84d73805d0fe11383b049ca3de,3,154,42,112,1,0,1,1,4,2,1,3,1.554682498,111,12,12,38,24,14,1234,889,345,17,14,3,90.68322981
fc29ce8b138b408b3ae054c2bfca61cc08c0c232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7947e7367bfcbd96851ef986d99ef170ee09c992,19,509,232,277,0,0,0,1,4,0,1,5,3.657421711,2121,13,13,701,668,33,19132,17569,1563,273,239,34,90.19607843
9b14a2a7da50853d869d0fa0f153c6dbcbd4a2de,3,48,19,29,0,0,0,1,5,10,1,1,1.331072575,231,14,14,73,67,6,2187,1997,190,22,20,2,100
e6d1fca400c0f5627f81f0f673ba06393b8745d0,2,9,0,9,0,0,0,1,5,12,1,2,0.764204507,130,15,15,25,22,3,977,912,65,17,16,1,100
952db93552b995be8af8a9c54f7c4ab8c152a364,4,47,152,105,0,0,0,1,5,0,1,2,1.586470743,260,16,16,33,57,24,1226,2023,797,22,28,6,98.35390947
288a8cfdcf6bbba131fb5414663ad84b4dc35d0a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
9bd461944d016a23876a28680c3ec405b8c8ff55,2,60,18,42,0,0,0,2,5,0,1,1,0.999525689,188,2,2,33,30,3,1729,1450,279,22,20,2,100
c201bb7b930d8c5be3e5b5c52a3f51192f9ebb14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,100
55574fe9a59e76e111260d28de09ed1dec04d478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
5183bd9feb3a288632337de3533d36558248de61,5,61,51,10,0,0,0,1,6,38,1,3,1.917058475,880,18,5,250,242,8,6921,6825,96,135,135,0,100
0abe6d6ae36cc5f9cffd9047ed76baf13f2d0ca1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,100
87f3bff4097e2782e8ebd6b3446ed5192f7e3934,9,42,60,18,0,0,0,1,6,24,1,5,2.625823335,1756,20,7,584,588,4,14344,14554,210,209,211,2,100
75b5c9a86bf1d342b848ecd629d244f2942c904c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,0,0,0,0,0,0,0,100
d1a9521495c8ca1ed7f6e6f3437ae7e5a58f1b72,6,174,43,131,0,0,0,1,7,36,1,4,2.108248129,1309,22,1,477,446,31,11833,10664,1169,170,164,6,96.26556017
20633ecbe5bb3787857494b8476f612c7f7fddcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,100
32a1fcb5682049aacfbd06c32b630f166c23f643,4,13,5,8,0,0,0,1,7,82,1,2,1.904875005,357,24,2,76,75,1,3040,2970,70,33,33,0,100
94335e391efff84c65e2d9f7bfd57c2e9f34c9e4,2,56,31,25,0,0,0,1,8,4,1,1,0.090543853,633,25,3,220,205,15,5281,5060,221,111,105,6,100
13ba975ab15341d7ecda31b2e8870d68084828e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,100
ff6e70c84c24f4c0e86dbaa3b4fc969d5660f6da,12,279,129,150,3,0,3,1,8,41,1,3,3.473771211,776,27,5,130,122,8,6723,6074,649,75,68,7,97.1659919
f42255b1f8bbf661680383677e70135fd6ac8f2a,14,229,29,200,0,0,0,1,9,31,1,5,2.828898841,2344,28,6,763,708,55,20657,19274,1383,283,264,19,100
b061e6203def8a518b23fc8863126b0b3d43002b,1,0,20,20,0,0,0,1,6,107,1,1,0,45,29,7,5,10,5,224,351,127,5,7,2,100
70ffe34fe20ea9b6a85995b29b6d1a8c25a43a83,15,255,19,236,3,0,3,1,10,0,1,5,3.351408129,2243,30,8,745,689,56,19858,18510,1348,270,248,22,97.265625
998a811d2a0506a34aeb3f9bdb263cf2d89979fb,4,34,34,0,0,0,0,1,11,2,1,3,1.511210352,1290,31,9,454,454,0,10716,10722,6,172,172,0,100
513251ce736834d9507cd41ceb4cb73af9de0cd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,0,0,0,0,0,0,0,0,100
2b7ea9cc6054a9408457fdd01a5a82181144c992,2,53,2,51,0,0,0,1,12,0,1,2,0.684038436,692,33,11,231,221,10,5743,5387,356,127,121,6,100
ac3528e555e4d896d275f9213c755ace0f549a15,3,13,9,4,0,0,0,1,13,4,1,2,0.865856617,851,34,12,249,248,1,6600,6585,15,135,135,0,100
dc20712f258623f6d9d8977f2a8f9100c279e5f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0,0,0,0,0,0,0,0,100
60dabd6f9cae2a62554e9de8aff904bc07acb9dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,0,0,0,0,0,0,0,0,0,100
c4c9689155ae22f1cab7f9f9bb9f23abbd807fac,2,2,1,1,0,0,0,1,14,14,1,2,0.918295834,744,37,11,232,232,0,5776,5758,18,127,127,0,100
c5aa64581b100d2e7d6ab7ab4e29734551f3c1ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10,0,0,0,0,0,0,0,0,0,100
f806cb0b94a073c667debbcf54fc91d21ee85ccc,4,111,2,109,2,0,2,2,11,16,1,2,1.358747225,341,39,11,95,81,14,3257,2831,426,35,29,6,92.33226837
5e4733ecf7b1102772af70a2255924c3903653c0,14,244,106,138,0,0,0,1,12,68,1,5,2.849562728,1409,40,12,350,326,24,12230,11229,1001,134,129,5,98.13333333
11c84aeb7b115b0108b193f1bbc7f8beec41e91b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,12,0,0,0,0,0,0,0,0,0,100
111ac06544ec45b8f2b17f224e0b6b4b15a0219e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,13,0,0,0,0,0,0,0,0,0,100
c787721da830d7fc22cc49da4843f60685231b2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,14,0,0,0,0,0,0,0,0,0,100
0282ee3550dd4d7c3ea05ad816a16c1bb125005c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,15,0,0,0,0,0,0,0,0,0,100
