NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
7,1,10,526,7,99.65870307
12,8,112,5534,30,96.52892562
0,0,0,0,0,100
148,66,872,43512,213,72.18543046
0,0,0,0,0,100
3,0,27,1855,10,98.86492622
0,0,0,0,0,100
1,0,5,247,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,2,10,557,6,97.75028121
0,0,0,0,0,100
2,0,20,745,2,98.66962306
0,0,0,0,0,100
1,0,0,6,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,42,0,100
4,0,0,26,0,100
0,0,0,0,0,100
1,1,15,557,7,97.97979798
0,0,0,0,0,100
2,1,5,619,2,99.77375566
1,0,0,0,0,100
2,0,0,2,0,100
0,0,0,0,0,100
4,1,5,463,3,99.77477477
1,0,0,0,0,100
0,0,0,0,0,100
1,0,0,8,0,100
1,0,0,0,0,100
12,4,44,1672,23,96.92307692
1,0,1,8,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,14,425,7,100
0,0,0,0,0,100
4,0,2,29,3,100
0,0,0,0,0,100
1,0,0,16,0,100
2,2,17,1103,10,99.46524064
0,0,0,0,0,100
1,0,4,108,0,97.95037756
4,1,16,760,4,99.78165939
1,0,0,6,0,100
3,1,14,833,3,99.7826087
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,68,0,100
1,0,4,61,0,100
1,0,3,61,0,100
3,2,24,998,18,99.46062567
0,0,0,0,0,100
1,0,0,35,0,100
2,0,5,146,0,100
1,0,0,4,0,100
1,0,1,43,0,100
1,0,0,25,0,100
3,0,7,382,1,100
0,0,0,0,0,100
3,0,0,0,0,100
8,0,0,61,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,27,0,100
0,0,0,0,0,100
3,1,6,1051,3,99.78586724
1,0,0,10,0,100
1,0,0,56,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
208,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,6,516,3,99.78586724
1,0,2,28,0,100
2,0,1,11,1,100
2,1,11,471,2,98.00838574
1,0,1,50,0,100
1,0,1,75,0,100
3,2,23,1293,6,99.3877551
0,0,0,0,0,100
0,0,0,0,0,100
9,2,13,487,6,99.19110212
2,0,0,113,0,100
0,0,0,0,0,100
15,14,83,3747,50,96.88109162
0,0,0,0,0,100
2,2,12,647,7,99.52963311
2,0,4,127,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
2,0,0,8,0,100
1,0,6,82,4,100
11,7,88,3306,43,98.33948339
0,0,0,0,0,100
3,1,49,2342,13,99.54669084
1,0,2,61,0,100
0,0,0,0,0,100
1,0,1,8,0,100
4,0,0,108,0,100
1,0,0,15,0,100
0,0,0,0,0,100
2,2,30,1185,9,99.54954955
8,2,15,888,8,99.28762244
0,0,0,0,0,100
2,2,24,1322,8,99.64788732
0,0,0,0,0,100
1,0,0,6,0,100
1,0,26,643,8,100
1,0,1,22,0,100
1,0,1,16,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
13,6,182,9113,71,97.08818636
0,0,0,0,0,100
0,0,0,0,0,100
11,0,0,69,0,99.36204147
1,1,6,126,4,99.27652733
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,18,0,100
1,0,6,215,1,100
0,0,0,0,0,100
2,1,20,925,3,99.67923015
0,0,0,0,0,100
1,0,1,14,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,5,185,1,100
5,0,2,141,1,100
1,0,2,42,0,100
1,0,0,2,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,4,40,0,100
1,0,0,57,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,61,0,100
1,0,2,66,0,100
1,1,2,292,1,99.36204147
0,0,0,0,0,100
1,0,0,1,0,100
1,0,2,51,0,100
1,0,1,33,0,100
1,0,1,29,0,100
0,0,0,0,0,100
0,0,0,0,0,100
6,4,80,3635,21,97.80130293
0,0,0,0,0,100
0,0,0,0,0,100
1,1,14,572,3,99.50207469
1,0,0,16,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,3,107,0,100
0,0,0,0,0,100
1,1,17,1155,5,99.58471761
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,7,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,30,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,11,218,2,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,10,21,2,99.33110368
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,2,9,628,6,99.58368027
2,0,3,147,0,100
1,0,2,78,0,100
2,0,3,130,2,100
1,0,2,45,0,100
1,0,1,45,0,100
1,0,0,10,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,7,318,1,100
0,0,0,0,0,100
0,0,0,0,0,100
3,1,19,1019,5,98.85151764
1,0,2,18,0,100
1,0,2,20,0,100
1,0,0,50,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,32,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,7,201,1,100
0,0,0,0,0,100
1,0,5,311,1,100
2,0,0,23,0,100
3,3,68,3598,16,99.43502825
2,0,1,14,0,100
0,0,0,0,0,100
4,0,0,10,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,3,108,2,100
1,0,1,53,1,100
4,0,0,8,0,100
1,0,2,87,0,100
0,0,0,0,0,100
5,3,16,832,5,99.36153232
1,0,6,104,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,4,326,1,100
1,0,3,215,0,100
12,11,107,6889,36,97.97822706
0,0,0,0,0,100
19,0,10,321,9,99.61685824
4,2,3,299,3,99.31245225
68,64,1113,37506,994,89.21501706
0,0,0,0,0,100
1,0,4,52,0,100
11,2,48,2712,0,98.56697819
0,0,0,0,0,100
18,4,91,4258,25,98.69727047
2,1,32,2655,4,98.5472155
0,0,0,0,0,100
1,0,0,2,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,22,0,100
28,0,7,232,4,99.88095238
1,0,0,0,0,100
2,0,0,0,0,100
20,2,2,289,0,99.46428571
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,9,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,2,20,930,9,98.98325359
0,0,0,0,0,100
1,0,0,15,0,100
0,0,0,0,0,100
11,0,12,290,0,99.76019185
2,0,2,59,0,100
0,0,0,0,0,100
1,0,1,186,1,100
1,0,0,4,0,100
0,0,0,0,0,100
1,0,0,10,0,100
1,0,1,17,0,100
3,0,0,2,0,100
0,0,0,0,0,100
1,0,2,129,0,100
11,0,2,160,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,29,0,100
1,0,0,13,0,100
2,0,4,47,0,100
2,0,5,155,1,100
1,0,0,0,0,100
2,1,10,513,5,99.40191388
0,0,0,0,0,100
1,0,0,9,0,100
0,0,0,0,0,100
3,1,11,1002,5,99.64028777
1,0,2,42,1,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
16,1,1,272,2,99.76004799
5,0,0,76,0,100
1,0,1,7,0,100
1,0,0,6,0,100
7,1,11,1321,5,99.64136282
1,0,0,0,0,100
11,0,0,8,0,100
0,0,0,0,0,100
2,0,0,108,0,100
3,3,164,9021,63,99.58407605
1,1,87,5529,20,99.82269504
9,1,21,1207,7,99.6460177
1,0,0,48,0,100
4,4,46,3002,17,99.35294118
0,0,0,0,0,100
0,0,0,0,0,100
2,0,7,171,2,100
8,2,35,1807,11,99.6489175
0,0,0,0,0,100
0,0,0,0,0,100
1,1,0,0,0,99.88317757
1,0,0,26,0,100
9,2,43,2041,19,99.70862471
1,0,0,1,0,100
1,0,0,93,0,98.60627178
4,0,3,267,1,100
5,0,2,74,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,12,407,1,100
1,0,0,7,0,100
0,0,0,0,0,100
9,2,8,411,3,99.7104806
1,0,0,34,0,100
1,0,0,11,0,100
2,0,0,17,0,100
0,0,0,0,0,100
6,1,10,372,4,99.53917051
1,1,1,458,1,99.65537048
1,0,1,22,0,100
11,0,1,11,0,100
1,0,0,0,0,100
0,0,0,0,0,100
4,1,47,689,21,99.82798165
1,1,0,0,0,99.8853211
0,0,0,0,0,100
0,0,0,0,0,100
10,0,3,90,1,99.71297359
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,99.77037887
3,0,1,32,0,100
7,0,6,229,5,100
0,0,0,0,0,100
1,0,0,21,0,100
5,0,2,26,1,100
9,3,54,2822,22,99.54259577
1,1,0,0,0,99.88597491
1,0,0,36,0,100
2,0,6,210,2,100
1,0,0,94,0,100
24,5,128,6580,49,97.38041002
2,0,2,142,2,100
0,0,0,0,0,100
12,12,233,15661,53,94.74292317
5,1,11,432,8,99.47214076
1,0,0,39,0,100
2,2,23,1478,7,99.59136019
2,0,1,48,0,100
3,0,4,137,3,100
0,0,0,0,0,100
13,1,11,805,2,97.05228031
0,0,0,0,0,100
1,0,0,25,0,100
1,0,0,19,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,2,0,0,0,99.78655283
0,0,0,0,0,100
52,0,2,32,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,13,0,100
2,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
2,0,3,363,0,100
1,0,2,18,0,100
