NMF,NAD,CFC,NCC,NMC,a2a
2,1,14,942,4,95.89041096
1,0,2,6,0,100
1,0,1,19,0,100
4,2,27,1189,15,98.33948339
7,1,9,232,9,97.35349716
2,1,2,229,2,99.22330097
14,5,87,2760,32,88.4341637
3,1,1,211,1,99.67105263
2,0,3,71,2,100
16,2,79,3890,51,90.43062201
4,1,17,540,5,90.77901431
31,1,91,4367,55,89.46395564
16,2,79,3890,51,86.64047151
17,1,3,549,2,88.27586207
1,1,0,12,0,99.67320261
1,0,6,613,4,90.93904448
13,0,5,63,1,94.65081724
2,1,4,196,2,99.33244326
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,6,312,3,99.17695473
2,0,6,312,3,99.17695473
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,6,312,3,99.17695473
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
13,1,6,2,4,98.21673525
4,1,10,508,5,98.7704918
7,3,30,2167,20,98.25503356
1,0,0,46,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,3,27,1228,27,95.46703297
4,0,0,0,0,100
3,0,0,19,0,100
10,0,27,1247,27,95.46703297
10,3,27,1247,27,95.46703297
1,0,0,4,0,100
1,0,0,4,0,100
1,0,0,4,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
6,2,13,589,5,98.21428571
15,1,10,83,15,96.84210526
6,1,44,2980,47,83.80782918
2,0,12,422,14,100
6,2,13,589,5,81.41135972
5,0,6,487,4,97.91955617
12,6,15,1304,8,95.77656676
5,0,0,0,0,99.45054945
4,1,5,349,3,99.7260274
2,0,1,48,1,100
3,0,0,57,0,100
2,0,1,13,0,99.04502046
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,83,0,100
4,0,1,62,1,99.45429741
2,0,40,638,39,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
11,0,19,489,5,98.90859482
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
7,1,2,170,2,99.18367347
0,0,0,0,0,100
4,1,12,440,11,99.32249322
6,1,33,1379,22,93.44262295
2,1,12,656,3,99.72451791
0,0,0,0,0,100
0,0,0,0,0,100
20,2,45,894,31,91.29251701
17,4,59,2305,38,92.16216216
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,1,16,1133,5,92.15017065
2,2,12,1074,8,99.41463415
4,0,2,232,0,94.78623566
2,0,4,57,2,94.78623566
1,0,0,12,0,100
3,0,3,76,0,100
3,0,6,94,0,100
0,0,0,0,0,100
2,0,0,16,0,100
3,0,3,49,1,100
0,0,0,0,0,100
15,1,10,316,13,94.15137615
0,0,0,0,0,100
8,2,17,710,13,94.80519481
0,0,0,0,0,100
9,1,20,849,17,92.65033408
0,0,0,0,0,100
2,0,0,30,0,100
0,0,0,0,0,100
7,0,6,128,3,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,1,4,138,1,95.58823529
1,0,0,14,0,100
1,0,0,25,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
7,0,8,298,8,100
2,2,82,6441,52,99.51219512
0,0,0,0,0,100
0,0,0,0,0,100
2,0,2,88,2,100
2,0,10,457,3,99.87864078
0,0,0,0,0,100
3,0,11,408,9,99.75728155
4,0,1,98,0,99.03614458
3,0,1,44,1,99.76076555
35,2,20,398,15,95.36340852
4,0,3,100,1,99.47299078
50,1,138,8332,91,94.53621347
50,4,138,8332,91,94.53621347
50,1,138,8332,91,94.53621347
0,0,0,0,0,100
50,4,138,8332,91,94.53621347
2,1,30,966,15,99.47437582
6,1,167,4788,39,99.73890339
5,0,6,145,1,100
10,0,4,69,1,99.8687664
1,0,2,17,1,100
4,0,0,92,0,99.60369881
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,2,0,100
1,0,1,11,1,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,6,286,3,99.73544974
0,0,0,0,0,100
7,6,88,3748,72,96.01873536
2,2,22,1510,12,99.47862357
2,0,22,1510,12,99.47862357
9,0,7,102,3,96.75550406
8,1,22,936,13,98.95697523
1,0,21,818,12,98.95697523
0,0,0,0,0,100
0,0,0,0,0,100
4,0,18,1172,11,100
6,2,4,338,1,99.35649936
4,0,18,1172,11,100
3,0,3,275,3,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,15,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,3,144,3,100
0,0,0,0,0,100
25,13,7,1112,12,90.58823529
4,1,7,421,7,92.91666667
17,2,24,851,23,97.37783075
4,0,12,330,6,100
3,0,2,85,2,100
1,0,3,49,2,99.88179669
1,0,2,31,2,100
1,0,0,10,0,100
1,0,0,10,0,100
0,0,0,0,0,100
2,1,9,816,7,99.76415094
2,0,9,816,7,99.76415094
0,0,0,0,0,100
2,1,9,816,7,99.76415094
2,0,3,53,0,100
5,2,10,734,13,99.29824561
0,0,0,0,0,100
2,0,3,53,0,100
3,0,26,754,20,100
10,5,40,2732,30,97.20357942
11,0,40,2724,30,97.20357942
4,0,4,96,2,99.65116279
0,0,0,0,0,100
2,0,9,286,3,100
10,5,40,2732,30,92.40654206
10,0,40,2732,30,92.40654206
0,0,0,0,0,100
10,5,40,2732,30,92.40654206
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,1,47,1578,6,88.94668401
0,0,0,0,0,100
8,2,14,481,8,98.43304843
2,0,0,2,0,87.89407314
1,0,17,679,13,100
1,0,2,42,0,100
9,2,4,155,2,98.50917431
11,1,57,2002,26,99.19261822
3,2,13,458,5,99.42062572
2,0,3,126,3,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,1,36,1,100
12,0,2,36,2,98.85057471
1,0,1,36,1,100
4,0,19,360,15,100
6,0,0,87,0,100
5,0,20,352,16,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
22,0,12,289,6,99.31113662
18,10,75,2020,28,89.12415784
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,1,9,779,6,99.83471074
0,0,0,0,0,100
5,0,0,81,0,92.48395967
0,0,0,0,0,100
9,0,3,19,3,92.48395967
