,FCA
index,A2A
commit1--commit2,95.89041095890411
commit2--commit3,100.0
commit3--commit4,100.0
commit4--commit5,98.33948339483395
commit5--commit6,97.35349716446125
commit6--commit7,99.22330097087378
commit7--commit8,88.43416370106762
commit8--commit9,99.67105263157895
commit9--commit10,100.0
commit10--commit11,90.43062200956938
commit11--commit12,90.77901430842607
commit12--commit13,89.46395563770795
commit13--commit14,86.64047151277013
commit14--commit15,88.27586206896552
commit15--commit16,99.67320261437908
commit16--commit17,90.93904448105437
commit17--commit18,94.65081723625556
commit18--commit19,99.3324432576769
commit19--commit20,100.0
commit20--commit21,100.0
commit21--commit22,100.0
commit22--commit23,100.0
commit23--commit24,100.0
commit24--commit25,100.0
commit25--commit26,100.0
commit26--commit27,100.0
commit27--commit28,100.0
commit28--commit29,100.0
commit29--commit30,100.0
commit30--commit31,100.0
commit31--commit32,100.0
commit32--commit33,100.0
commit33--commit34,100.0
commit34--commit35,100.0
commit35--commit36,100.0
commit36--commit37,99.1769547325103
commit37--commit38,99.1769547325103
commit38--commit39,100.0
commit39--commit40,100.0
commit40--commit41,100.0
commit41--commit42,100.0
commit42--commit43,99.1769547325103
commit43--commit44,100.0
commit44--commit45,100.0
commit45--commit46,100.0
commit46--commit47,98.21673525377228
commit47--commit48,98.77049180327869
commit48--commit49,98.25503355704697
commit49--commit50,100.0
commit50--commit51,100.0
commit51--commit52,100.0
commit52--commit53,100.0
commit53--commit54,100.0
commit54--commit55,95.46703296703298
commit55--commit56,100.0
commit56--commit57,100.0
commit57--commit58,95.46703296703298
commit58--commit59,95.46703296703298
commit59--commit60,100.0
commit60--commit61,100.0
commit61--commit62,100.0
commit62--commit63,100.0
commit63--commit64,100.0
commit64--commit65,100.0
commit65--commit66,100.0
commit66--commit67,98.21428571428571
commit67--commit68,96.84210526315789
commit68--commit69,83.80782918149467
commit69--commit70,100.0
commit70--commit71,81.41135972461274
commit71--commit72,97.91955617198336
commit72--commit73,95.77656675749319
commit73--commit74,99.45054945054946
commit74--commit75,99.72602739726028
commit75--commit76,100.0
commit76--commit77,100.0
commit77--commit78,99.0450204638472
commit78--commit79,100.0
commit79--commit80,100.0
commit80--commit81,100.0
commit81--commit82,99.45429740791269
commit82--commit83,100.0
commit83--commit84,100.0
commit84--commit85,100.0
commit85--commit86,100.0
commit86--commit87,100.0
commit87--commit88,98.90859481582538
commit88--commit89,100.0
commit89--commit90,100.0
commit90--commit91,100.0
commit91--commit92,100.0
commit92--commit93,100.0
commit93--commit94,99.18367346938776
commit94--commit95,100.0
commit95--commit96,99.32249322493224
commit96--commit97,93.44262295081968
commit97--commit98,99.72451790633609
commit98--commit99,100.0
commit99--commit100,100.0
commit100--commit101,91.29251700680273
commit101--commit102,92.16216216216216
commit102--commit103,100.0
commit103--commit104,100.0
commit104--commit105,100.0
commit105--commit106,100.0
commit106--commit107,100.0
commit107--commit108,92.15017064846415
commit108--commit109,99.41463414634146
commit109--commit110,94.78623566214807
commit110--commit111,94.78623566214807
commit111--commit112,100.0
commit112--commit113,100.0
commit113--commit114,100.0
commit114--commit115,100.0
commit115--commit116,100.0
commit116--commit117,100.0
commit117--commit118,100.0
commit118--commit119,94.15137614678899
commit119--commit120,100.0
commit120--commit121,94.8051948051948
commit121--commit122,100.0
commit122--commit123,92.65033407572383
commit123--commit124,100.0
commit124--commit125,100.0
commit125--commit126,100.0
commit126--commit127,100.0
commit127--commit128,100.0
commit128--commit129,100.0
commit129--commit130,100.0
commit130--commit131,95.58823529411765
commit131--commit132,100.0
commit132--commit133,100.0
commit133--commit134,100.0
commit134--commit135,100.0
commit135--commit136,100.0
commit136--commit137,100.0
commit137--commit138,100.0
commit138--commit139,100.0
commit139--commit140,100.0
commit140--commit141,99.51219512195122
commit141--commit142,100.0
commit142--commit143,100.0
commit143--commit144,100.0
commit144--commit145,99.87864077669903
commit145--commit146,100.0
commit146--commit147,99.75728155339806
commit147--commit148,99.03614457831326
commit148--commit149,99.76076555023924
commit149--commit150,95.36340852130326
commit150--commit151,99.4729907773386
commit151--commit152,94.53621346886912
commit152--commit153,94.53621346886912
commit153--commit154,94.53621346886912
commit154--commit155,100.0
commit155--commit156,94.53621346886912
commit156--commit157,99.47437582128778
commit157--commit158,99.73890339425587
commit158--commit159,100.0
commit159--commit160,99.86876640419948
commit160--commit161,100.0
commit161--commit162,99.60369881109644
commit162--commit163,100.0
commit163--commit164,100.0
commit164--commit165,100.0
commit165--commit166,100.0
commit166--commit167,100.0
commit167--commit168,100.0
commit168--commit169,99.73544973544973
commit169--commit170,100.0
commit170--commit171,96.01873536299766
commit171--commit172,99.47862356621481
commit172--commit173,99.47862356621481
commit173--commit174,96.75550405561994
commit174--commit175,98.95697522816167
commit175--commit176,98.95697522816167
commit176--commit177,100.0
commit177--commit178,100.0
commit178--commit179,100.0
commit179--commit180,99.35649935649936
commit180--commit181,100.0
commit181--commit182,100.0
commit182--commit183,100.0
commit183--commit184,100.0
commit184--commit185,100.0
commit185--commit186,100.0
commit186--commit187,100.0
commit187--commit188,100.0
commit188--commit189,100.0
commit189--commit190,100.0
commit190--commit191,90.58823529411765
commit191--commit192,92.91666666666667
commit192--commit193,97.37783075089392
commit193--commit194,100.0
commit194--commit195,100.0
commit195--commit196,99.88179669030734
commit196--commit197,100.0
commit197--commit198,100.0
commit198--commit199,100.0
commit199--commit200,100.0
commit200--commit201,99.76415094339622
commit201--commit202,99.76415094339622
commit202--commit203,100.0
commit203--commit204,99.76415094339622
commit204--commit205,100.0
commit205--commit206,99.29824561403508
commit206--commit207,100.0
commit207--commit208,100.0
commit208--commit209,100.0
commit209--commit210,97.20357941834452
commit210--commit211,97.20357941834452
commit211--commit212,99.65116279069768
commit212--commit213,100.0
commit213--commit214,100.0
commit214--commit215,92.40654205607477
commit215--commit216,92.40654205607477
commit216--commit217,100.0
commit217--commit218,92.40654205607477
commit218--commit219,100.0
commit219--commit220,100.0
commit220--commit221,100.0
commit221--commit222,100.0
commit222--commit223,100.0
commit223--commit224,88.94668400520156
commit224--commit225,100.0
commit225--commit226,98.43304843304843
commit226--commit227,87.89407313997478
commit227--commit228,100.0
commit228--commit229,100.0
commit229--commit230,98.5091743119266
commit230--commit231,99.19261822376009
commit231--commit232,99.42062572421784
commit232--commit233,100.0
commit233--commit234,100.0
commit234--commit235,100.0
commit235--commit236,100.0
commit236--commit237,100.0
commit237--commit238,100.0
commit238--commit239,100.0
commit239--commit240,100.0
commit240--commit241,98.85057471264368
commit241--commit242,100.0
commit242--commit243,100.0
commit243--commit244,100.0
commit244--commit245,100.0
commit245--commit246,100.0
commit246--commit247,100.0
commit247--commit248,100.0
commit248--commit249,99.31113662456946
commit249--commit250,89.12415784408084
commit250--commit251,100.0
commit251--commit252,100.0
commit252--commit253,100.0
commit253--commit254,99.83471074380165
commit254--commit255,100.0
commit255--commit256,92.48395967002749
commit256--commit257,100.0
commit257--commit258,92.48395967002749
commit258--commit259,92.48395967002749
commit259--commit260,100.0
commit260--commit261,100.0
commit261--commit262,99.89690721649484
