CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
3a0eb19f5734812a4e4a183ad5cf02de119cdb78,2,155,3,152,1,0,1,1,2,0,1,2,0.36450491,111,1,1,38,24,14,1810,868,942,18,14,4,95.89041096
3e7b981ceafde349a8124a2b4beb6701b0236fa9,1,5,8,3,0,0,0,1,2,1,1,1,0,36,2,2,4,6,2,267,273,6,3,3,0,100
6abafa19cea144df49c035839f2ff408aa60662a,1,3,0,3,0,0,0,1,2,1,1,1,0,71,3,3,16,15,1,586,567,19,5,5,0,100
d349f43086617e40515ffc4683993d35e84b421c,4,211,10,201,2,0,2,1,2,0,1,3,1.690161927,525,4,4,123,96,27,5736,4547,1189,87,72,15,98.33948339
4e1e08bd1b0ed25d7c0c393337caf2cb07ce1e33,7,83,21,62,1,0,1,1,2,0,1,3,1.941467763,369,5,5,80,71,9,2930,2698,232,57,48,9,97.35349716
5a00c2dafa559380bdadcc7879dc6d9f454d469d,2,53,1,52,1,0,1,1,2,1,1,2,0.605186577,12,6,6,2,0,2,356,127,229,2,0,2,99.22330097
4444ba02bbbd2379a43fc94260599a7539b3f24d,14,557,60,497,5,0,5,1,2,0,1,4,3.486873033,485,7,7,161,74,87,6486,3726,2760,76,44,32,88.4341637
710270cc63f2e6807b55967cf1a6384b93566f16,3,43,3,40,1,0,1,1,3,2,1,2,0.807670206,370,8,8,66,65,1,3224,3013,211,52,51,1,99.67105263
000540e2f973e11fab6a86d01efe7500b4d4848b,2,20,6,14,0,0,0,1,2,4,1,1,0.779349837,148,9,9,20,17,3,1644,1573,71,10,8,2,100
ba1b2629f365f6ad9bba26a9d9b07ebf08aefc20,16,662,127,535,2,0,2,1,4,0,1,8,3.060716498,1416,10,10,349,270,79,14882,10992,3890,229,178,51,90.43062201
7bb1fde81342f082745969a53618cb4541273c83,4,72,12,60,1,0,1,2,5,2,1,4,1.423461236,614,0,0,128,111,17,5685,5145,540,86,81,5,90.77901431
ba9cdef5f15d3402f259e32786a9cb961f95c171,31,181,785,604,1,0,1,1,3,0,1,12,3.687114388,3066,10,10,478,569,91,19889,24256,4367,303,358,55,89.46395564
4bf4b4342fc775c8ff5877c491e2b4dbf6ce0829,16,662,127,535,2,0,2,1,4,0,1,8,3.060716498,1416,12,12,349,270,79,14882,10992,3890,229,178,51,86.64047151
2b9052a6cf513fa29c292541e0542643cb3566be,17,128,63,65,1,0,1,2,6,0,1,7,3.545374384,1837,1,1,327,324,3,15363,14814,549,213,211,2,88.27586207
b9e2270251791f6040ee64b3597703757f4328c2,1,11,0,11,1,0,1,1,1,0,1,1,0,0,2,2,0,0,0,12,0,12,0,0,0,99.67320261
1c8c93f0ae98695faaf87e1a55ed1ca6ae7fc8db,1,88,7,81,0,0,0,1,2,0,1,1,0,3,3,3,6,0,6,625,12,613,4,0,4,90.93904448
7e43a1de2a14e63e549a3d4a7a1dd288c03c5224,13,46,55,9,0,0,0,1,3,0,1,5,3.075519669,1122,13,13,204,199,5,8770,8707,63,124,123,1,94.65081724
71eb3fc604f08e2266cebc4b9edc33b359f5c544,2,35,2,33,1,0,1,1,2,7,1,2,0.877962001,45,14,14,10,6,4,578,382,196,5,3,2,99.33244326
4851af222f2ed7c065598d2df9cfcb2ca521b783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,100
2fb492a49c5393268244951577379ddd13846abf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,100
79f1c295298045cbb14f399cec15616a82ca288d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,100
9501ce26a401fc2fcf108bb9454f0c036b4462e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,100
ab95e96315fcc4b90b344c7551fada0cf924eb19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,100
48eb72ac6d00ab3a14c7e9e86e8ad7c474e2dbbe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,100
eff5bf3a33e0954823479b9bf719d2029a0c65cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,100
cdbdd7f129c3d1fa2ddf60ba79ab00bc1085c54b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,100
c18cfa32c583f24f3fecc5fe7bccf71c267d8eea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,100
bbc8cdbf5fe841d7b92f33ad84bd20a544fd3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,100
1158b8296a713e77ae155b517942e10ed4a8f21b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,100
42b5cd60a38f1b4bcbb19050bf73d6c39af311b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,100
793b60abbdd2c778297bef8c1447d5752243cfbf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,100
b1b45a577aa405cb57dbe737c0df5099edd57286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,100
2d266a1b073d4b41088b32b10e6247619fde9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,100
62c21012d72adc33303d49e2571989188bb88b7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,100
9612e983a4f2a997e8724d2f1d7d6a7c1e6f1ab3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,100
6ac9bf7f9e6dd9a6b2c5290468e2a29ffe80ef7c,2,45,8,37,0,0,0,1,3,14,1,2,0.77170947,329,15,15,69,63,6,2839,2527,312,23,20,3,99.17695473
