NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
0,0,0,0,0,100
95,2,232,15159,42,24.50592885
0,0,0,0,0,100
52,0,0,355,0,72.23198594
0,0,0,0,0,100
5,2,21,933,6,98.1981982
5,1,4,173,4,99.63369963
4,0,5,434,2,100
3,0,0,34,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,0,16,52,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
98,0,268,16197,34,24.70588235
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
9,5,8,183,13,89.82300885
2,0,0,3,0,100
3,0,4,329,1,99.53488372
1,0,7,394,3,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,1,10,458,3,98.65470852
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,0,63,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,34,1,100
7,6,60,2816,39,93.69024857
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
6,3,11,922,5,98.29931973
0,0,0,0,0,100
0,0,0,0,0,100
111,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,1,125,1,100
7,2,32,1478,19,91.80602007
0,0,0,0,0,100
0,0,0,0,0,100
6,4,30,1259,12,89.61267606
0,0,0,0,0,100
0,0,0,0,0,100
3,2,7,786,6,99.07063197
3,0,1,63,0,100
1,0,0,2,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,4,250,3,99.81549815
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
6,2,26,1635,11,97.56521739
0,0,0,0,0,100
0,0,0,0,0,100
10,1,16,840,8,92.52173913
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,1,19,1,100
4,0,0,8,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,34,0,95.75221239
0,0,0,0,0,100
0,0,0,0,0,100
6,1,10,455,6,99.32318105
0,0,0,0,0,100
0,0,0,0,0,100
8,3,5,623,4,98.01980198
5,0,7,421,2,94.37086093
3,0,4,421,1,100
3,0,2,419,2,93.92446634
2,0,2,121,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,16,0,100
1,0,0,16,0,100
1,0,1,48,0,100
1,0,0,0,0,100
1,0,0,8,0,100
1,0,0,40,0,100
2,1,6,405,4,92.78846154
1,0,0,26,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,51,0,100
1,0,0,0,0,100
1,0,3,49,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,9,436,6,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,32,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,4,25,1641,7,96.41109299
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,18,971,6,100
3,1,6,444,2,99.18699187
0,0,0,0,0,100
0,0,0,0,0,100
11,0,44,3619,29,96.60743134
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
