NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,1,8,455,4,98.98989899
0,0,0,0,0,100
3,0,4,240,3,98.98989899
0,0,0,0,0,100
3,0,0,0,0,100
3,1,20,683,6,98.98989899
0,0,0,0,0,100
4,1,25,582,5,98
4,1,25,582,5,98
2,1,17,692,5,99.00990099
6,1,9,9,1,97.02970297
1,0,0,0,0,100
6,2,9,9,1,97.02970297
2,1,8,455,4,99.02912621
2,1,46,1366,12,99.04761905
6,0,39,1698,10,97.08737864
5,3,45,1830,15,97.08737864
1,0,6,132,5,100
1,0,6,132,5,100
6,0,47,1859,17,97.08737864
5,3,45,1830,15,97.08737864
1,0,0,9,0,100
1,0,10,148,3,100
1,0,0,20,0,100
1,0,1,39,3,100
2,0,3,314,2,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,39,3,100
0,0,0,0,0,100
2,0,8,234,1,100
7,2,19,868,8,97.68518519
3,0,4,254,2,100
6,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,29,639,8,100
2,1,5,525,3,96.875
2,0,6,40,1,100
0,0,0,0,0,100
2,0,4,138,1,100
1,0,1,27,0,100
2,0,1,31,0,100
1,0,1,27,0,100
0,0,0,0,0,100
3,0,19,1584,14,99.56140351
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,109,0,100
6,6,290,10061,81,95
1,0,0,0,0,100
2,0,2,149,2,100
6,0,2,344,2,100
0,0,0,0,0,100
0,0,0,0,0,100
10,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,1,138,0,99.6031746
1,0,0,0,0,100
2,1,6,503,5,99.21259843
1,0,0,0,0,100
5,1,6,367,3,97.27626459
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,0,12,765,8,97.64705882
6,1,11,732,8,97.64705882
2,0,3,172,1,98.84169884
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,4,121,0,98.84169884
1,0,0,4,0,100
1,0,0,0,0,100
4,0,2,139,1,98.84169884
4,0,8,395,2,98.84169884
4,0,8,395,2,98.84169884
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,79,1,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
3,2,41,1282,11,97.33840304
3,0,41,1282,11,97.33840304
0,0,0,0,0,100
3,2,41,1282,11,97.33840304
2,0,6,370,2,98.87640449
0,0,0,0,0,100
0,0,0,0,0,100
2,1,6,503,5,99.25925926
2,0,5,457,5,99.25925926
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,1,6,503,5,99.25925926
1,0,1,62,1,100
1,0,1,44,1,100
2,0,8,609,7,99.25925926
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,106,2,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,106,2,100
1,0,2,106,2,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,43,0,100
0,0,0,0,0,100
