CommitID,FileName,FileComplexity,FileTokenCount,FileMethodNum,LastFileComplexity,LastFileTokenCount,LastFileMethodNum,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC
e3c93472c070613a5406e43de00258fd0f2d63d6,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a105a481165b5dee1f8ac04479d2df69010272ca,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6bd6284ce1f7e551f72246249b125a89a02c9c1c,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c367700f6410beb05e900d5f8f2502ad683b431a,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c501a0d34cf738893cb3777b643a79183f1868c9,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605573324a328cf52b46483ea21a41b9a871c5d5,src/java/datafu/pig/bags/FirstTupleFromBag.java,7,414,3,0,0,0,18,10,8,1015,560,455,14,10,4
,test/pig/datafu/test/pig/bags/BagTests.java,11,601,11,10,560,10,,,,,,,,,
8205ad6174ba8d95f31e4a6cf15eb1119bf65852,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a9985f11a77da18f4673fe75ad765f19fd78ff16,src/java/datafu/pig/bags/FirstTupleFromBag.java,0,0,0,7,414,3,,,,,,,,,
,src/java/datafu/pig/bags/UnorderedPairs.java,13,578,2,10,462,2,24,28,4,1237,1477,240,13,16,3
,test/pig/datafu/test/pig/bags/BagTests.java,11,659,11,11,601,11,,,,,,,,,
2eaf6bb3de9f2fce0af5fe0cb85db8876d74de77,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b2d28be9f5f594806ecf72a9b3d02027c6003db,src/java/datafu/pig/sessions/Sessionize.java,16,862,7,16,862,7,47,47,0,1901,1901,0,16,16,0
,src/java/datafu/pig/stats/WilsonBinConf.java,16,546,5,16,546,5,,,,,,,,,
,src/java/datafu/pig/util/SimpleEvalFunc.java,15,493,4,15,493,4,,,,,,,,,
ef1660677e64884d76d270ed54844434d4429f90,src/java/datafu/pig/bags/AliasBagFields.java,14,506,3,0,0,0,41,21,20,1786,1103,683,21,15,6
