,FCA
index,A2A
commit1--commit2,100
commit2--commit3,100
commit3--commit4,100
commit4--commit5,100
commit5--commit6,100
commit6--commit7,98.98989899
commit7--commit8,100
commit8--commit9,98.98989899
commit9--commit10,100
commit10--commit11,100
commit11--commit12,98.98989899
commit12--commit13,100
commit13--commit14,98
commit14--commit15,98
commit15--commit16,99.00990099
commit16--commit17,97.02970297
commit17--commit18,100
commit18--commit19,97.02970297
commit19--commit20,99.02912621
commit20--commit21,99.04761905
commit21--commit22,97.08737864
commit22--commit23,97.08737864
commit23--commit24,100
commit24--commit25,100
commit25--commit26,97.08737864
commit26--commit27,97.08737864
commit27--commit28,100
commit28--commit29,100
commit29--commit30,100
commit30--commit31,100
commit31--commit32,100
commit32--commit33,100
commit33--commit34,100
commit34--commit35,100
commit35--commit36,100
commit36--commit37,100
commit37--commit38,100
commit38--commit39,100
commit39--commit40,97.68518519
commit40--commit41,100
commit41--commit42,100
commit42--commit43,100
commit43--commit44,100
commit44--commit45,100
commit45--commit46,100
commit46--commit47,100
commit47--commit48,100
commit48--commit49,100
commit49--commit50,100
commit50--commit51,100
commit51--commit52,100
commit52--commit53,100
commit53--commit54,100
commit54--commit55,100
commit55--commit56,100
commit56--commit57,96.875
commit57--commit58,100
commit58--commit59,100
commit59--commit60,100
commit60--commit61,100
commit61--commit62,100
commit62--commit63,100
commit63--commit64,100
commit64--commit65,99.56140351
commit65--commit66,100
commit66--commit67,100
commit67--commit68,100
commit68--commit69,100
commit69--commit70,100
commit70--commit71,100
commit71--commit72,100
commit72--commit73,95
commit73--commit74,100
commit74--commit75,100
commit75--commit76,100
commit76--commit77,100
commit77--commit78,100
commit78--commit79,100
commit79--commit80,100
commit80--commit81,100
commit81--commit82,100
commit82--commit83,99.6031746
commit83--commit84,100
commit84--commit85,99.21259843
commit85--commit86,100
commit86--commit87,97.27626459
commit87--commit88,100
commit88--commit89,100
commit89--commit90,100
commit90--commit91,100
commit91--commit92,100
commit92--commit93,100
commit93--commit94,100
commit94--commit95,100
commit95--commit96,100
commit96--commit97,100
commit97--commit98,100
commit98--commit99,97.64705882
commit99--commit100,97.64705882
commit100--commit101,98.84169884
commit101--commit102,100
commit102--commit103,100
commit103--commit104,100
commit104--commit105,98.84169884
commit105--commit106,100
commit106--commit107,100
commit107--commit108,98.84169884
commit108--commit109,98.84169884
commit109--commit110,98.84169884
commit110--commit111,100
commit111--commit112,100
commit112--commit113,100
commit113--commit114,100
commit114--commit115,100
commit115--commit116,100
commit116--commit117,100
commit117--commit118,97.33840304
commit118--commit119,97.33840304
commit119--commit120,100
commit120--commit121,97.33840304
commit121--commit122,98.87640449
commit122--commit123,100
commit123--commit124,100
commit124--commit125,99.25925926
commit125--commit126,99.25925926
commit126--commit127,100
commit127--commit128,100
commit128--commit129,100
commit129--commit130,99.25925926
commit130--commit131,100
commit131--commit132,100
