NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,3,34,1415,19,99.82352941
2,0,0,60,0,100
2,0,0,0,0,100
1,0,0,0,0,100
6,0,0,11,0,100
2,0,0,35,0,99.85298442
17,2,34,1429,19,99.67599411
0,0,0,0,0,100
17,3,34,1429,19,99.67599411
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,2,38,2,100
1,0,0,13,0,100
3,0,1,56,1,99.85255087
4,0,7,124,1,98.76058041
1,0,0,0,0,100
12,2,10,43,2,98.67189858
0,0,0,0,0,100
12,0,10,43,2,98.67189858
15,1,12,1,3,97.51199041
12,0,10,43,2,98.69008634
3,0,2,54,1,98.80110667
3,1,2,54,1,98.80110667
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
11,0,6,1296,5,98.61852433
11,3,6,1296,5,98.61852433
0,0,0,0,0,100
1,0,0,7,0,100
1,0,0,7,0,100
11,0,6,1296,5,98.61852433
2,0,19,1473,5,99.71042471
5,0,8,312,5,99.80744544
4,0,1,36,1,100
3,0,0,351,0,100
1,0,0,0,0,100
2,0,1,51,1,99.67855995
3,0,0,76,0,100
1,0,3,912,3,99.80713597
4,0,4,140,4,100
18,0,7,646,8,98.93754024
42,9,31,3671,15,97.90187218
43,0,31,3709,15,96.70602859
20,0,17,201,17,100
3,0,0,23,0,99.94011976
54,10,14,3531,2,96.64179104
54,0,14,3531,2,96.64179104
0,0,0,0,0,100
0,0,0,0,0,100
91,17,6,3301,15,95.06833036
43,5,29,1031,14,95.79496624
43,7,29,1031,14,95.79496624
92,5,15,2500,16,94.8816568
4,0,0,0,0,100
3,0,5,100,1,99.97029115
1,0,0,24,0,100
1,0,1,40,0,100
7,0,4,23,1,99.97029115
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
4,0,4,36,1,99.97029115
1,0,0,0,0,100
2,0,10,186,10,99.88105858
21,0,1,354,1,97.83447048
0,0,0,0,0,100
1,0,0,7,0,100
32,1,7,165,8,97.68820391
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,1,1,45,1,99.94061758
1,0,0,4,0,100
0,0,0,0,0,100
33,0,8,124,9,97.63033175
0,0,0,0,0,100
0,0,0,0,0,100
1,0,8,130,8,99.9408284
0,0,0,0,0,100
34,3,21,75,17,97.56965027
33,0,13,55,9,97.63033175
23,23,141,6836,62,98.42748981
24,0,149,6966,70,98.36829837
24,24,149,6966,70,98.36829837
0,0,0,0,0,100
1,0,3,54,1,100
23,0,144,6890,63,98.42748981
25,25,166,7950,71,98.28388598
25,0,166,7950,71,98.28388598
0,0,0,0,0,100
8,1,8,150,1,99.94089835
5,0,3,77,0,100
13,0,19,357,9,99.88172679
1,1,8,130,8,99.9408284
25,25,166,7950,71,98.28388598
36,0,155,7723,70,98.22674419
37,21,156,7642,71,98.22674419
27,0,172,8032,79,98.22467986
14,1,8,416,9,99.9112426
14,0,10,464,9,99.9112426
13,2,19,357,9,99.88172679
0,0,0,0,0,100
1,0,8,130,8,99.94089835
0,0,0,0,0,100
25,25,166,7950,71,98.28388598
13,0,2,334,1,99.94275902
54,3,163,7199,68,97.91304348
50,26,179,8511,73,98.23903002
8,0,12,1029,6,99.57240593
0,0,0,0,0,100
7,6,14,1077,6,99.57240593
8,0,16,1125,6,99.57240593
0,0,0,0,0,100
1358,677,680,39105,680,28.59416446
8,6,16,1125,6,99.65517241
3,0,18,862,10,99.95088409
4,0,0,24,0,99.95085995
