CommitID,FileName,FileComplexity,FileTokenCount,FileMethodNum,LastFileComplexity,LastFileTokenCount,LastFileMethodNum,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC
9af2318248f47d69c56c20c0749f4174d03cb562,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47f48bfafb4a895a4df75abb9a3b898064a0802a,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d97273dc01d4a1a64f8d83fccf9b7ff88a6d8058,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e623f523d9416477c80b18bbdc076dfbabd65e90,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f288944f6d418c488176a0fb8fcaca7a91ca6470,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/siddhi/extension/ContainsIgnoreCaseExtension.java,13,413,8,0,0,0,49,15,34,3003,1588,1415,24,5,19
,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/siddhi/extension/EqualsIgnoreCaseExtension.java,13,436,8,0,0,0,,,,,,,,,
,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/siddhi/extension/RegexpIgnoreCaseFunctionExtension.java,9,458,2,0,0,0,,,,,,,,,
,eagle-core/eagle-alert/eagle-alert-process/src/test/java/eagle/alert/siddhi/TestSiddhiEngine.java,14,1696,6,15,1588,5,,,,,,,,,
2494e474da483ba315ae8836447f1d643e7d9f69,eagle-security/eagle-security-hdfs-auditlog/src/main/java/eagle/security/auditlog/FileSensitivityDataJoinExecutor.java,11,495,3,11,465,3,21,21,0,1028,968,60,6,6,0
,eagle-security/eagle-security-hive/src/main/java/eagle/security/hive/sensitivity/HiveResourceSensitivityDataJoinExecutor.java,10,533,3,10,503,3,,,,,,,,,
d9ae4caf9d67092fa79b62ad9b0537cd08fe6c3e,eagle-security/eagle-security-hdfs-auditlog/src/main/java/eagle/security/auditlog/IPZoneDataJoinExecutor.java,7,348,3,7,348,3,25,25,0,1081,1081,0,6,6,0
,eagle-security/eagle-security-hive/src/main/java/eagle/security/hive/jobrunning/HiveQueryParserExecutor.java,18,733,3,18,733,3,,,,,,,,,
a87485798d63b4801b15e90a01ac76d6f75d980a,eagle-security/eagle-security-hive/src/main/java/eagle/security/hive/jobrunning/HiveJobRunningSourcedStormSpoutProvider.java,7,456,1,7,456,1,7,7,0,456,456,0,1,1,0
e5bc6f5fc7662bda38027651ffeb0d9c5ae6cf97,eagle-core/eagle-alert/eagle-alert-base/src/main/java/eagle/alert/dao/AlertDefinitionDAO.java,0,81,0,0,83,0,0,0,0,271,282,11,0,0,0
,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/policy/PolicyDefinitionParser.java,0,19,0,0,20,0,,,,,,,,,
,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/policy/PolicyEvaluatorServiceProvider.java,0,49,0,0,52,0,,,,,,,,,
,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/policy/PolicyLifecycleMethods.java,0,64,0,0,67,0,,,,,,,,,
,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/siddhi/SiddhiAlertHandler.java,0,41,0,0,42,0,,,,,,,,,
,eagle-core/eagle-metric/src/main/java/eagle/metric/MetricOperator.java,0,17,0,0,18,0,,,,,,,,,
d182c4fefd9e690584ade69dc4d8ea25e8dd57d9,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/policy/PolicyEvaluatorBuilder.java,0,0,0,0,12,0,,,,,,,,,
,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/siddhi/SiddhiPolicyEvaluatorBuilder.java,0,0,0,0,23,0,0,0,0,0,35,35,0,0,0
7f132acfa4e6164b10aa2da81ec6099171ff45f8,eagle-core/eagle-alert/eagle-alert-base/src/main/java/eagle/alert/dao/AlertDefinitionDAO.java,0,83,0,0,81,0,68,102,34,4410,5839,1429,18,37,19
,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/policy/PolicyDefinitionParser.java,0,20,0,0,19,0,,,,,,,,,
,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/policy/PolicyEvaluatorBuilder.java,0,12,0,0,0,0,,,,,,,,,
,eagle-core/eagle-alert/eagle-alert-process/src/main/java/eagle/alert/policy/PolicyEvaluatorServiceProvider.java,0,52,0,0,49,0,,,,,,,,,
