,FCA
index,A2A
commit1--commit2,100
commit2--commit3,100
commit3--commit4,100
commit4--commit5,100
commit5--commit6,99.82352941
commit6--commit7,100
commit7--commit8,100
commit8--commit9,100
commit9--commit10,100
commit10--commit11,99.85298442
commit11--commit12,99.67599411
commit12--commit13,100
commit13--commit14,99.67599411
commit14--commit15,100
commit15--commit16,100
commit16--commit17,100
commit17--commit18,100
commit18--commit19,100
commit19--commit20,99.85255087
commit20--commit21,98.76058041
commit21--commit22,100
commit22--commit23,98.67189858
commit23--commit24,100
commit24--commit25,98.67189858
commit25--commit26,97.51199041
commit26--commit27,98.69008634
commit27--commit28,98.80110667
commit28--commit29,98.80110667
commit29--commit30,100
commit30--commit31,100
commit31--commit32,100
commit32--commit33,100
commit33--commit34,100
commit34--commit35,100
commit35--commit36,100
commit36--commit37,100
commit37--commit38,98.61852433
commit38--commit39,98.61852433
commit39--commit40,100
commit40--commit41,100
commit41--commit42,100
commit42--commit43,98.61852433
commit43--commit44,99.71042471
commit44--commit45,99.80744544
commit45--commit46,100
commit46--commit47,100
commit47--commit48,100
commit48--commit49,99.67855995
commit49--commit50,100
commit50--commit51,99.80713597
commit51--commit52,100
commit52--commit53,98.93754024
commit53--commit54,97.90187218
commit54--commit55,96.70602859
commit55--commit56,100
commit56--commit57,99.94011976
commit57--commit58,96.64179104
commit58--commit59,96.64179104
commit59--commit60,100
commit60--commit61,100
commit61--commit62,95.06833036
commit62--commit63,95.79496624
commit63--commit64,95.79496624
commit64--commit65,94.8816568
commit65--commit66,100
commit66--commit67,99.97029115
commit67--commit68,100
commit68--commit69,100
commit69--commit70,99.97029115
commit70--commit71,100
commit71--commit72,100
commit72--commit73,100
commit73--commit74,100
commit74--commit75,100
commit75--commit76,99.97029115
commit76--commit77,100
commit77--commit78,99.88105858
commit78--commit79,97.83447048
commit79--commit80,100
commit80--commit81,100
commit81--commit82,97.68820391
commit82--commit83,100
commit83--commit84,100
commit84--commit85,100
commit85--commit86,99.94061758
commit86--commit87,100
commit87--commit88,100
commit88--commit89,97.63033175
commit89--commit90,100
commit90--commit91,100
commit91--commit92,99.9408284
commit92--commit93,100
commit93--commit94,97.56965027
commit94--commit95,97.63033175
commit95--commit96,98.42748981
commit96--commit97,98.36829837
commit97--commit98,98.36829837
commit98--commit99,100
commit99--commit100,100
commit100--commit101,98.42748981
commit101--commit102,98.28388598
commit102--commit103,98.28388598
commit103--commit104,100
commit104--commit105,99.94089835
commit105--commit106,100
commit106--commit107,99.88172679
commit107--commit108,99.9408284
commit108--commit109,98.28388598
commit109--commit110,98.22674419
commit110--commit111,98.22674419
commit111--commit112,98.22467986
commit112--commit113,99.9112426
commit113--commit115,99.9112426
commit115--commit116,99.88172679
commit116--commit117,100
commit117--commit118,99.94089835
commit118--commit119,100
commit119--commit120,98.28388598
commit120--commit121,99.94275902
