NMF,NAD,CFC,NCC,NMC,a2a
8,0,28,938,26,90.24390244
1,0,0,0,0,100
1,0,0,117,0,97.61904762
0,0,0,0,0,100
1,0,1,14,0,100
4,2,3,117,4,87.23404255
1,0,1,137,0,98.07692308
1,0,0,7,0,92.30769231
24,14,104,3199,97,40
4,2,4,261,4,95.57522124
1,0,0,7,0,100
1,0,0,0,0,100
1,0,0,0,0,100
3,0,4,229,1,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,0,10,0,100
4,0,2,168,2,95
0,0,0,0,0,100
5,0,6,66,5,95
1,0,1,18,0,100
9,0,3,31,1,100
2,0,1,27,1,100
6,0,1,60,0,100
2,2,7,530,7,95.12195122
1,0,0,0,0,100
3,0,2,124,2,96.875
3,0,0,18,0,100
14,0,6,103,5,99.21875
18,16,104,3447,98,75.15151515
17,0,2,32,2,100
4,4,6,541,6,92.16589862
0,0,0,0,0,100
2,0,1,6,1,98.27586207
0,0,0,0,0,100
30,2,94,2896,89,77.38693467
2,0,2,216,2,98.79518072
4,0,3,116,3,100
1,0,0,0,0,100
7,3,11,790,11,91.22807018
3,0,1,2,1,100
8,1,2,136,2,95.53072626
1,1,0,39,0,97.83783784
3,0,1,76,0,97.31182796
1,1,0,39,0,97.86096257
40,0,28,10846,44,18.27411168
10,4,20,746,12,94.85981308
1,0,0,0,0,100
2,0,0,7,1,100
2,2,10,417,8,97.81659389
0,0,0,0,0,100
3,1,1,177,1,99.15254237
12,1,33,1431,16,93.16239316
5,3,11,601,8,97.0464135
10,2,42,1589,22,94.69387755
8,2,44,2032,24,96.38554217
5,2,22,572,22,97.66536965
1,0,0,4,0,99.61832061
8,1,21,1238,9,94.27480916
1,0,1,36,0,100
1,0,0,10,0,100
1,0,0,4,0,100
5,0,6,374,2,98.47328244
6,0,0,284,0,92.5
59,59,423,15317,376,64.12776413
27,2,4,732,1,84.58646617
2,0,4,110,4,100
19,3,27,1761,7,95.8781362
1,0,2,4,2,100
0,0,0,0,0,100
28,0,9,127,15,90.14084507
1,0,4,67,2,100
13,3,17,1919,11,91.47005445
2,1,2,140,2,95.63636364
1,0,0,4,0,100
20,0,10,45,0,99.12587413
1,0,1,114,0,100
1,0,0,17,0,100
2,0,0,69,0,100
5,0,3,196,3,100
10,5,14,749,11,95.90443686
2,2,52,2908,35,99.33110368
2,0,0,0,0,100
9,0,24,1358,26,99.00662252
2,2,52,2908,35,99.3442623
7,0,28,1550,9,99.67105263
7,0,28,1550,9,99.67105263
6,1,3,50,1,98.05194805
1,0,0,23,0,98.86363636
4,0,4,250,0,100
3,0,1,201,1,100
1,0,0,7,0,100
10,1,1,289,0,98.6970684
5,0,5,458,1,100
1,0,1,58,1,98.68421053
1,0,4,56,0,100
2,0,1,228,0,100
2,0,0,12,0,100
0,0,0,0,0,100
1,0,13,398,9,100
0,0,0,0,0,100
7,2,8,689,3,97.52883031
1,0,13,398,9,100
20,0,121,4323,95,90.14336918
13,13,64,2872,55,93.76218324
1,0,3,226,1,100
13,4,17,1560,6,86.33776091
12,3,18,1273,6,92.22423146
19,1,18,461,20,90.8438061
12,3,18,1281,6,90.57591623
10,0,36,834,26,96.77966102
8,1,36,820,26,96.77966102
9,0,36,823,26,96.77966102
8,1,36,820,26,96.77966102
9,0,36,820,26,96.77966102
1,0,0,3,0,100
8,1,36,820,26,96.77966102
0,0,0,0,0,100
2,0,2,10,0,100
10,0,34,433,26,96.77966102
1,0,0,0,0,100
9,1,34,830,26,96.77966102
7,1,1,438,3,99.33993399
4,0,0,397,0,100
4,0,11,440,1,100
7,2,17,1259,14,87.28522337
16,0,18,859,11,86.56987296
9,2,28,1699,15,85.43165468
1,0,0,32,0,100
0,0,0,0,0,100
1,0,0,0,0,100
6,3,11,722,8,95.76719577
5,1,14,501,4,94.40677966
1,0,0,13,0,100
1,0,0,4,0,100
4,1,12,808,9,98.86178862
1,0,0,0,0,100
1,0,3,12,0,100
3,0,4,184,3,100
79,23,186,6796,169,70
0,0,0,0,0,100
1,0,1,51,0,100
9,0,5,792,2,98.72727273
1,0,1,51,0,100
1,0,0,12,0,100
29,0,5,1109,13,94.07407407
7,0,4,350,2,97.51908397
4,1,2,67,2,96.53179191
1,0,0,2,0,100
2,0,0,5,0,100
33,4,40,2541,24,88.03088803
0,0,0,0,0,100
1,0,1,46,0,100
2,0,0,0,0,100
13,8,37,1759,22,91.92439863
2,0,1,139,1,100
3,0,1,46,0,100
12,0,39,1912,23,91.92439863
11,8,39,1944,23,91.92439863
13,1,46,2730,12,93.08072488
0,0,0,0,0,100
6,4,86,3957,46,96.37305699
3,0,4,58,1,100
4,0,10,698,1,100
6,1,6,677,0,99.65986395
4,0,3,227,3,99.83050847
5,0,6,640,0,100
59,52,379,11445,348,75.57436518
52,0,382,11717,351,76.72727273
0,0,0,0,0,100
4,1,3,264,3,99.65986395
19,3,50,1314,36,88.63261944
4,0,0,8,0,98.07692308
3,1,3,232,3,98.51239669
5,0,1,190,1,100
1,0,0,11,0,100
4,0,6,274,3,93.89179756
28,2,14,1226,17,91.5904936
0,0,0,0,0,100
0,0,0,0,0,100
39,2,24,2745,32,89.67391304
28,2,14,1226,17,86.52094718
1,0,0,5,0,100
3,0,1,85,0,100
5,2,51,3835,32,98.31144465
1,0,4,282,0,87.73424191
6,0,16,805,5,96.67194929
7,2,11,691,8,96.80511182
1,0,5,327,1,100
10,1,14,1408,9,99.20255183
0,0,0,0,0,100
33,8,83,3930,41,85.98820059
18,4,28,2277,16,96.84499314
13,0,0,14,0,99.45280438
11,9,67,3118,47,89.7680764
2,0,0,11,0,100
2,0,0,1,1,93.9869281
4,0,0,18,1,93.9869281
1,0,1,8,0,100
1,0,0,0,0,100
2,0,0,1,1,93.9869281
3,0,1,25,0,100
2,0,1,27,0,100
12,1,33,1613,11,98.23899371
14,4,33,1441,11,89.93464052
1,0,0,2,0,100
5,1,11,122,3,91.67750325
3,2,0,174,0,91.461837
1,0,0,15,0,100
1,0,0,2,0,100
11,1,33,1615,11,98.11574697
9,0,8,581,3,99.1902834
2,2,22,1745,11,99.46236559
0,0,0,0,0,100
2,0,2,64,0,100
2,0,0,20,0,100
1,0,0,11,0,100
1,0,0,36,0,100
22,7,41,1706,8,95.47270306
18,4,66,3583,25,96.44736842
