,FCA
index,A2A
commit3--commit4,90.2439024390244
commit4--commit5,100.0
commit5--commit6,97.61904761904762
commit6--commit7,100.0
commit7--commit8,100.0
commit8--commit9,87.2340425531915
commit9--commit10,98.07692307692307
commit10--commit11,92.3076923076923
commit11--commit12,40.0
commit12--commit13,95.57522123893806
commit13--commit14,100.0
commit14--commit15,100.0
commit15--commit16,100.0
commit16--commit17,100.0
commit17--commit18,100.0
commit18--commit19,100.0
commit19--commit20,100.0
commit20--commit21,100.0
commit21--commit22,100.0
commit22--commit23,100.0
commit23--commit24,100.0
commit24--commit25,95.0
commit25--commit26,100.0
commit26--commit27,95.0
commit27--commit28,100.0
commit28--commit29,100.0
commit29--commit30,100.0
commit30--commit31,100.0
commit31--commit32,95.1219512195122
commit32--commit33,100.0
commit33--commit34,96.875
commit34--commit35,100.0
commit35--commit36,99.21875
commit36--commit37,75.15151515151514
commit37--commit38,100.0
commit38--commit39,92.16589861751152
commit39--commit40,100.0
commit40--commit41,98.27586206896551
commit41--commit42,100.0
commit42--commit43,77.38693467336684
commit43--commit44,98.79518072289156
commit44--commit45,100.0
commit45--commit46,100.0
commit46--commit47,91.22807017543859
commit47--commit48,100.0
commit48--commit49,95.53072625698324
commit49--commit50,97.83783783783784
commit50--commit51,97.31182795698925
commit51--commit52,97.86096256684492
commit52--commit53,18.274111675126903
commit53--commit54,94.85981308411215
commit54--commit55,100.0
commit55--commit56,100.0
commit56--commit57,97.81659388646288
commit57--commit58,100.0
commit58--commit59,99.15254237288136
commit59--commit60,93.16239316239316
commit60--commit61,97.0464135021097
commit61--commit62,94.6938775510204
commit62--commit63,96.3855421686747
commit63--commit64,97.66536964980544
commit64--commit65,99.61832061068702
commit65--commit66,94.27480916030534
commit66--commit67,100.0
commit67--commit68,100.0
commit68--commit69,100.0
commit69--commit70,98.47328244274809
commit70--commit71,92.5
commit71--commit72,64.12776412776412
commit72--commit73,84.58646616541353
commit73--commit74,100.0
commit74--commit75,95.87813620071685
commit75--commit76,100.0
commit76--commit77,100.0
commit77--commit78,90.14084507042254
commit78--commit79,100.0
commit79--commit80,91.47005444646098
commit80--commit81,95.63636363636363
commit81--commit82,100.0
