2e61411726b91d7ccf43c486ff383807cf5de56d,/,/.1,    Merge pull request #414 from apache/dependabot/maven/flume-parent/com.google.guava-guava-29.0-jre,/.2,/.3,100
2c65eb3669ee42c15d7cdf8f71752386f6be8c07,FLUME-3476,Improvement,Vulnerability CVE-2023-26048 found in jetty-http  jetty-util and jetty-server,,Major,100
67bbb5d68e1189c9dbe9f2c17278b8d672fe9409,/,/,    Bump guava from 23.6-jre to 29.0-jre in /flume-parent,/,/,100
2cb42b1f9eb001309100a5f40a0368d9a9cd5843,/,/,    Merge pull request #413 from nikita15p/uptick-avro-ipc,/,/,100
e1a540a05b2c24c37cdbc3804f260ea2d62ac620,FLUME-3477,Improvement,uptick avro-ipc to 1.11.1 from 1.11.0,,Major,100
5a742cf464f928be26b32df629da119f847ad793,/,/,    [FLUME_3476] fixing vulnerability CVE-2023-26048,/,/,100
f9dbb2de255d59e35e3668a5c6c66a268a055207,FLUME-3461,Improvement,Vulnerability in netty-codec-haproxy version 4.1.72.final,,Major,100
ad7638de257c57cf0faba329142bc6bde2a10674,/,/,    Add a bit to the delay. Update HBase in the Hive sink,/,/,100
1980bd4c132db834930cd595b6ffec7cfd6cbdd9,FLUME-3465,Task,Move Flume Legacy Sources to their own repo,Sinks+Sources,Major,97.49852855
fe138547d442d7028291f545903269f6bb50ac6d,/,/,    Remove Hbase sink from BOM,/,/,100
808c22125223346a214d49abf0c57ff5a3d1432e,/,/,    Remove flume-hbase-sink from distribution,/,/,100
509ae573f3c87b0136f012964795a7a7f30a9587,/,/,    Remove hbase sink. Fix checkstyle issues,/,/,96.55457552
dafa94ef8cc111f40c608f71e8bad6bf6164f3ee,FLUME-3448,New Feature,Support Hadoop 3,,Major,100
4923efe906b355f25aa803bd8cd24e39f1d97e39,FLUME-3448,New Feature,Support Hadoop 3,,Major,100
3c27b3e0438af4744240b94ad57d251ce0d75024,FLUME-3448,New Feature,Support Hadoop 3,,Major,100
4b8b10f868b149cb6ffde9edca87f54c7bc2843e,/,/,    Merge branch 'xuwenping123-trunk-restlet-url' into trunk,/,/,100
8b3c16c94aa12c448d9c1f6578f304f4a25771ae,/,/,    the maven.restlet.org domain redirects to maven.restlet.talend.com,/,/,100
843b8c2f151b2af3fe220cac238f7e8c30b73521,/,/,    Update codeql-analysis.yml,/,/,100
8777347dbab84871fe3df5285c6511814ce60e88,FLUME-3458,Task,Move JDBC Channel to its own Git repo,,Major,98.43834141
85477e513bcd740e8deba2c43286504a5e1634bb,FLUME-3461,Improvement,Vulnerability in netty-codec-haproxy version 4.1.72.final,,Major,100
44a28c03fb4fb36ef9f64150adec0a8cf808fc03,FLUME-3459,Task,TestMultiportSyslogTCPSource fails due to sockets being closed too soon.,Syslog Source,Major,100
53b6e28040124f70b47d8595aab6a3b603590388,FLUME-3460,Bug,The Thrift tests fail due to bad SSL certificates,Sinks+Sources,Major,100
b80a3e592261cdac1159efb53d16192d86b2466d,/,/,    Add relativePath to find the parent pom,/,/,100
a95d957bb541ceab3607bcce3f1412d0772e5b35,FLUME-3457,Task,Move Kafka Channel  Sink and Source to its own repo,Kafka Source,Major,94.91847826
88d2b95a638df7d2dd8f4bbed0f82d4f75cea88d,FLUME-3456,Task,Create Flume Bill of Materials,,Major,99.8049596
a72ba04ca8e630c9c4a4468af763dfd7a2b7f5eb,/,/,    Merge pull request #398 from xuwenping123/trunk-flume-3452,/,/,100
0d191dee92af544be5ae1da744186242a0192b2b,/,/,    Bump libthrift from 0.14.1 to 0.14.2,/,/,100
375ecb2d84f635dc2c5f62a16afb11c16bfd20b6,/,/,    Merge pull request #392 from yangjf2019/hotfix-flume-code-typo,/,/,100
65281d3d328f2e65e5b98970cc395b568fa27cf4,FLUME-3445,Bug,unit test TestTwitterSource.testCarrotDateFormatBug fail when system locate is zh_CN.UTF-8,Sinks+Sources,Major,100
5a4dd8bab83fae7f059cd3986573487d6bf484b5,FLUME-3454,Bug,exception while starting jms source when password field is absent in config file,Sinks+Sources,Major,98.03811659
0e4c38089d68b20f91969b41c74a448530432cd6,FLUME-3454,Bug,exception while starting jms source when password field is absent in config file,Sinks+Sources,Major,98.03811659
9bcd2716d8ce8c12a1467fdaf844b4f1c86f70e0,FLUME-3453,Task,Move Flume-Spring-Boot to its own repo,,Major,98.03811659
9199565875a80a67d7aa8124d3dfc9459a055a35,/,/,    Merge pull request #394 from nikita15p/feature/removed-pb,/,/,99.21392476
d367cb9e0945207d11529be7572ca68fff5a8bdd,/,/,    Merge pull request #390 from apache/dependabot/maven/org.apache.commons-commons-text-1.10.0,/,/,99.21392476
103ccaf53fc316e03289c0fedceef973ca67cbaf,FLUME-3446,Improvement,Remove checked in generated PB files,,Major,99.21392476
650f362b9df9f3d0b318c3c7cfabb28a44cf587f,/,/,    fix TestTwitterSource.testCarrotDateFormatBug on different locale environment,/,/,100
7b552af0dd154497533d523f72b57905b3dd2150,/,/,    fix a code typo,/,/,100
185b9513706cd5b6046f00c9821a83580e2c35da,/,/,    Add Kafka Transactions to KafkaChannel and KafkaSink  including unit tests.,/,/,100
1821a17e6fe8bf02d479daa10c47e357d1cc1b98,/,/,    Add support for making metrics available to Prometheus  including exposing Kafka Producer and Consumer metrics. (#358),/,/,99.63656696
6fd37343589b3b7bb5387100e45d9a7db7694527,/,/,    Set KafkaSink error message log level from DEBUG to WARN (#388),/,/,100
3d8d59136c8a0f2b5e1125a995836e39ecdfea08,FLUME-3443,Improvement,Upgrade Kafka Client libraries to 3.3.x,Sinks+Sources,Major,99.94407159
1ce76b5f324c76d32b3cad3dda472b2729db9d02,/,/,    Update build.yml,/,/,100
2d7c685617d533eb3fdd079d363f292e5bae9a13,/,/,    Update to Ubuntu 22.04,/,/,100
e0c6e9de228dad6043789a609ea664985750f2ed,/,/,    Continued debugging of builds,/,/,100
7bcdb6953e4fb5df11c22a810304f781e57fc363,/,/,    Bump commons-text from 1.9 to 1.10.0,/,/,100
137a9e4ea18011c8371704d689be12c92c5534d4,/,/,    Debug disk space issues,/,/,100
03317de0ab7c257e4ceeba8d2e52c7e659536c9d,/,/,    Assmebly plugin was reverted,/,/,100
aafbdb6198248ac13873345bd4041e6a9eba3ff3,/,/,    Revert Assembly plugin version,/,/,100
cd57aaa0b57284af202c921a3fb0b1fa6af4f888,/,/,    Remove Sphinx plugin,/,/,100
89640b2a1aeba000626c85500068bcbac120803d,/,/,    Update to next development version,/,/,100
c7817396899d7946710dbddbd61e1dd43561fe06,/,/,    Prepare for release,/,/,100
a0da8e3e8a60f4845333c5e43cbab7895f8fd943,/,/,    flume-ng-doc is not the source of truth for the web site docs. Any updates to these are not reflected in the web site so leaving them just creates problems,/,/,100
7c3dedac789175f3ba1f728f500fdec3dee04a37,/,/,"    Revert ""Remove user and dev guides""",/,/,100
413fb919bf2a16b0ba1536c4304a2fa6e9e47ad6,/,/,    Merge pull request #284 from liketic/bugfix-1,/,/,100
fafd18ef4aea590d659f14a34e3f2cd862dfcca2,/,/,    Merge pull request #377 from apache/dependabot/maven/org.apache.derby-derby-10.14.2.0,/,/,100
bda727be237a14f2957cfdb307286290d6b0b15b,/,/,    Merge branch 'hboutemy-patch-1' into trunk,/,/,100
ff744fa3c471b8e5a22b4b7ccc7dccc935c9355f,/,/,    Remove extraneous line,/,/,100
68a113dc4b72003931e54ad579552024e5865e88,/,/,    Bump scala-library from 2.13.7 to 2.13.9,/,/,100
ac5ed049f96213e9b9b7f1c0a111781c19a411ff,FLUME-3435,Improvement,Allow KafkaSink to include timestamp and KafkaHeaders,Sinks+Sources,Major,100
bf72ec6b343623ab3b2ef9029640128cdc4f655c,/,/,    Remove user and dev guides,/,/,100
37273bc677ca14692b48dc3c3460a6ef58318377,FLUME-3440,New Feature,Add support for Spring Boot,Configuration,Major,99.27130045
1521f5c32e73b01faafec214a628bbf477deb8a4,/,/,    Spring Boot support,/,/,98.38799333
c3304b8c3f916a38bce5908f5849267bdf0ba9ff,/,/,    Update for release,/,/,100
a01136861c6a993cb4a75f2883ea4aaa47dd797b,/,/,    Update version,/,/,100
7280aa75e7889b574097fe02087c3d18b8e08e6f,/,/,    Change version number,/,/,100
eee179a09df405c1ab55ae25a53b76ca1050bb97,FLUME-3437,Bug,Validate providerUrl,Sinks+Sources,Major,100
34f372222248e2a1014c502b888e37f4c3d0f356,FLUME-3315,Bug,[KafkaSink][KafkaSource] Impossible to disable hostname verification with SSL enryption,Sinks+Sources,Major,100
9f2807d5519f0ab25025f7a73bd1a8730fabba6f,FLUME-3437,Bug,Validate providerUrl,Sinks+Sources,Major,100
93fbd74336e573b5add3b81760d57a459f8bc440,FLUME-3315,Bug,[KafkaSink][KafkaSource] Impossible to disable hostname verification with SSL enryption,Sinks+Sources,Major,98.06094183
b9ef07d0e5d999b74fac4da9539d34d8126e03d6,/,/,    Remove extraneous line,/,/,100
8cc66fbc92ab64f8c7d82c8cc1a6d89a11311062,/,/,    Merge pull request #383 from apache/dependabot/maven/org.scala-lang-scala-library-2.13.9,/,/,100
9036db906d6fee66feee058f13d45f427b2dbd4c,FLUME-3435,Improvement,Allow KafkaSink to include timestamp and KafkaHeaders,Sinks+Sources,Major,100
669ffba4e3b66076501aeabee04dd4c918df76a8,/,/,    Remove user and dev guides,/,/,100
18356faa4721605f84bffb1d5149c6668d2da9ac,/,/,    Merge pull request #384 from apache/flume-spring-boot,/,/,100
65644d9f6ba047d167ffb437a98050fa4589c17e,FLUME-3440,New Feature,Add support for Spring Boot,Configuration,Major,98.06094183
d9ff429a13f537cd68834b916f66042a30d07854,/,/,    Bump scala-library from 2.13.7 to 2.13.9,/,/,98.38799333
bbae4b8b7775bbc2051e6e2f8b5e9b1b9c13ea06,/,/,    Spring Boot support,/,/,98.38799333
4e4f5e562cb74654264b93667b8250433e957083,/,/,    Update for release,/,/,100
38afaeb4cd987037d0acc44754fc98f43d10e0bc,/,/,    Update version,/,/,100
fe756b381c72ee216f19e8303c63e1d9ee7083fb,/,/,    Change version number,/,/,100
