CommitID,FileName,FileComplexity,FileTokenCount,FileMethodNum,LastFileComplexity,LastFileTokenCount,LastFileMethodNum,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC
a08e065c2214b5b0c60455a9839564729f746d09,src/gen-java/com/cloudera/flume/conf/FlumeDeployLexer.java,299,6598,52,299,6598,52,752,757,5,25665,25832,167,141,145,4
,src/gen-java/com/cloudera/flume/conf/FlumeDeployParser.java,188,13819,56,188,13819,56,,,,,,,,,
,src/gen-java/com/cloudera/flume/conf/thrift/NodeStatus.java,0,0,0,5,167,4,,,,,,,,,
,src/gen-java/com/cloudera/flume/shell/antlr/FlumeShellLexer.java,222,2779,18,222,2779,18,,,,,,,,,
,src/gen-java/com/cloudera/flume/shell/antlr/FlumeShellParser.java,43,2469,15,43,2469,15,,,,,,,,,
b999589da85ea8761e5e7a739c41dd281ebbafd3,src/java/com/cloudera/flume/master/ConfigManager.java,43,1732,26,43,1732,26,227,164,63,12661,7812,4849,125,83,42
,src/java/com/cloudera/flume/master/ConfigurationManager.java,0,279,0,0,279,0,,,,,,,,,
,src/java/com/cloudera/flume/master/FlumeMaster.java,50,1878,19,50,1898,19,,,,,,,,,
,src/java/com/cloudera/flume/master/LoadConfigCommand.java,2,161,1,2,161,1,,,,,,,,,
,src/java/com/cloudera/flume/master/MultiConfigCommand.java,9,440,4,9,440,4,,,,,,,,,
,src/java/com/cloudera/flume/master/SaveConfigCommand.java,2,161,1,2,161,1,,,,,,,,,
,src/java/com/cloudera/flume/master/TranslatingConfigurationManager.java,47,1972,24,47,1972,24,,,,,,,,,
,src/java/com/cloudera/flume/master/flows/FlowConfigManager.java,44,1533,27,0,0,0,,,,,,,,,
,src/javatest/com/cloudera/flume/master/TestFlumeConfigMaster.java,8,611,5,8,611,5,,,,,,,,,
,src/javatest/com/cloudera/flume/master/TestMemoryBackedConfigStore.java,3,558,3,3,558,3,,,,,,,,,
,src/javatest/com/cloudera/flume/master/flow/TestFailoverFlowConfigManager.java,7,860,5,0,0,0,,,,,,,,,
,src/javatest/com/cloudera/flume/master/flow/TestFlowConfigManager.java,5,1138,5,0,0,0,,,,,,,,,
,src/javatest/com/cloudera/flume/master/flow/TestLogicalFailoverFlowConfigManager.java,7,1338,5,0,0,0,,,,,,,,,
44b628f41df75b9c53a09eaa53d9f5b627deaba4,src/java/com/cloudera/flume/master/MasterAdminServer.java,11,585,10,11,570,10,11,11,0,585,570,15,10,10,0
2d4891dec7a640167d5be3f8a32d3a8a1940e753,src/java/com/cloudera/flume/master/StatusManager.java,13,853,8,13,821,8,60,60,0,2825,2793,32,32,32,0
,src/java/com/cloudera/flume/master/TranslatingConfigurationManager.java,47,1972,24,47,1972,24,,,,,,,,,
99c8d59d1dbfc4bca4eaf7af6cac86bb9ac9e5d3,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7938d2f16ba212f26ad59ff8e5cc7181be43f2e9,src/java/com/cloudera/flume/handlers/rolling/ProcessTagger.java,12,568,7,12,557,7,12,12,0,568,557,11,7,7,0
0d57e65d61baa7964e72da79a3b2868e8fd17c56,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d179043c2cbc48c131907a3633513b5708c65283,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94555dbc793dffd4c67d4533406aa24644dfbcd6,src/java/com/cloudera/flume/handlers/endtoend/ValueDecorator.java,3,256,3,3,254,3,3,3,0,256,254,2,3,3,0
005888cce1029d53fa9f8359dfaa341d889f3057,src/gen-java/com/cloudera/flume/conf/FlumeDeployLexer.java,299,6598,52,299,6598,52,917,898,19,29283,28867,416,197,192,5
,src/gen-java/com/cloudera/flume/conf/FlumeDeployParser.java,188,13819,56,188,13819,56,,,,,,,,,
,src/gen-java/com/cloudera/flume/conf/thrift/FlumeNodeStatus.java,165,3618,56,146,3202,51,,,,,,,,,
,src/gen-java/com/cloudera/flume/shell/antlr/FlumeShellLexer.java,222,2779,18,222,2779,18,,,,,,,,,
,src/gen-java/com/cloudera/flume/shell/antlr/FlumeShellParser.java,43,2469,15,43,2469,15,,,,,,,,,
3ffe9b43290efd485e865d647e61ae7aace2f55e,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3752f54a5d52f545eb05462187815edaa96e8933,src/java/com/cloudera/flume/agent/ThriftMultiMasterRPC.java,25,1181,14,25,1160,14,76,74,2,3389,3286,103,40,40,0
,src/java/com/cloudera/flume/reporter/ReportEvent.java,51,2208,26,49,2126,26,,,,,,,,,
5b19f1d6184fc5e86f6739846744e632d1308be3,src/java/com/cloudera/flume/conf/RuntimeRecognitionException.java,6,239,3,5,218,3,193,185,8,10967,10665,302,123,121,2
,src/java/com/cloudera/flume/master/CommandManager.java,34,1441,17,32,1392,17,,,,,,,,,
,src/java/com/cloudera/flume/master/CommandStatus.java,14,321,14,13,299,13,,,,,,,,,
,src/java/com/cloudera/flume/master/ConfigCommand.java,15,354,9,14,340,9,,,,,,,,,
,src/java/com/cloudera/flume/master/ConfigManager.java,44,1787,26,43,1732,26,,,,,,,,,
,src/java/com/cloudera/flume/master/MultiConfigCommand.java,9,440,4,9,440,4,,,,,,,,,
,src/javatest/com/cloudera/flume/conf/TestParserErrorMessages.java,15,464,7,15,464,7,,,,,,,,,
,src/javatest/com/cloudera/flume/master/TestCommandManager.java,28,2260,23,28,2260,23,,,,,,,,,
,src/javatest/com/cloudera/flume/master/TestFlumeConfigMaster.java,10,752,6,8,611,5,,,,,,,,,
,src/javatest/com/cloudera/flume/master/TestMemoryBackedConfigStore.java,3,558,3,3,558,3,,,,,,,,,
,src/javatest/com/cloudera/flume/master/TestZKBackedConfigStore.java,15,2351,11,15,2351,11,,,,,,,,,
13fb7b577228ddbdf34350ff35ee20c3de07fa9c,src/java/com/cloudera/flume/collector/CollectorSource.java,7,315,6,6,294,5,162,159,3,15182,14910,272,106,103,3
,src/java/com/cloudera/flume/conf/SourceFactoryImpl.java,13,1018,3,13,1005,3,,,,,,,,,
,src/java/com/cloudera/flume/core/EventSource.java,12,391,12,11,297,11,,,,,,,,,
,src/java/com/cloudera/flume/master/ConfigManager.java,44,1787,26,44,1787,26,,,,,,,,,
,src/java/com/cloudera/flume/master/failover/FailoverConfigurationManager.java,24,1237,9,24,1266,9,,,,,,,,,
