,FCA
index,A2A
commit2--commit3,100
commit3--commit6,31.22923588
commit6--commit7,74.07407407
commit7--commit8,100
commit8--commit9,79.31034483
commit9--commit10,80.95238095
commit10--commit11,80.95238095
commit11--commit12,77.41935484
commit12--commit13,71.15384615
commit13--commit14,63.46153846
commit14--commit15,97.91666667
commit15--commit16,97.31543624
commit16--commit17,100
commit17--commit18,94.19354839
commit18--commit19,100
commit19--commit20,96.22641509
commit20--commit21,88.82681564
commit21--commit22,97.53694581
commit22--commit23,100
commit23--commit24,100
commit24--commit25,97.6076555
commit25--commit26,100
commit26--commit27,100
commit27--commit28,100
commit28--commit29,100
commit29--commit30,100
commit30--commit31,95.30516432
commit31--commit32,98.17351598
commit32--commit33,98.66071429
commit33--commit34,100
commit34--commit35,100
commit35--commit36,98.2300885
commit36--commit37,100
commit37--commit38,92.4
commit38--commit39,100
commit39--commit40,100
commit40--commit41,100
commit41--commit42,100
commit42--commit43,95.62043796
commit43--commit44,100
commit44--commit45,93.79084967
commit45--commit46,96.1414791
commit46--commit47,92.30769231
commit47--commit48,98.7012987
commit48--commit49,100
commit49--commit50,91.51943463
commit50--commit51,100
commit51--commit52,100
commit52--commit53,96.26865672
commit53--commit54,99.27007299
commit54--commit55,100
commit55--commit56,100
commit56--commit57,100
commit57--commit58,93.56913183
commit58--commit59,100
commit59--commit60,95.84487535
commit60--commit61,85.01628664
commit61--commit62,97.08333333
commit62--commit63,93.01310044
commit63--commit64,100
commit64--commit65,93.80530973
commit65--commit66,98.32635983
commit66--commit67,91.56626506
commit67--commit68,100
commit68--commit69,100
commit69--commit70,100
commit70--commit71,86.50793651
commit71--commit72,100
commit72--commit73,100
commit73--commit74,100
commit74--commit75,68.99224806
commit75--commit76,100
commit76--commit77,100
commit77--commit78,98.51851852
commit78--commit79,100
commit79--commit80,100
commit80--commit81,100
commit81--commit82,100
commit82--commit83,100
commit83--commit84,100
commit84--commit85,100
commit85--commit86,100
commit86--commit87,100
commit87--commit88,100
commit88--commit89,100
commit89--commit90,100
commit90--commit91,100
commit91--commit92,94.94584838
commit92--commit93,100
commit93--commit94,98.93238434
commit94--commit95,100
commit95--commit96,100
commit96--commit97,100
commit97--commit98,100
commit98--commit99,100
commit99--commit100,100
commit100--commit101,98.55072464
commit101--commit102,98.18181818
commit102--commit103,99.28571429
commit103--commit104,100
commit104--commit105,100
commit105--commit106,100
commit106--commit107,95.27027027
commit107--commit108,100
commit108--commit109,88.53503185
commit109--commit110,97.07602339
commit110--commit111,96.50145773
commit111--commit112,98.13084112
commit112--commit113,100
commit113--commit114,11.21495327
commit114--commit115,100
commit115--commit116,33.01587302
commit116--commit117,100
commit117--commit118,100
commit118--commit119,89.48948949
commit119--commit120,94.47368421
commit120--commit121,100
commit121--commit122,100
commit122--commit123,98.2278481
commit123--commit124,89.58837772
commit124--commit125,100
commit125--commit126,98.87640449
commit126--commit127,100
commit127--commit128,93.79844961
commit128--commit129,100
commit129--commit130,100
commit130--commit131,97.46376812
commit131--commit132,100
commit132--commit133,100
commit133--commit134,99.24528302
commit134--commit135,100
commit135--commit136,100
commit136--commit137,100
commit137--commit138,98.02867384
commit138--commit139,100
commit139--commit140,100
commit140--commit141,100
commit141--commit142,99.48275862
commit142--commit143,100
commit143--commit144,100
commit144--commit145,100
commit145--commit146,100
commit146--commit147,100
commit147--commit148,100
commit148--commit149,100
commit149--commit150,100
commit150--commit151,100
commit151--commit152,100
commit152--commit153,100
commit153--commit154,100
commit154--commit155,100
commit155--commit156,99.14236707
commit156--commit157,94.16195857
commit157--commit158,100
commit158--commit159,100
commit159--commit160,97.00854701
commit160--commit161,100
commit161--commit162,100
commit162--commit163,100
commit163--commit164,100
commit164--commit165,98.1981982
commit165--commit166,100
commit166--commit167,100
commit167--commit168,100
commit168--commit169,100
commit169--commit170,100
commit170--commit171,100
commit171--commit172,100
commit172--commit173,98.62385321
commit173--commit174,100
