CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
3802e1db9e8ad7aa12facb0643840a1c722c19f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6b653c71f2fc8e408edeca4e9081df3fb7463329,92,97,16854,16757,4,0,4,2,2,-792,1,12,5.577419451,12516,3,3,10,1708,1698,312,70399,70087,10,519,509,31.22923588
b82f832098344d3c38241ba9d5848b94c678bc55,5,103,0,103,3,0,3,1,2,2,1,2,1.911878872,30,4,4,10,3,7,415,141,274,9,3,6,74.07407407
20e3f4f2e1302fb517ec6fd28c936d702b9c018a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,100
790761a8a9660d2097028b14472db66569218e1d,3,1,52,51,0,0,0,1,3,3,1,2,0.931007193,38,6,6,0,4,4,64,174,110,0,4,4,79.31034483
699287bbd92d3d832254916b2f358b34d88c372b,2,18,9,9,0,0,0,1,2,0,1,1,0.918295834,27,7,7,5,5,0,155,162,7,4,4,0,80.95238095
fc0585a7163d6bec473b2acc5d1c352fb8272fbc,1,20,0,20,1,0,1,1,1,0,1,1,0,0,8,8,1,0,1,63,0,63,1,0,1,80.95238095
9bf4077fc5dd301587f23a0f84b92ac1d2f4bece,7,217,6,211,3,0,3,1,4,1,1,1,2.23451338,63,9,9,30,9,21,1104,377,727,26,9,17,77.41935484
28014fc270784cd2c4955a5d8971475da5eb7d4f,9,474,8,466,6,0,6,1,3,3,1,1,2.306959046,123,10,10,59,18,41,2419,664,1755,29,14,15,71.15384615
b17c6eb89da8932d7bf389d512f3a91cf0e8dcf0,16,6104,0,6104,16,0,16,1,1,0,1,1,3.359749145,0,11,11,867,0,867,21954,0,21954,192,0,192,63.46153846
be7460d372f5831081dc7b908c4d69b395699f8c,5,315,72,243,1,0,1,1,4,0,1,1,1.414019426,321,12,12,73,42,31,2985,1797,1188,24,19,5,97.91666667
e74ad53c3ce15ba7788601ca909d8d9439a0dfbc,2,178,11,167,1,0,1,1,3,11,1,1,0.977895682,26,13,13,20,5,15,1178,155,1023,11,4,7,97.31543624
ce688fa32d12c794d66d62bd052d1c5d677b6f1c,5,94,41,53,0,0,0,1,5,0,1,2,1.902760949,586,14,14,82,80,2,3883,3505,378,33,31,2,100
e723f662b8e65da90e2274ff9f2ea2fe31d6de48,17,689,154,535,2,0,2,1,6,4,1,2,2.914001713,859,15,12,159,115,44,7569,5246,2323,76,54,22,94.19354839
638e38557b424c4860955b89321f18173b347e36,6,3,32,29,0,0,0,1,7,0,1,2,1.906337592,957,16,13,115,115,0,5807,6025,218,41,41,0,100
edec3a8a77bc39d1d364a22eb45e0c21e952a5fe,9,229,108,121,1,0,1,1,8,8,1,2,2.419320429,923,17,9,125,111,14,6181,5687,494,53,46,7,96.22641509
c2b577b7fdb8c0b4afb6b8392eb79fde605a2511,10,377,139,238,4,0,4,1,9,2,1,3,2.952091401,954,18,10,148,122,26,6767,5895,872,53,48,5,88.82681564
913ea4d0b914fa87edd5e4719eeb9d4a11de4320,5,324,0,324,2,0,2,1,10,0,1,1,1.119283746,790,0,0,134,104,30,6325,4730,1595,37,23,14,97.53694581
c2e211bc66d4055a55e6b3c637c7c9bf17fd7f22,6,77,17,60,0,0,0,2,11,1,1,2,1.460034644,1142,1,1,162,157,5,7557,7225,332,56,54,2,100
d1e8d87ca379679720fa03595dfb92149c30f916,3,17,11,6,0,0,0,2,12,0,1,2,1.148834854,345,2,2,46,46,0,2242,2224,18,25,25,0,100
97d87dfb664c691de2ff9833f9021e899558cd5a,9,639,93,546,1,0,1,2,13,0,1,3,1.577111467,1231,19,10,224,162,62,10387,7809,2578,59,50,9,97.6076555
565e84d7f51058da6dbcc5c9aecccf8047c43d94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,100
d93b5525c4769595f4a2bf5fb4e0fde02908c04b,2,9,3,6,0,0,0,2,12,0,1,2,0.811278124,529,21,12,72,71,1,3223,3193,30,17,17,0,100
f01c4c502c3396f50ee4efe23650b94f6e62ed77,1,19,2,17,0,0,0,1,3,30,1,1,0,64,22,13,13,9,4,427,357,70,5,5,0,100
9de7ce118f3ac0de74799018f23ee69aaa1422f7,4,65,26,39,0,0,0,1,14,6,1,1,1.629834764,1293,23,14,178,172,6,7814,7582,232,36,36,0,100
1f19e8c99625f5326197032444dcbbcfd394d758,1,9,8,1,0,0,0,2,12,2,1,1,0,690,24,13,96,96,0,4006,4006,0,18,18,0,100
4f92d5e097ae75da60b7e96695fb92438d4c0717,13,330,148,182,2,0,2,2,15,5,1,3,2.853155559,1456,25,12,213,197,16,10116,9106,1010,76,72,4,95.30516432
8c8cb8b0132c2416279a52da47b0015120496a09,9,127,39,88,1,0,1,1,16,2,1,2,2.359496291,1348,26,13,191,184,7,8652,8277,375,70,65,5,98.17351598
