NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
256,128,3740,127027,1566,23.70225269
128,0,2254,80358,1167,68.37865055
3,0,0,0,0,100
3,0,0,0,0,100
5,0,0,11,0,100
4,0,6,492,5,100
7,1,9,182,4,96.70846395
0,0,0,0,0,100
3,0,6,105,1,100
9,6,131,4066,75,90.43478261
0,0,0,0,0,100
0,0,0,0,0,100
2,1,4,244,3,98.06094183
0,0,0,0,0,100
0,0,0,0,0,100
4,1,9,325,5,99.27536232
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,179,2,99.71014493
2,0,1,18,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
11,0,0,201,0,100
1,0,0,23,0,100
1,0,0,3,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
23,6,74,2563,35,88.80484115
11,1,0,0,0,99.6835443
0,0,0,0,0,100
0,0,0,0,0,100
19,0,3,373,1,100
0,0,0,0,0,100
2,0,0,24,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,60,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,2,0,100
1,0,0,0,0,100
1,0,0,0,0,100
4,1,35,1311,33,97.12556732
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,43,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,3,234,3,93.06784661
1,0,0,5,0,100
1,0,3,33,3,100
0,0,0,0,0,100
9,1,11,270,4,99.6996997
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,12,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,9,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,2,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,86,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,81,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
2,1,14,906,6,95.09493671
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,5,134,0,100
0,0,0,0,0,100
1,0,1,8,0,100
0,0,0,0,0,100
2,0,94,3699,18,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,2,9,539,2,99.16805324
0,0,0,0,0,100
1,0,1,20,1,100
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
14,14,340,13158,119,93.19620253
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,13,1,100
0,0,0,0,0,100
1,0,1,66,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,14,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,7,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,5,181,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
