CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
8e940693817a08d064e90352e2130effe3fd2c4c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
acf57c062f4b3323dcc029ddba2756edb7838714,256,17378,0,17378,128,0,128,1,1,0,4,90,6.500002938,11069,2,2,4508,768,3740,162099,35072,127027,2334,768,1566,23.70225269
64b79914345122f19719ee0c6811eb64f041f560,128,0,15283,15283,0,0,0,1,2,0,4,45,6.360495716,11069,3,3,0,2254,2254,0,80358,80358,0,1167,1167,68.37865055
b524cebfca12dbf3a662695cce2843f66bdb5883,3,3,5,8,0,0,0,2,2,6,1,2,1.5,105,0,0,5,5,0,784,784,0,4,4,0,100
ef57501f6830245359e3ca290021fedf42a18b44,3,4,5,9,0,0,0,1,2,21,1,3,1.392147224,463,4,4,118,118,0,3253,3253,0,52,52,0,100
fe6f6007b43eb78386bd152a6c48098e0cee3cda,5,4,5,9,0,0,0,2,3,18,1,3,2.281036113,460,1,1,94,94,0,3321,3332,11,58,58,0,100
8867d0605aa01e02ed0e971cc63536353f0990a0,4,235,22,257,0,0,0,2,4,66,1,1,1.640444458,228,5,0,33,27,6,2474,1982,492,24,19,5,100
4207ddd67b427e308d75cdef250c1a28237125e9,7,103,40,143,1,0,1,1,2,66,1,7,2.146960029,565,6,1,125,116,9,4349,4167,182,81,77,4,96.70846395
6b79e8f43b6b934ed3902b005b179595dfea0814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,100
4a831be2bfc1df53311885acdf58bf2be03f304f,3,31,3,34,0,0,0,1,2,108,1,3,1.364594389,146,8,3,22,16,6,1203,1098,105,13,12,1,100
9d16d94ca210eb1a5fafb1f37a3ecb063bd6310e,9,815,5,820,6,0,6,1,5,22,3,4,2.440422224,883,9,1,298,167,131,10559,6493,4066,124,49,75,90.43478261
17e681ce2af93052f01cd6a0a014d7c4d326711c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,100
4638c444368a8f028437018533fd38ca024403af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
cdacd2965c86067fb37a4e335d0663c9b5f769b4,2,79,13,92,1,0,1,1,3,96,1,1,0.615253891,86,1,0,14,10,4,972,728,244,9,6,3,98.06094183
a1b2d53c8bc5e6dd9d12604f98e442c9adf11ae7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,100
41e87e0737b4fba8791de2b1656019c9f7891c02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,100
abc97fedb0093a2d899d685451a75bcf56c9b967,4,100,25,125,1,0,1,2,5,139,1,1,1.638327192,182,4,2,35,26,9,1754,1429,325,26,21,5,99.27536232
7736a7b31dfbf8a306d7cf9520f82340044f491f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,100
db7a73f3f69b617efb41bfe303f03d6133edf5d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,100
2214b2e4d9c8c0041b920527fbfeec92a4b3104c,1,0,45,45,0,0,0,2,3,334,1,1,0,20,2,0,0,2,2,0,179,179,0,2,2,99.71014493
74046a2fcdafad5a90e20a68ad4718f308156762,2,4,6,10,0,0,0,2,2,446,1,1,0.881290899,566,0,0,128,129,1,4570,4588,18,38,38,0,100
9edc6f8f065603c28d41245667eab9bc3dba8be7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,100
810bc5c0de5afa10327aa84c9d57be0ac612542e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,100
61b4a9e8a6182e0ca15ec9a8389935dd93fc31f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,100
33c02eb016e2902e639b11a3774b622f30fa6a8c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ee60cf08b83e24acd35831152fe5959743df8f89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
67274381ce1a821155a610c78a2e40471834e259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
e682197aad5cf40bc37cedbf2d98251ca6e01b5a,11,136,181,317,0,0,0,2,3,692,3,5,2.92936013,337,10,0,12,12,0,2454,2655,201,7,7,0,100
de89793edd1118490a40a81ba81d9570971cc08d,1,10,8,18,0,0,0,2,2,764,1,1,0,377,11,0,113,113,0,3083,3060,23,19,19,0,100
4af433e99366e9458301013bcbe9a5da4277c606,1,1,1,2,0,0,0,2,2,771,1,1,0,50,3,0,10,10,0,297,294,3,9,9,0,100
65ace1086680d680ab81fce7c725437db9996dfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,100
cb2b38dd7ee1a0406fc5ebb17761a1d9223b8dd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,100
7ceae1b5d52a24a23e74accb345ff535ca391b34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,100
e1842847b31f1c802f7c32fe7135096e063899bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,100
3743da48981761d6b653d80b1cee9bcaa54c7011,23,1093,1690,2783,6,0,6,3,3,567,2,4,3.875372745,1340,0,0,162,236,74,7244,9807,2563,75,110,35,88.80484115
9928332b3f375041bad2824ed723f7f279b903f7,11,181,1,182,1,0,1,2,3,0,1,2,3.321166002,828,1,1,149,149,0,6730,6730,0,67,67,0,99.6835443
bdfc5bb48e24463b3b9362e0c3dc6fbb584504d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17a7112d2c9091e87a511d753fa40e1767f38f0c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,100
189b92e40747dee516eb060723606b2573b6df8a,19,92,59,151,0,0,0,2,6,840,3,16,3.618889687,2175,9,1,372,369,3,17466,17093,373,201,200,1,100
7fc5067426717dadcdb875f6d0d3758fbbeed25c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,100
8cda8a401d28a02338fab466f8641976c9ea5e0f,2,24,3,27,0,0,0,2,4,649,1,2,0.605186577,577,11,3,82,82,0,5283,5259,24,35,35,0,100
18d2fc2cce689f2ca3af70dd7a43959121ac4413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,100
3abd4220efcaf0e89a1c266279a08f80000f0782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,100
f374c70b9a184e8e4f694c8d57a5652571c24c73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,100
