NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
31,0,156,9011,80,59.05511811
14,8,88,3451,54,69.23076923
1,0,24,994,14,98.14814815
5,2,3,437,2,91.74311927
3,0,12,448,6,96.3963964
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
10,0,6,119,6,93.22033898
1,0,0,0,0,100
0,0,0,0,0,100
3,0,2,24,1,100
1,0,0,24,0,100
1,0,0,0,0,100
1,0,0,0,0,100
3,0,2,78,2,100
0,0,0,0,0,100
1,0,0,0,0,100
8,0,9,353,7,99.20634921
0,0,0,0,0,100
0,0,0,0,0,100
7,1,6,444,3,94.53125
0,0,0,0,0,100
6,0,3,102,1,97.6744186
0,0,0,0,0,100
1,0,3,51,1,100
0,0,0,0,0,100
2,0,0,96,0,100
0,0,0,0,0,100
1,0,0,17,0,98.41269841
0,0,0,0,0,100
2,0,0,59,0,100
3,0,0,40,0,100
0,0,0,0,0,100
3,0,0,7,0,100
2,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
6,0,0,83,0,96.69421488
4,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
3,0,2,47,1,100
0,0,0,0,0,100
3,0,4,189,2,89.47368421
0,0,0,0,0,100
2,0,3,116,3,100
1,0,0,27,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,0,0,0,0,100
1,0,0,0,0,100
1,0,0,16,0,100
0,0,0,0,0,100
2,0,0,24,0,100
0,0,0,0,0,100
1,0,9,201,3,97.22222222
2,0,28,997,20,94.05940594
8,3,37,1271,23,91.34615385
0,0,0,0,0,100
2,1,3,139,3,97.4789916
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
17,3,1,618,0,88.52459016
13,0,1,583,0,85.36585366
3,0,0,26,0,96.8503937
1,0,0,9,0,100
0,0,0,0,0,100
0,0,0,0,0,100
17,3,1,598,0,88.52459016
3,0,1,589,1,88.49557522
6,0,0,13,0,97.34513274
4,0,1,63,0,100
1,0,0,0,0,100
7,1,7,429,5,96.09375
1,0,0,0,0,100
1,0,0,0,0,100
4,0,3,203,2,100
1,0,0,0,0,100
4,0,3,311,2,91.2
9,2,20,1101,6,96.55172414
2,2,24,1016,12,93.98496241
2,0,24,1016,12,91.04477612
2,0,0,0,0,100
1,0,0,4,0,100
1,0,0,96,0,100
3,0,0,175,0,100
12,2,43,1556,33,90.4
1,0,0,5,0,100
4,0,0,223,0,96.875
1,0,0,10,0,100
5,0,7,64,0,100
6,0,4,286,4,96.06299213
3,0,0,58,0,100
1,0,0,18,0,100
1,0,0,0,0,100
4,0,7,43,0,100
1,0,0,41,0,100
7,0,1,141,1,100
4,0,6,283,3,93.79310345
4,0,4,213,3,100
7,1,8,175,8,92.56756757
1,0,0,15,0,100
5,0,5,217,4,100
3,0,0,0,0,100
1,0,0,0,0,100
1,0,1,17,0,100
1,0,1,37,1,100
1,0,0,2,0,100
1,0,0,0,0,100
1,0,0,0,0,100
6,1,17,623,10,91.92546584
2,0,1,300,0,100
1,0,1,275,0,100
0,0,0,0,0,100
0,0,0,0,0,100
12,12,84,2936,48,79.89949749
0,0,0,0,0,100
1,0,0,0,0,100
7,0,3,8,4,92.30769231
4,1,12,870,10,99.04761905
3,1,0,46,0,98.13953488
14,1,2,140,2,82.87292818
2,0,0,0,0,100
3,0,1,23,1,98.63013699
2,0,3,145,2,100
3,0,2,48,2,100
3,0,0,18,0,100
