,FCA
index,A2A
commit3--commit4,100.0
commit4--commit5,100.0
commit5--commit6,100.0
commit6--commit7,100.0
commit7--commit8,100.0
commit8--commit9,100.0
commit9--commit10,100.0
commit10--commit11,100.0
commit11--commit12,100.0
commit12--commit13,59.05511811023623
commit13--commit14,69.23076923076923
commit14--commit15,98.14814814814815
commit15--commit16,91.74311926605505
commit16--commit17,96.3963963963964
commit17--commit18,100.0
commit18--commit19,100.0
commit19--commit20,100.0
commit20--commit21,93.22033898305084
commit21--commit22,100.0
commit22--commit23,100.0
commit23--commit24,100.0
commit24--commit25,100.0
commit25--commit26,100.0
commit26--commit27,100.0
commit27--commit28,100.0
commit28--commit29,100.0
commit29--commit30,100.0
commit30--commit31,99.20634920634922
commit31--commit32,100.0
commit32--commit33,100.0
commit33--commit34,94.53125
commit34--commit35,100.0
commit35--commit36,97.67441860465115
commit36--commit37,100.0
commit37--commit38,100.0
commit38--commit39,100.0
commit39--commit40,100.0
commit40--commit41,100.0
commit41--commit42,98.41269841269842
commit42--commit43,100.0
commit43--commit44,100.0
commit44--commit45,100.0
commit45--commit46,100.0
commit46--commit47,100.0
commit47--commit48,100.0
commit48--commit49,100.0
commit49--commit50,100.0
commit50--commit51,100.0
commit51--commit52,96.69421487603306
commit52--commit53,100.0
commit53--commit54,100.0
commit54--commit55,100.0
commit55--commit56,100.0
commit56--commit57,100.0
commit57--commit58,89.47368421052632
commit58--commit59,100.0
commit59--commit60,100.0
commit60--commit61,100.0
commit61--commit62,100.0
commit62--commit63,100.0
commit63--commit64,100.0
commit64--commit65,100.0
commit65--commit66,100.0
commit66--commit67,100.0
commit67--commit68,100.0
commit68--commit69,100.0
commit69--commit70,97.22222222222221
commit70--commit71,94.05940594059405
commit71--commit72,91.34615384615384
commit72--commit73,100.0
commit73--commit74,97.47899159663865
commit74--commit75,100.0
commit75--commit76,100.0
commit76--commit77,100.0
commit77--commit78,100.0
commit78--commit79,100.0
commit79--commit80,100.0
commit80--commit81,88.52459016393442
commit81--commit82,85.36585365853658
commit82--commit83,96.85039370078741
commit83--commit84,100.0
commit84--commit85,100.0
commit85--commit86,100.0
commit86--commit87,88.52459016393442
commit87--commit88,88.49557522123894
commit88--commit89,97.34513274336283
commit89--commit90,100.0
commit90--commit91,100.0
commit91--commit92,96.09375
commit92--commit93,100.0
commit93--commit94,100.0
commit94--commit95,100.0
commit95--commit96,100.0
