CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
ef1a9569c57c965118737d2b32929fb1d931da01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
107c009880f8e1889183f50be2618a1ab7862866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,100
b06c41eb5b4d78ed4133c7ad5cc83aec0cc0217d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,100
b6c2535f27d8ebc7d44ad06704642c5ae17e9d93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,100
499c6c0370d4573019b5da7ea1d7d23e2554abec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,100
58b2af09171e0dd89a9f84725a419234d253812b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,100
652c13aa304d52f37b78687e2247179592ab4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,100
38b4d62102901dd5c66698fb8f53e1a923e8cb0a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,100
4377352d3b85cdb9e60a1b772dab92b695aee131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,100
b67707cf5ff16c80bd27a0350761a2c2d9180f3b,31,345,2227,1882,0,0,0,1,2,90,1,6,4.583163492,1800,11,8,129,285,156,5744,14755,9011,78,158,80,59.05511811
