NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,0,26,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
2,0,0,56,0,94.26280074
0,0,0,0,0,100
1,0,1,11,0,100
8,2,1,41,0,94.26280074
8,0,1,41,0,94.26280074
4,0,0,48,0,100
1,0,4,18,1,100
195,0,0,3700,0,100
0,0,0,0,0,100
21,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,4,0,100
1,0,0,30,0,100
19,0,0,2,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,65,1,100
0,0,0,0,0,100
1,0,2,154,0,100
1,0,0,0,0,100
1,0,0,21,0,100
5,0,6,274,1,100
4,0,0,60,0,100
7,0,14,385,7,100
6,0,0,17,0,100
0,0,0,0,0,100
1,0,16,614,0,100
0,0,0,0,0,100
1,0,0,5,0,100
0,0,0,0,0,100
1,0,0,4,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,6,0,100
1,0,0,16,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,19,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,4,60,0,100
2,0,1,20,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,28,0,100
1,0,3,98,1,100
3,0,3,85,1,100
3,0,2,50,0,100
8,0,1,74,0,100
2,0,2,30,0,100
2,0,1,8,0,100
2,0,8,193,2,100
7,0,19,547,13,92.83175355
38,0,15,61,0,100
1,0,0,2,0,100
7,1,24,729,4,96.74054759
9,0,17,501,5,100
1,0,9,164,0,100
2,0,0,8,0,100
4,0,21,964,8,100
0,0,0,0,0,100
5,0,5,167,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,10,0,100
3,0,0,15,0,100
4,0,0,15,0,100
4,0,0,15,0,100
1,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
6,0,0,0,0,100
1,0,0,0,0,100
2,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
3,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
4,0,0,0,0,100
310,0,0,0,0,100
0,0,0,0,0,100
620,310,924,67336,929,24.50738916
0,0,0,0,0,100
38,0,227,74642,0,87.77022854
2,0,7,227,7,100
1,0,1,4,0,100
1,0,0,10,0,100
1,0,0,6,0,100
1,0,7,186,0,100
1,0,3,65,0,100
13,0,31,783,6,98.62637363
4,0,16,700,1,100
6,2,10,327,8,95.75671853
2,0,0,2,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
7,0,0,0,0,100
1,0,0,24,0,100
2,0,0,12,0,100
3,0,0,0,0,100
2,0,0,0,0,100
6,0,0,176,0,100
8,0,0,10,0,100
2,0,0,0,0,100
1,0,0,30,0,100
2,0,0,21,0,100
2,0,0,4,0,100
2,0,3,73,1,100
1,0,0,4,0,100
11,0,0,1,0,100
1,0,0,6,0,100
4,0,0,6,0,100
1,0,2,122,0,100
1,0,1,37,0,100
3,0,0,0,0,100
0,0,0,0,0,100
15,0,0,435,0,100
29,0,368,12213,91,98.27338129
3,0,0,0,0,100
4,0,0,0,0,100
8,0,0,0,0,100
