NMF,NAD,CFC,NCC,NMC,a2a
18,1,83,4218,38,98.87640449
20,3,223,8702,97,87.10280374
16,6,49,1974,25,97.13261649
17,0,18,493,13,95.221843
2,0,2,699,0,100
10,0,18,2950,6,97.20767888
4,1,3,771,1,99.28952043
30,2,61,2451,1,93.20214669
17,2,35,1466,13,97.6146789
0,0,0,0,0,100
5,1,10,1519,7,99.07578558
1,0,0,108,0,100
20,10,123,5400,48,92.79279279
124,0,1113,58931,563,16.21621622
7,0,0,0,0,95.46925566
45,0,27,1521,5,86.27118644
50,0,115,4219,55,79.89130435
4,0,1,43,1,98.17518248
9,3,26,890,19,98.1981982
0,0,0,0,0,100
6,1,10,789,10,98.74551971
0,0,0,0,0,100
44,5,64,3492,45,89.18918919
1,0,0,0,0,99.35794543
1,0,0,35,0,100
5,2,4,449,3,98.2428115
24,4,39,1832,21,95.51083591
7,0,14,662,5,99.54614221
4,2,21,312,4,94.22222222
9,1,27,275,4,96.85714286
7,0,13,424,7,98.87323944
32,10,56,3158,49,90.85948158
9,3,24,2605,18,98.81889764
20,9,46,3861,34,94.79418886
0,0,0,0,0,100
9,0,22,854,10,96.70588235
7,0,8,435,3,98.14585909
5,0,14,671,6,98.7654321
33,0,53,2880,47,92.4691358
25,3,57,1316,57,93.50318471
16,0,11,7394,17,93.48659004
1,0,0,33,0,100
1,0,0,0,0,100
4,3,20,663,17,99.13043478
8,0,12,1000,9,97.90123457
1,0,0,0,0,100
3,0,0,47,0,98.2630273
164,0,1100,48592,435,20.31823745
46,1,104,3858,67,84.65408805
10,0,20,1385,16,92.76944065
1,0,0,0,0,97.90502793
1,0,0,20,0,100
15,0,7,130,7,98.89807163
37,0,87,6595,65,88.33107191
12,1,0,505,0,98.13084112
4,0,5,174,2,100
2,2,9,583,4,97.05882353
7,0,3,599,2,98.00531915
26,4,47,3281,15,94.16149068
7,1,10,18,3,95.97069597
1,0,0,33,0,100
7,1,16,589,16,98.47522236
15,0,8,1456,24,95.31051965
15,0,1,44,1,100
1,0,4,61,1,100
9,0,4,104,1,98.06451613
1,0,0,84,0,100
4,0,0,0,0,100
4,2,0,275,0,97.75429326
3,0,0,77,0,97.13914174
2,0,0,4,0,100
5,2,9,971,4,94.35483871
7,0,9,971,4,94.35483871
5,2,9,971,4,94.35483871
4,0,2,158,1,93.97905759
39,6,42,259,10,89.16449086
4,0,0,9,0,100
2,0,25,2356,7,92.36947791
9,1,28,2233,17,92.12328767
4,1,9,457,4,96.16724739
1,0,1,396,1,100
1,0,2,332,2,100
6,0,7,414,1,97.93814433
2,0,3,85,1,100
2,0,1,286,1,100
4,4,38,1507,20,95.05703422
6,0,10,475,6,95.71788413
1,0,0,15,0,100
3,3,29,998,17,99.13793103
16,2,7,2851,32,97.18137255
0,0,0,0,0,100
0,0,0,0,0,100
2,0,2,45,0,100
0,0,0,0,0,100
0,0,0,0,0,100
11,6,173,3486,170,96.61016949
1,0,0,0,0,100
4,0,4,203,1,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,90,0,100
0,0,0,0,0,100
1,0,0,0,0,100
5,0,1,7,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,4,169,1,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,27,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,7,308,4,100
3,0,1,3,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,5,0,100
9,0,5,253,2,98.1416957
9,0,11,121,4,99.09297052
5,4,15,971,8,98.98762655
1,0,0,2,0,99.5545657
5,5,75,3513,38,98.78987899
1,0,0,0,0,99.56521739
2,0,46,2089,25,99.56331878
164,61,968,48170,492,66.60649819
26,4,4,886,2,96.50909091
16,7,33,2509,17,91.02011494
1,0,0,9,0,100
29,7,114,4704,81,94.23076923
1,1,3,172,3,99.87309645
0,0,0,0,0,100
5,0,42,2463,26,96.56862745
43,10,61,2940,22,90.15444015
19,2,60,1566,41,93.75
1,0,0,0,0,100
1,0,0,118,0,100
10,7,83,3541,37,98.72881356
12,0,68,2459,30,98.72881356
10,7,83,3541,37,98.8045007
20,11,57,2698,27,97.64868603
4,0,16,427,7,99.45205479
1,0,1,28,0,100
6,2,3,234,3,99.25423729
2,0,0,0,0,100
1,0,0,87,0,99.5923913
19,1,5,677,3,95.75163399
8,1,5,654,3,99.87437186
3,1,6,758,2,98.59926918
0,0,0,0,0,100
0,0,0,0,0,100
10,0,15,1028,9,100
2,0,0,130,0,100
15,1,31,2355,13,96.98113208
10,0,26,175,1,97.94740218
4,0,2,216,3,100
9,2,0,301,0,99.69325153
5,2,8,693,6,98.71007371
5,0,3,94,2,100
11,0,0,34,0,100
