,FCA
index,A2A
commit1--commit2,98.87640449
commit2--commit3,87.10280374
commit3--commit4,97.13261649
commit4--commit5,95.221843
commit5--commit6,100
commit6--commit7,97.20767888
commit7--commit8,99.28952043
commit8--commit9,93.20214669
commit9--commit10,97.6146789
commit10--commit11,100
commit11--commit12,99.07578558
commit12--commit13,100
commit13--commit14,92.79279279
commit14--commit15,16.21621622
commit15--commit16,95.46925566
commit16--commit17,86.27118644
commit17--commit18,79.89130435
commit18--commit19,98.17518248
commit19--commit20,98.1981982
commit20--commit21,100
commit21--commit22,98.74551971
commit22--commit23,100
commit23--commit24,89.18918919
commit24--commit25,99.35794543
commit25--commit26,100
commit26--commit27,98.2428115
commit27--commit28,95.51083591
commit28--commit29,99.54614221
commit29--commit30,94.22222222
commit30--commit31,96.85714286
commit31--commit32,98.87323944
commit32--commit33,90.85948158
commit33--commit34,98.81889764
commit34--commit35,94.79418886
commit35--commit36,100
commit36--commit37,96.70588235
commit37--commit38,98.14585909
commit38--commit39,98.7654321
commit39--commit40,92.4691358
commit40--commit41,93.50318471
commit41--commit42,93.48659004
commit42--commit43,100
commit43--commit44,100
commit44--commit45,99.13043478
commit45--commit46,97.90123457
commit46--commit47,100
commit47--commit48,98.2630273
commit48--commit49,20.31823745
commit49--commit50,84.65408805
commit50--commit51,92.76944065
commit51--commit52,97.90502793
commit52--commit53,100
commit53--commit54,98.89807163
commit54--commit55,88.33107191
commit55--commit56,98.13084112
commit56--commit57,100
commit57--commit58,97.05882353
commit58--commit59,98.00531915
commit59--commit60,94.16149068
commit60--commit61,95.97069597
commit61--commit62,100
commit62--commit63,98.47522236
commit63--commit64,95.31051965
commit64--commit65,100
commit65--commit66,100
commit66--commit67,98.06451613
commit67--commit68,100
commit68--commit69,100
commit69--commit70,97.75429326
commit70--commit71,97.13914174
commit71--commit72,100
commit72--commit73,94.35483871
commit73--commit74,94.35483871
commit74--commit75,94.35483871
commit75--commit76,93.97905759
commit76--commit77,89.16449086
commit77--commit78,100
commit78--commit79,92.36947791
commit79--commit80,92.12328767
commit80--commit81,96.16724739
commit81--commit82,100
commit82--commit83,100
commit83--commit84,97.93814433
commit84--commit85,100
commit85--commit86,100
commit86--commit87,95.05703422
commit87--commit88,95.71788413
commit88--commit89,100
commit89--commit90,99.13793103
commit90--commit91,97.18137255
commit91--commit92,100
commit92--commit93,100
commit93--commit94,100
commit94--commit95,100
commit95--commit96,100
commit96--commit97,96.61016949
commit97--commit98,100
commit98--commit99,100
commit99--commit100,100
commit100--commit101,100
commit101--commit102,100
commit102--commit103,100
commit103--commit104,100
commit104--commit105,100
commit105--commit106,100
commit106--commit107,100
commit107--commit108,100
commit108--commit109,100
commit109--commit110,100
commit110--commit111,100
commit111--commit112,100
commit112--commit113,100
commit113--commit114,100
commit114--commit115,100
commit115--commit116,100
commit116--commit117,100
commit117--commit118,100
commit118--commit119,100
commit119--commit120,100
commit120--commit121,100
commit121--commit122,100
commit122--commit123,100
commit123--commit124,100
commit124--commit125,98.1416957
commit125--commit126,99.09297052
commit126--commit127,98.98762655
commit127--commit128,99.5545657
commit128--commit129,98.78987899
commit129--commit130,99.56521739
commit130--commit131,99.56331878
commit131--commit132,66.60649819
commit132--commit133,96.50909091
commit133--commit134,91.02011494
commit134--commit135,100
commit135--commit136,94.23076923
commit136--commit137,99.87309645
commit137--commit138,100
commit138--commit139,96.56862745
commit139--commit140,90.15444015
commit140--commit141,93.75
commit141--commit142,100
commit142--commit143,100
commit143--commit144,98.72881356
commit144--commit145,98.72881356
commit145--commit146,98.8045007
commit146--commit147,97.64868603
commit147--commit148,99.45205479
commit148--commit149,100
commit149--commit150,99.25423729
commit150--commit151,100
commit151--commit152,99.5923913
commit152--commit153,95.75163399
commit153--commit154,99.87437186
commit154--commit155,98.59926918
commit155--commit156,100
commit156--commit157,100
commit157--commit158,100
commit158--commit159,100
commit159--commit160,96.98113208
commit160--commit161,97.94740218
commit161--commit162,100
commit162--commit163,99.69325153
commit163--commit164,98.71007371
commit164--commit165,100
commit165--commit166,100
commit166--commit167,100
commit167--commit168,100
commit168--commit169,100
commit169--commit170,100
commit170--commit171,99.26017263
commit171--commit172,98.66017052
commit172--commit173,100
commit173--commit174,100
commit174--commit175,100
commit175--commit176,100
commit176--commit177,97.54672897
commit177--commit178,100
commit178--commit179,96.88561721
commit179--commit180,96.6553288
commit180--commit181,99.48892675
commit181--commit182,99.94331066
commit182--commit183,100
commit183--commit184,100
commit184--commit185,100
commit185--commit186,100
commit186--commit187,98.93138358
commit187--commit188,100
commit188--commit189,100
commit189--commit190,99.72144847
commit190--commit191,100
commit191--commit192,100
commit192--commit193,100
commit193--commit194,100
commit194--commit195,100
commit195--commit196,100
commit196--commit197,100
commit197--commit198,100
commit198--commit199,100
commit199--commit200,99.88876529
commit200--commit201,100
commit201--commit202,100
commit202--commit203,100
commit203--commit204,100
commit204--commit205,100
commit205--commit206,100
commit206--commit207,100
commit207--commit208,100
commit208--commit209,100
commit209--commit210,100
commit210--commit211,100
commit211--commit212,100
commit212--commit213,100
commit213--commit214,100
commit214--commit215,100
commit215--commit216,100
commit216--commit217,100
commit217--commit218,100
commit218--commit219,100
commit219--commit220,99.72268441
commit220--commit221,99.88950276
commit221--commit222,100
commit222--commit223,96.95155144
commit223--commit224,100
commit224--commit225,98.88059701
commit225--commit226,99.84143763
commit226--commit227,100
commit227--commit228,100
commit228--commit229,100
commit229--commit230,100
commit230--commit231,100
commit231--commit232,100
commit232--commit233,100
commit233--commit234,100
commit234--commit235,100
commit235--commit236,100
commit236--commit237,95.05980239
commit237--commit238,96.37939827
commit238--commit239,99.53940635
commit239--commit240,95.37480064
commit240--commit241,92.47311828
commit241--commit242,100
commit242--commit243,100
commit243--commit244,97.87330317
commit244--commit245,99.90714949
commit245--commit246,100
commit246--commit247,100
commit247--commit248,100
commit248--commit249,100
commit249--commit250,100
commit250--commit251,100
commit251--commit252,100
commit252--commit253,100
commit253--commit254,100
commit254--commit255,100
commit255--commit256,100
commit256--commit257,100
commit257--commit258,100
commit258--commit259,94.98050682
commit259--commit260,97.99095932
commit260--commit261,100
commit261--commit262,97.36337488
commit262--commit263,100
commit263--commit264,91.33126935
commit264--commit265,95.80658964
commit265--commit266,100
commit266--commit267,100
commit267--commit268,100
commit268--commit269,99.82555604
commit269--commit270,99.78270317
commit270--commit271,100
commit271--commit272,100
commit272--commit273,100
commit273--commit274,100
commit274--commit275,100
commit275--commit276,100
commit276--commit277,100
commit277--commit278,100
commit278--commit279,100
commit279--commit280,100
commit280--commit281,100
commit281--commit282,100
commit282--commit283,100
commit283--commit284,100
commit284--commit285,100
commit285--commit286,100
commit286--commit287,97.39629303
commit287--commit288,98.67579909
commit288--commit289,97.68064228
commit289--commit290,100
commit290--commit291,100
commit291--commit292,99.91423671
commit292--commit293,100
commit293--commit294,87.88958148
commit294--commit295,93.57720119
commit295--commit296,100
commit296--commit297,96.6
commit297--commit298,96.08247423
commit298--commit299,100
commit299--commit300,100
commit300--commit301,100
commit301--commit302,100
commit302--commit303,99.21030756
commit303--commit304,96.62781016
commit304--commit305,100
commit305--commit306,100
commit306--commit307,99.87437186
commit307--commit308,100
commit308--commit309,96.40872168
commit309--commit310,100
commit310--commit311,100
commit311--commit312,100
commit312--commit313,100
commit313--commit314,100
commit314--commit315,100
commit315--commit316,94.0688511
commit316--commit317,100
commit317--commit318,90.60934891
commit318--commit319,97.71428571
commit319--commit320,100
commit320--commit321,100
commit321--commit322,100
commit322--commit323,94.6407767
commit323--commit324,95.30046225
commit324--commit325,100
commit325--commit326,97.49890303
commit326--commit327,99.95503597
commit327--commit328,99.549955
commit328--commit329,100
commit329--commit330,100
commit330--commit331,100
commit331--commit332,100
commit332--commit333,99.729973
commit333--commit334,100
commit334--commit335,100
commit335--commit336,100
commit336--commit337,100
commit337--commit338,100
commit338--commit339,100
commit339--commit340,100
commit340--commit341,100
commit341--commit342,100
commit342--commit343,100
commit343--commit344,100
commit344--commit345,100
commit345--commit346,100
commit346--commit347,100
commit347--commit348,100
commit348--commit349,100
commit349--commit350,100
commit350--commit351,100
commit351--commit352,100
commit352--commit353,100
commit353--commit354,100
commit354--commit355,100
commit355--commit356,100
commit356--commit357,100
commit357--commit358,100
commit358--commit359,100
commit359--commit360,99.77568416
commit360--commit361,100
commit361--commit362,100
commit362--commit363,100
commit363--commit364,100
commit364--commit365,100
commit365--commit366,100
commit366--commit367,100
commit367--commit368,99.2014197
commit368--commit369,100
commit369--commit370,99.69271291
commit370--commit371,100
commit371--commit372,100
commit372--commit373,100
commit373--commit374,100
commit374--commit375,100
commit375--commit376,100
commit376--commit377,100
commit377--commit378,100
commit378--commit379,100
commit379--commit380,99.69392217
commit380--commit381,100
commit381--commit382,100
commit382--commit383,100
commit383--commit384,100
commit384--commit385,100
commit385--commit386,100
commit386--commit387,100
commit387--commit388,100
commit388--commit389,100
commit389--commit390,100
commit390--commit391,100
commit391--commit392,100
commit392--commit393,93.05555556
commit393--commit394,99.38110749
commit394--commit395,99.42215088
commit395--commit396,84.96884735
commit396--commit397,100
commit397--commit398,100
commit398--commit399,100
commit399--commit400,88.60485269
commit400--commit401,100
commit401--commit402,100
commit402--commit403,100
commit403--commit404,99.73210869
commit404--commit405,100
commit405--commit406,100
commit406--commit407,100
commit407--commit408,99.84732824
commit408--commit409,99.96183206
commit409--commit410,100
commit410--commit411,100
commit411--commit412,99.88545246
commit412--commit413,100
commit413--commit414,95.98230741
commit414--commit415,100
commit415--commit416,100
commit416--commit417,100
commit417--commit418,94.18221734
commit418--commit419,99.92481203
commit419--commit420,100
commit420--commit421,100
commit421--commit422,98.56424982
commit422--commit423,98.73287671
commit423--commit424,100
commit424--commit425,100
commit425--commit426,100
commit426--commit427,100
commit427--commit428,100
commit428--commit429,100
commit429--commit430,100
commit430--commit431,98.22190612
commit431--commit432,92.27537169
commit432--commit433,100
commit433--commit434,100
commit434--commit435,100
commit435--commit436,94.30894309
commit436--commit437,100
commit437--commit438,100
commit438--commit439,100
commit439--commit440,100
commit440--commit441,100
commit441--commit442,100
commit442--commit443,100
commit443--commit444,100
commit444--commit445,100
commit445--commit446,100
commit446--commit447,99.76484421
commit447--commit448,94.5368171
commit448--commit449,100
commit449--commit450,100
commit450--commit451,100
commit451--commit452,100
commit452--commit453,99.66877447
commit453--commit454,100
commit454--commit455,100
commit455--commit456,100
commit456--commit457,100
commit457--commit458,100
commit458--commit459,100
commit459--commit460,100
commit460--commit461,100
commit461--commit462,100
commit462--commit463,100
commit463--commit464,100
commit464--commit465,100
commit465--commit466,99.32193396
commit466--commit467,99.94236311
commit467--commit468,100
commit468--commit469,100
commit469--commit470,100
commit470--commit471,100
commit471--commit472,100
commit472--commit473,100
commit473--commit474,100
commit474--commit475,100
commit475--commit476,100
commit476--commit477,100
commit477--commit478,100
commit478--commit479,100
commit479--commit480,100
commit480--commit481,100
commit481--commit482,100
commit482--commit483,99.79879276
commit483--commit484,99.62568385
commit484--commit485,100
commit485--commit486,100
commit486--commit487,100
commit487--commit488,100
commit488--commit489,100
commit489--commit490,100
commit490--commit491,100
commit491--commit492,100
commit492--commit493,100
commit493--commit494,100
commit494--commit495,95.51918433
commit495--commit496,97.42074154
commit496--commit497,99.88405797
commit497--commit498,97.56575266
commit498--commit499,100
commit499--commit500,100
