NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
26,26,460,16496,312,97.39130435
26,0,460,16496,312,97.39130435
26,26,460,16496,312,97.39130435
0,0,0,0,0,100
0,0,0,0,0,100
493,9,191,12991,86,88.21362799
0,0,0,0,0,100
0,0,0,0,0,100
1,1,1,38,1,99.89929507
9,3,27,890,13,99.39698492
0,0,0,0,0,100
1,1,1,38,1,99.8996991
1,0,1,38,1,99.8996991
1,1,1,38,1,99.8996991
0,0,0,0,0,100
1,0,1,10,0,100
0,0,0,0,0,100
5,0,1,17,0,100
0,0,0,0,0,100
2,0,1,8,0,100
2,0,1,8,0,100
2,0,1,8,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
14,0,30,985,15,99.39698492
14,4,30,985,15,99.39698492
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
487,0,24,532,5,91.95143885
442,1,2,350,1,99.91850041
1,0,0,5,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
473,0,26,1134,6,92.04851752
473,0,25,1126,5,92.04851752
2,1,1,9,1,99.91863303
1,0,0,0,0,100
1,0,0,15,0,100
1,0,0,10,0,100
474,0,26,1092,6,91.96588869
455,1,22,835,4,91.96588869
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
25,0,30,1251,23,99.75619667
1,0,6,221,6,99.43365696
0,0,0,0,0,100
4,0,4,71,2,100
1,0,0,0,0,100
3,0,0,6,0,98.21631879
0,0,0,0,0,100
2,0,0,24,0,100
40,1,32,1388,21,97.63539283
39,1,32,1430,21,97.63539283
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
10,4,38,1622,19,97.54006709
10,0,38,1622,19,97.54006709
0,0,0,0,0,100
9,4,38,1664,19,97.54006709
9,0,38,1664,19,97.54006709
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,70,1,99.96413199
0,0,0,0,0,100
1,0,1,70,1,99.96413199
1,0,1,70,1,99.96413199
1,0,1,25,0,100
0,0,0,0,0,100
1,0,1,26,0,100
1,0,1,26,0,100
2,0,2,39,0,100
0,0,0,0,0,100
1,0,1,26,0,100
1,0,1,26,0,100
2,0,3,184,3,100
2,0,1,8,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,1,1,36,1,95.96412556
1,0,3,86,0,100
0,0,0,0,0,100
0,0,0,0,0,100
9,4,38,1664,19,88.60810269
16,0,39,1760,21,88.25335893
6,1,1,96,2,95.96412556
0,0,0,0,0,100
2,0,1,86,0,99.88304094
0,0,0,0,0,100
1,0,9,302,1,99.92199688
22,8,113,4959,54,88.19527811
5,0,13,571,4,99.71228935
20,1,102,4658,52,88.34134615
19,7,95,4033,47,88.34134615
3,0,5,160,2,98.95441238
20,1,108,4829,54,88.27838828
20,7,100,4193,49,88.27838828
21,1,109,4840,54,88.27838828
0,0,0,0,0,100
11,0,1,89,0,100
2,0,3,114,2,100
6,1,25,940,4,99.76644609
6,0,7,272,2,100
4,0,0,11,0,100
1,0,0,0,0,100
0,0,0,0,0,100
17,0,30,1176,5,99.76644609
16,1,32,1201,6,99.76644609
6,0,0,112,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
51,9,211,9309,92,89.52919021
35,1,138,6858,69,88.67554859
