,FCA
index,A2A
commit8--commit9,100
commit9--commit11,100
commit11--commit12,100
commit12--commit16,100
commit16--commit17,97.39130435
commit17--commit18,97.39130435
commit18--commit19,97.39130435
commit19--commit20,100
commit20--commit21,100
commit21--commit22,88.21362799
commit22--commit23,100
commit23--commit24,100
commit24--commit25,99.89929507
commit25--commit26,99.39698492
commit26--commit27,100
commit27--commit28,99.8996991
commit28--commit29,99.8996991
commit29--commit30,99.8996991
commit30--commit31,100
commit31--commit32,100
commit32--commit33,100
commit33--commit34,100
commit34--commit35,100
commit35--commit36,100
commit36--commit37,100
commit37--commit38,100
commit38--commit39,100
commit39--commit40,100
commit40--commit41,100
commit41--commit42,100
commit42--commit43,100
commit43--commit44,100
commit44--commit45,100
commit45--commit46,100
commit46--commit47,100
commit47--commit48,100
commit48--commit49,100
commit49--commit50,100
commit50--commit51,100
commit51--commit52,100
commit52--commit53,99.39698492
commit53--commit54,99.39698492
commit54--commit55,100
commit55--commit56,100
commit56--commit57,100
commit57--commit58,91.95143885
commit58--commit59,99.91850041
commit59--commit60,100
commit60--commit61,100
commit61--commit62,100
commit62--commit63,100
commit63--commit64,100
commit64--commit65,100
commit65--commit66,92.04851752
commit66--commit67,92.04851752
commit67--commit68,99.91863303
commit68--commit69,100
commit69--commit70,100
commit70--commit71,100
commit71--commit72,91.96588869
commit72--commit73,91.96588869
commit73--commit74,100
commit74--commit75,100
commit75--commit76,100
commit76--commit77,100
commit77--commit78,100
commit78--commit79,99.75619667
commit79--commit80,99.43365696
commit80--commit81,100
commit81--commit82,100
commit82--commit83,100
commit83--commit84,98.21631879
commit84--commit85,100
commit85--commit86,100
commit86--commit87,97.63539283
commit87--commit88,97.63539283
commit88--commit89,100
commit89--commit90,100
commit90--commit91,100
commit91--commit92,97.54006709
commit92--commit93,97.54006709
commit93--commit94,100
commit94--commit95,97.54006709
commit95--commit96,97.54006709
commit96--commit97,100
commit97--commit98,100
commit98--commit99,99.96413199
commit99--commit100,100
commit100--commit101,99.96413199
commit101--commit102,99.96413199
commit102--commit103,100
commit103--commit104,100
commit104--commit105,100
commit105--commit106,100
commit106--commit107,100
commit107--commit108,100
commit108--commit109,100
commit109--commit110,100
commit110--commit111,100
commit111--commit112,100
commit112--commit113,100
commit113--commit114,100
commit114--commit115,95.96412556
commit115--commit116,100
commit116--commit117,100
commit117--commit118,100
commit118--commit119,88.60810269
commit119--commit120,88.25335893
commit120--commit121,95.96412556
commit121--commit122,100
commit122--commit123,99.88304094
commit123--commit124,100
commit124--commit125,99.92199688
commit125--commit126,88.19527811
commit126--commit127,99.71228935
commit127--commit128,88.34134615
commit128--commit129,88.34134615
commit129--commit130,98.95441238
commit130--commit131,88.27838828
commit131--commit132,88.27838828
commit132--commit133,88.27838828
commit133--commit134,100
commit134--commit135,100
commit135--commit136,100
commit136--commit137,99.76644609
commit137--commit138,100
commit138--commit139,100
commit139--commit140,100
commit140--commit141,100
commit141--commit142,99.76644609
commit142--commit143,99.76644609
commit143--commit144,100
commit144--commit145,100
commit145--commit146,100
commit146--commit147,100
commit147--commit148,89.52919021
commit148--commit149,88.67554859
commit149--commit150,100
commit150--commit151,93.24706834
commit151--commit152,100
commit152--commit153,93.24706834
commit153--commit154,100
commit154--commit155,93.24706834
commit155--commit156,93.24706834
commit156--commit157,100
commit157--commit158,100
commit158--commit159,99.83129481
commit159--commit160,100
commit160--commit161,93.2497979
commit161--commit162,99.84490112
commit162--commit163,100
commit163--commit164,100
commit164--commit165,100
commit165--commit166,100
commit166--commit167,100
commit167--commit168,100
commit168--commit169,100
commit169--commit170,87.73404662
commit170--commit171,87.73404662
commit171--commit172,100
commit172--commit173,100
commit173--commit174,100
commit174--commit175,99.80627664
commit175--commit176,100
commit176--commit177,100
commit177--commit178,100
commit178--commit179,100
commit179--commit180,100
commit180--commit181,100
commit181--commit182,100
commit182--commit183,100
commit183--commit184,100
commit184--commit185,100
commit185--commit186,100
commit186--commit187,100
commit187--commit188,100
commit188--commit189,100
commit189--commit190,100
commit190--commit191,87.6911315
commit191--commit192,87.6911315
commit192--commit193,100
commit193--commit194,87.6911315
commit194--commit195,100
commit195--commit196,87.6911315
commit196--commit197,100
commit197--commit198,100
commit198--commit199,100
commit199--commit200,100
commit200--commit201,100
commit201--commit202,100
commit202--commit203,100
commit203--commit204,100
commit204--commit205,100
commit205--commit206,100
commit206--commit207,100
commit207--commit208,100
commit208--commit209,100
commit209--commit210,100
commit210--commit211,100
commit211--commit212,87.6911315
commit212--commit213,87.64818356
commit213--commit214,87.64818356
commit214--commit215,87.64818356
commit215--commit216,100
commit216--commit217,87.64818356
commit217--commit218,99.77367031
commit218--commit219,100
commit219--commit220,100
commit220--commit221,100
commit221--commit222,100
commit222--commit223,100
commit223--commit224,100
commit224--commit225,100
commit225--commit226,100
commit226--commit227,97.77777778
commit227--commit228,100
commit228--commit229,100
commit229--commit230,100
commit230--commit231,100
commit231--commit232,98.1918239
commit232--commit233,95.85551331
commit233--commit234,95.85551331
commit234--commit235,100
commit235--commit236,100
commit236--commit237,98.1918239
commit237--commit238,100
commit238--commit239,100
commit239--commit240,100
commit240--commit241,100
commit241--commit242,100
commit242--commit243,100
commit243--commit244,100
commit244--commit245,100
commit245--commit246,100
commit246--commit247,100
commit247--commit248,100
commit248--commit249,100
commit249--commit250,100
commit250--commit251,100
commit251--commit252,100
