CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
b1f414180cb5714ab957dfd5a4c55f69dccbff0f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,100
ddbab420131e7c049ce3562247af55dd2fe687e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,100
ce1cebd10875f314bf368773fbd66fdb066b5a98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,100
883ec97c22a935cc4ab87c12eb9d0738cfef45c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
f4ea602c45c7da2f10675f8ec41ab3871b3492ba,26,3744,0,3744,26,0,26,1,1,0,1,4,4.138116249,0,0,0,460,0,460,16496,0,16496,312,0,312,97.39130435
3d5e8e08499f42e2725c5f82cf16c7570e5e84c9,26,0,3744,3744,0,0,0,0,0,0,1,4,4.138116249,2757,0,0,0,460,460,0,16496,16496,0,312,312,97.39130435
7c15913edeb46168ebd69384f8c5e52a30bb7e26,26,3744,0,3744,26,0,26,1,1,0,1,4,4.138116249,0,1,1,460,0,460,16496,0,16496,312,0,312,97.39130435
3e2e359b724fe1a738284054050f138108e9dab7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
b1bdc3f5b6d821688f6a50793e4cf7ffae4f881b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
b56335bdb4cda47a1e071eea2d6cb818fac0ee66,493,27373,25497,1876,9,0,9,2,2,0,9,98,6.948633898,55074,0,0,8919,8728,191,395913,382922,12991,4161,4075,86,88.21362799
415532aba49e3bd0d9ec38b0b6cdf9c4e9e54022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
318b9afd1be2a7f6e89ac411fabb342c5dc12302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
78b9fc087c5b67339ca5bbe25fb353c0129da820,1,15,0,15,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,38,0,38,1,0,1,99.89929507
c4f8d1bbcb1f58381a19eb527ec137130e8d9770,9,201,41,160,3,0,3,0,3,0,3,6,2.387227552,1059,1,1,209,182,27,8839,7949,890,95,82,13,99.39698492
b52e4d400145c2b3c1802108a8c4dc56da2e0bb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
6606c8877008fedf4a1a12bf7c503ad30aca508d,1,15,0,15,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,38,0,38,1,0,1,99.8996991
22d6cad4690d97e5403acc290bacf602fe991667,1,0,15,15,0,0,0,0,0,0,1,1,0,12,1,1,0,1,1,0,38,38,0,1,1,99.8996991
a38839fa610d38dd9256f8aa58d053c019668496,1,15,0,15,1,0,1,1,1,0,1,1,0,0,2,2,1,0,1,38,0,38,1,0,1,99.8996991
fc3beb77c151002718c9424038dc282d66c69204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
2231a5d130867da82178d0d81024da3b66ce1672,1,2,1,1,0,0,0,3,3,2,1,1,0,478,3,3,98,97,1,3735,3725,10,37,37,0,100
a95c32055a49053b206ed2df2efe0fdb2f613eca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100
ed0983d98d9d31fd10a44f5f893d43a81e6dae56,5,10,8,2,0,0,0,3,4,0,3,5,2.113283334,1246,5,5,222,221,1,10068,10051,17,77,77,0,100
416ee5e249efb385a830148fa697ddc636e38c59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
42d36109906e5ab62d66bb36edb95d2c62dabebc,2,4,5,1,0,0,0,2,4,1,1,1,0.764204507,440,6,6,65,66,1,3513,3521,8,36,36,0,100
3856f160b58ef2f812d31f8f4f2de5d7b73007c0,2,5,4,1,0,0,0,2,3,1,1,1,0.764204507,439,4,4,66,65,1,3521,3513,8,36,36,0,100
f5113ae61f8bd4e8d70e7cf78b20a5680a0ca0fe,2,4,5,1,0,0,0,2,4,1,1,1,0.764204507,440,5,5,65,66,1,3513,3521,8,36,36,0,100
34aa2c19aa73e516f257898a817a30fcd677c2ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,100
3fdc6a7a190caab321cefbc267eae1e87209f09e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,100
6c93ff00ec56b1d35ba0d9e92ba26e742bf2945a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,100
8875f19796b775c197027160c9a1245604536976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,100
a398db046d259a83098c13d77cd57517d32746d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,100
2deed814b024ba411cbee36d3739a8f6d59e455d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,100
c91578cf5536b69a609c276dc128054937e99680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
33341441b01b377ed350c9648ea04b288bcc180f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
e38c12231ab37bf82039da063cb69abed5afa615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
8aba6ac9e280acce2488008b7eea17608ee02489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
d0477aa9de6c165d135b07a959292c93f01d5079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100
ed7db463322a7e4e90e270593a80985dbaf5715b,1,3,3,0,0,0,0,3,3,3,1,1,0,49,11,11,1,1,0,331,331,0,1,1,0,100
539e7ab2407d616a8086fbaa115c64d499c5cbe9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,100
f4677a7ca5e74cd3f1ed55d97a5f3b1f26ce77a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,100
016a42726801fc6ad08101bfcc6f765b6aa5a6da,14,35,227,192,0,0,0,0,2,10,5,11,2.806327934,2424,3,3,392,422,30,17849,18834,985,155,170,15,99.39698492
663a11b54ca9ccc36c66b48905a9a9cf6eaf27bb,14,226,34,192,4,0,4,1,4,0,5,11,2.787719034,2283,4,4,422,392,30,18834,17849,985,170,155,15,99.39698492
04bc8d1dc4592f66f52de0ffd79f1b0d241d79e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,100
99feb4d6b95cedc31482352ac24a05bc99e1407e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,100
a50ea52573cf0243ed3c712c0a11fff1b4f9c762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,100
19181b984a8d92d62c9025d1502d9fc88d58244a,487,45085,42524,2561,0,0,0,0,4,0,9,96,7.774244163,54548,3,3,8633,8657,24,383009,383541,532,3982,3987,5,91.95143885
0d911efb23f80d2dc75e52dcca675b2cc327f2b6,442,39805,44199,4394,1,0,1,1,6,0,8,89,7.707560772,52594,4,4,7951,7949,2,335094,335444,350,3662,3661,1,99.91850041
7544caa528eecbba0f3b35e608d12532e5cdc8bb,1,1,0,1,0,0,0,2,6,0,1,1,0,56,5,5,10,10,0,440,435,5,4,4,0,100
accad0f7699878d8ff7cac8296d55cdddd6e7812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,100
f68d263d4d583ec29fe4a70bad61a0f2b7c74108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,100
54999200d8a938d0ec9b7df7f403cf3e6f960ea7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,100
3371dc568098363f793c8b5b8b6c67e4a597bc7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,100
195843aa41fab99e840ae0a6e14a359671b3b871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,100
b3ce6127dd75708471720709552af180c81cdba5,473,7935,5974,1961,0,0,0,2,4,0,9,99,6.801112596,52363,14,14,8785,8759,26,384463,383329,1134,4118,4112,6,92.04851752
7004c5fa0d714178ef335b22cacdf1dc0d2b4021,473,5981,7938,1957,0,0,0,2,6,0,9,99,6.803878454,54861,5,5,8760,8785,25,383337,384463,1126,4113,4118,5,92.04851752
df7489b7ead5810363624f5258bc44be1788e1d1,2,13,13,0,1,0,1,3,6,0,1,1,0.995727452,32,6,6,3,4,1,115,106,9,3,4,1,99.91863303
b737dafce50ab3f4dc6dd5bbdc0526d02b67ab6f,1,8,0,8,0,0,0,1,2,0,1,1,0,9,7,7,1,1,0,70,70,0,1,1,0,100
ef509bd56bc2836ea2b47eed4b0db94db2a772a9,1,5,0,5,0,0,0,3,5,2,1,1,0,230,2,2,32,32,0,1775,1760,15,27,27,0,100
51bde079fb2da32645933f54d0fbb19daccc26f3,1,5,3,2,0,0,0,4,7,2,1,1,0,357,3,3,55,55,0,3088,3078,10,32,32,0,100
fc3ac9873132e43a53f980ebab76231883f77cb6,474,7948,6006,1942,0,0,0,2,4,0,9,99,6.812074481,52371,15,15,8785,8759,26,384463,383371,1092,4118,4112,6,91.96588869
d044884b91b67c61e75caef4361dae75e71beea7,455,4178,5991,1813,1,0,1,2,7,0,8,95,7.014754498,52464,16,16,8366,8388,22,369988,370823,835,3838,3842,4,91.96588869
74f7f214a8d4b2e244b0e18d143ade80a8c41698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,100
5f8abd21409da0585e312ef3997c14645f4d60dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,100
8a802d87d50712ceb61a60928f2cc1bf1975fb92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,100
e5cb430e586b27137fa20fd0562106ceaecb627a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,100
75a07732b004124a188c50cd77278856c69a6df0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,100
efe5237c7d2bc43ff597c58b8859c1aab832c58d,25,2206,2354,148,0,0,0,3,4,0,1,4,3.631253071,2845,17,17,488,458,30,17783,16532,1251,331,308,23,99.75619667
44ad13802ce0751c999b343d4ce56a965c54e459,1,0,68,68,0,0,0,3,4,8,1,1,0,50,18,18,0,6,6,0,221,221,0,6,6,99.43365696
62747a5c11cab301dd96645daf696ff638531d5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,100
32dca006c21eb7164ec8a7414005afa02eae5181,4,58,58,0,0,0,0,3,5,8,1,3,0.716069893,608,20,20,122,118,4,5290,5219,71,31,29,2,100
48bfaa6327a7c212abacff789ec4b3f81eab1643,1,1,2,1,0,0,0,3,6,0,1,1,0,226,21,21,35,35,0,1804,1804,0,13,13,0,100
ecd5678d10030182de547dc98188b66f7768e10e,3,27,28,1,0,0,0,3,7,6,1,3,1.282352736,399,22,22,55,55,0,3035,3029,6,22,22,0,98.21631879
4c228eb9a2ae2e702292637302016023541d5f1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,100
74d74f028adcb5fcfb22f610c0b3a26217a1b9b4,2,4,1,3,0,0,0,3,5,10,1,2,0.721928095,145,24,24,16,16,0,813,789,24,5,5,0,100
e1d069d78dea9ce4a3844e441bea195c8bedd92b,40,1135,1080,55,1,0,1,2,6,0,5,15,4.030620193,4473,6,6,759,791,32,30325,31713,1388,457,478,21,97.63539283
fae8d4ce737d4f4d6fd813b837be13bb362de288,39,1063,1130,67,1,0,1,3,7,0,5,14,3.989905188,4491,7,7,774,742,32,31234,29804,1430,463,442,21,97.63539283
4777c93b9c98bfb8c5428c4d76c1be969f88cfbd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,100
4daa70c673dd67edba90d277abf4493740e643f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,100
245991fb922262c705daa58896a6b11d24c6450c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,100
ed2d0c6323acb8db426056515906d4a2a27ee592,10,361,65,296,4,0,4,1,6,4,2,6,2.166782801,394,25,25,81,43,38,3802,2180,1622,55,36,19,97.54006709
8535fabb766781f78261b3da0cd87774d3b173d6,10,62,358,296,0,0,0,0,5,2,2,6,2.159442487,618,21,21,43,81,38,2180,3802,1622,36,55,19,97.54006709
d39e001bab8e436b475fee95cc8b6e5a532a0dbe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,100
343871dc2ecb8647676e092dc9770ff47884441d,9,344,60,284,4,0,4,1,6,4,1,5,1.975465618,295,26,26,64,26,38,3323,1659,1664,40,21,19,97.54006709
503026fb9a32643c0dbc4cca4391c1e0c80b058f,9,57,341,284,0,0,0,0,5,1,1,5,1.96599704,523,21,21,26,64,38,1659,3323,1664,21,40,19,97.54006709
e90435d65372734c06802938cf1167eaed52ac13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,100
93213630d89f29556727799be7fecf49c3aeb213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,100
83f5b246c5fdf40a88c30d538d8141710cb29d39,1,10,0,10,0,0,0,3,5,14,1,1,0,58,25,25,8,7,1,430,360,70,5,4,1,99.96413199
fc7cd83c74684a89ad7b43a8e8280064ff52e0a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,100
eaa81dbb3c812f0f5ee5fae799bf57a1882442bd,1,0,10,10,0,0,0,2,4,0,1,1,0,66,13,13,7,8,1,360,430,70,4,5,1,99.96413199
a19c9ffa5d9901b1dabe202acb22fccbd91ff581,1,10,0,10,0,0,0,3,5,14,1,1,0,58,14,14,8,7,1,430,360,70,5,4,1,99.96413199
fc03da8d571c68cded18e845dda5278cb7be729e,1,0,7,7,0,0,0,2,4,14,1,1,0,84,15,15,13,14,1,524,549,25,4,4,0,100
ecf719167549965281902ec2f3ea0eac66af7600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,100
0281b24c3cb0b62d7675fc0e3f8c2755fca39ef3,1,3,3,0,0,0,0,3,4,14,1,1,0,72,23,23,9,10,1,267,293,26,5,5,0,100
85478e79888786fdf8b25df6678ba1e748b1032e,1,3,3,0,0,0,0,2,3,3,1,1,0,69,16,16,10,9,1,293,267,26,5,5,0,100
14aa8bb84b90578798f265be9cde2ac791bac744,2,5,2,3,0,0,0,1,5,14,1,2,0.985228136,550,17,17,122,120,2,4257,4218,39,25,25,0,100
2cb974fbee20b69b27f8c30b5c544a920a43865b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,100
d04b5bb4f9477fbb1303ce7cd57475ab419209e8,1,3,3,0,0,0,0,3,4,14,1,1,0,72,19,19,9,10,1,267,293,26,5,5,0,100
4a4d8fcc34fb5df2d73fdb75f98bca07558472b0,1,3,3,0,0,0,0,3,5,0,1,1,0,69,24,24,10,9,1,293,267,26,5,5,0,100
93b22f81aaba505e76a37d595b4a37968ee13dc7,2,33,2,31,0,0,0,2,5,7,2,2,0.512709142,134,25,25,28,25,3,1070,886,184,13,10,3,100
7644cef0ff102b86ffd42dc782775b29de9ccb6d,2,12,11,1,0,0,0,2,8,13,1,1,0.426228657,414,26,26,66,65,1,3536,3528,8,36,36,0,100
2ceeed52789644bf311dc66bf01ef308391ad694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,100
d000c35db53d8fee396bbafd0fd97a8c1eaeb595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,100
62e7206f9e3116c40c91b5a44171493aaa9a6040,4,298,295,3,1,0,1,1,9,0,2,2,1.200960958,487,29,29,75,76,1,3793,3829,36,40,41,1,95.96412556
3b74ab57aa85e3f01da3dcda9e99d6cc046a50a4,1,0,12,12,0,0,0,3,7,0,1,1,0,72,30,30,7,10,3,205,291,86,5,5,0,100
7f3e66449c5dae80cf6b8b9292f9f01fcca42194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,100
f14373439f85899af7f9ade4f39ef54affad7814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,100
4ab1c41bf460570c667c3cd3ef65adfab902e131,9,344,60,284,4,0,4,1,6,4,1,5,1.975465618,295,29,29,64,26,38,3323,1659,1664,40,21,19,88.60810269
3e916b1a12ed7e9453913b441af4b00de8de8733,16,370,677,307,0,0,0,0,7,1,4,9,2.697114065,1346,20,20,163,202,39,7479,9239,1760,97,118,21,88.25335893
bdfaf34794c742841893a5c9fc18c781072427a1,6,335,312,23,1,0,1,1,9,2,2,3,1.574463212,617,21,21,100,99,1,4777,4681,96,53,51,2,95.96412556
2f68c360318d8759a84a8d251b6f5a6fad23099c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,100
96d1e90d8a22fa0432be6e99cc0a62aa8d84b6f4,2,30,8,22,0,0,0,2,5,16,1,2,0.629249224,62,22,22,3,2,1,337,251,86,2,2,0,99.88304094
83f539a5eacd4869637a20d1d8a7aa47fa94eaa4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,100
28c83c851a4959a7f712fd0827c39b56e0a42d30,1,0,73,73,0,0,0,1,4,20,1,1,0,55,24,24,0,9,9,0,302,302,0,1,1,99.92199688
685eb8dc39bc393f7da2644b99d557d174298722,22,1078,170,908,8,0,8,1,8,0,3,9,3.172436541,2129,30,30,470,357,113,20561,15602,4959,220,166,54,88.19527811
e75a2c37a3b10d3f1b892bd2271abc914a1c5545,5,31,155,124,0,0,0,2,6,17,2,4,1.72612569,365,31,31,41,54,13,1476,2047,571,27,31,4,99.71228935
db8e7fdda17dcb2df1e3bdce64e91204af67bca8,20,215,999,784,1,0,1,0,7,1,3,7,3.081161118,2539,25,25,328,430,102,14647,19305,4658,147,199,52,88.34134615
dc55812d2a6ebec20ceb5d4bb46ea5e4cfb7f765,19,996,212,784,7,0,7,1,8,4,2,6,3.036855575,1921,32,32,421,326,95,18869,14836,4033,192,145,47,88.34134615
90e0d48b020ce6fc90c2b0b24523b65ceecdf6a3,3,85,58,27,0,0,0,3,9,13,1,3,0.293156859,638,33,33,106,101,5,5453,5293,160,44,42,2,98.95441238
ef1314d6a928aedf704f5c35f380a50c249ecb67,20,213,1024,811,1,0,1,0,7,0,2,6,3.014605109,2593,27,27,328,436,108,15085,19914,4829,145,199,54,88.27838828
1c679643067af0a5a39c95b5cd2c5bed47e5263d,20,1027,216,811,7,0,7,1,9,5,2,6,3.020482604,2003,35,35,433,333,100,19633,15440,4193,197,148,49,88.27838828
7527bb0274c174474fba2dfd82e95e54aaa22ea2,21,275,1086,811,1,0,1,0,7,0,3,7,3.18010832,2639,26,26,334,443,109,15240,20080,4840,150,204,54,88.27838828
9163b32fc055d19674d975e9dda5a58240782549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,100
b9e49fea3cd16b67ad3b0915ab609695eef27690,11,243,254,11,0,0,0,1,6,18,4,9,2.619247337,2332,28,28,521,522,1,17394,17483,89,170,170,0,100
5339f254870ea48fbad894c14898a1dc277b26af,2,27,10,17,0,0,0,2,6,15,2,2,0.974024864,381,29,29,90,87,3,2719,2605,114,37,35,2,100
b19d4e0f3b6f42530bb17708f9d203c694d2b9dd,6,190,47,143,1,0,1,3,6,25,4,5,1.971724728,820,34,34,174,149,25,7284,6344,940,57,53,4,99.76644609
567d3763cb0eb24c5ef87939bcf18844f5f059ad,6,58,13,45,0,0,0,1,10,21,1,4,1.859510469,953,35,35,158,151,7,7567,7295,272,71,69,2,100
