NMF,NAD,CFC,NCC,NMC,a2a
6,0,6,250,4,77.14285714
0,0,0,0,0,100
21,8,134,6708,52,75.82417582
0,0,0,0,0,100
7,0,0,7,0,100
2,1,4,154,2,92.72727273
2,0,1,48,1,100
3,0,1,35,1,100
8,0,4,152,0,100
2,0,0,0,0,100
26,26,1105,31872,495,66.66666667
2,0,0,0,0,100
6,1,327,10019,135,93.69369369
3,0,14,403,3,100
0,0,0,0,0,100
5,0,24,517,21,100
1,0,1,24,1,100
12,8,141,6350,59,88.30188679
0,0,0,0,0,100
2,0,0,0,0,100
2,0,4,332,2,100
4,4,31,922,16,90.81967213
1,0,0,0,0,100
0,0,0,0,0,100
2,0,4,32,0,100
2,1,116,3679,50,99.35483871
11,10,32,1627,15,86.26865672
17,0,7,242,0,87.96296296
24,0,6,25,4,100
1,0,5,145,2,100
74,0,1444,50629,667,11.96013289
12,0,7,152,7,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
12,0,2,22,3,94.84848485
14,10,75,2519,53,94.05405405
1,0,0,0,0,100
18,0,10,572,5,90.13333333
2,0,1,11,0,100
0,0,0,0,0,100
5,0,5,1,4,95.85635359
136,136,1628,69955,799,52.31213873
3,0,13,1565,8,99.50738916
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,20,785,12,98.02371542
0,0,0,0,0,100
0,0,0,0,0,100
4,4,23,1463,11,98.82352941
1,0,9,361,3,100
24,0,51,1104,1,100
0,0,0,0,0,100
5,0,0,94,0,100
0,0,0,0,0,100
2,0,1,118,0,100
1,0,0,0,0,100
1,0,0,7,0,100
0,0,0,0,0,100
9,8,39,2088,28,97.40500463
5,0,0,116,0,100
3,1,5,265,3,99.09255898
2,0,1,55,0,100
3,0,6,292,2,99.81343284
0,0,0,0,0,100
7,5,65,3456,36,98.89604416
5,1,0,74,0,99.27797834
1,0,0,74,0,99.54914337
4,2,10,300,7,99.55156951
5,0,0,17,0,100
7,0,19,570,4,100
0,0,0,0,0,100
3,2,12,831,9,99.5571302
6,1,10,324,7,99.73591549
1,0,10,324,7,99.82394366
15,0,0,136,0,99.56024626
8,0,0,16,0,99.9122807
13,13,43,3825,22,96.00665557
0,0,0,0,0,100
1,0,0,60,0,100
1,0,1,26,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,4,347,0,100
4,2,10,255,7,99.60598897
30,0,0,8,1,100
54,54,435,24112,231,84.87874465
0,0,0,0,0,100
0,0,0,0,0,100
7,1,0,101,0,97.51677852
22,0,7,138,5,100
0,0,0,0,0,100
1,0,3,55,0,100
0,0,0,0,0,100
10,1,1,280,0,99.65564738
0,0,0,0,0,100
9,0,2,30,2,100
2,2,15,755,11,96.39037433
3,1,2,41,1,97.86959329
3,0,0,101,0,99.61290323
53,3,2,1700,13,98.77022654
11,0,5,162,5,100
3,0,1,2,0,100
1,0,0,28,0,100
3,1,3,381,3,99.87113402
1,0,0,2,0,100
2,0,0,54,0,100
28,0,8,43,0,100
50,0,351,19955,200,87.49194068
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
22,11,134,6065,54,97.64780674
18,0,96,6099,31,95.24103832
0,0,0,0,0,100
18,0,96,6099,31,95.07692308
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,0,49,0,100
0,0,0,0,0,100
0,0,0,0,0,100
54,54,449,28318,174,93.28703704
0,0,0,0,0,100
5,0,4,164,1,100
1,0,0,2,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,0,149,0,100
2,0,0,14,0,100
9,8,141,8249,53,98.6537426
53,0,1,185,0,100
2,0,1,17,0,100
135,0,10,454,7,100
56,0,8,661,0,100
2,2,11,424,3,99.73333333
24,0,3,152,1,100
1,0,0,60,0,100
1,0,0,7,0,100
39,0,1,363,2,99.30666667
2,0,2,65,2,100
38,0,45,1609,56,94.57735247
0,0,0,0,0,100
2,0,4,137,1,99.94714588
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
6,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
37,0,1,132,1,99.84143763
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,382,0,100
0,0,0,0,0,100
1,0,0,1,0,100
5,0,0,765,0,100
7,1,19,549,8,99.68337731
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
193,0,0,35,0,99.89451477
119,0,9,691,1,98.47207587
1,0,0,0,0,100
1,0,1,55,0,100
11,0,3,147,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,0,11,0,100
1,0,0,0,0,100
2,0,4,97,1,100
1,0,0,0,0,100
0,0,0,0,0,100
8,0,0,0,0,100
1,0,0,10,0,100
1,0,0,10,0,100
1,0,0,5,0,100
1,0,2,121,0,100
1,0,0,0,0,100
1,0,1,36,0,100
2,0,0,10,0,100
1,0,0,3,0,100
22,0,0,0,0,100
12,2,81,2285,37,99.63293131
1,0,0,0,0,100
1,0,0,0,0,100
11,0,2,106,0,99.78902954
11,1,3,412,1,99.73446628
29,1,20,291,4,99.41737288
4,0,1,38,0,100
0,0,0,0,0,100
4,0,4,80,1,100
1,0,0,0,0,100
0,0,0,0,0,100
9,1,22,789,6,99.68186638
3,0,5,261,5,100
1,0,0,0,0,100
1,0,0,16,0,100
234,0,48,1261,40,98.94792215
2,2,9,423,9,99.74079834
10,6,57,2289,31,99.23391216
6,1,18,473,7,99.54407295
4,4,21,1089,17,96.08650875
1,0,1,4,0,100
7,5,121,4391,69,95.81486952
7,0,1,42,1,100
18,0,0,318,0,100
1,0,0,0,0,100
2,2,39,1436,24,99.76776591
1,0,0,1,0,100
4,2,35,1583,18,99.76873265
5,3,12,595,13,99.5431704
3,0,3,90,1,100
2,0,7,198,1,100
4,0,7,65,4,100
1,0,1,33,0,100
13,2,4,186,4,99.81949458
21,0,0,0,0,100
0,0,0,0,0,100
1,0,3,112,2,100
1,0,0,0,0,100
1,0,1,54,1,100
4,0,1,18,0,99.40909091
4,0,8,139,1,100
1,0,1,41,0,98.9729225
1,0,1,130,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,0,1,0,100
1,0,1,31,1,100
4,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,15,988,5,99.52426261
0,0,0,0,0,100
5,0,3,130,6,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,2,47,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,0,5,0,100
3,1,4,151,5,99.42965779
1,0,0,1,0,100
4,0,0,30,0,100
16,0,2,72,1,100
1,0,0,13,0,100
9,0,0,165,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,2,0,100
3,0,7,275,3,100
46,0,0,15,3,100
1,0,0,5,0,100
0,0,0,0,0,100
1,0,0,4,0,100
1,0,0,0,0,100
5,0,0,2,0,100
0,0,0,0,0,100
0,0,0,0,0,100
33,33,329,19514,178,95.99631845
0,0,0,0,0,100
10,2,20,1247,7,99.23869234
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,3,219,0,99.91023339
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
29,0,5,28,1,100
8,3,30,1540,15,99.64205817
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,0,6,0,100
