bf7dabd009a2d6773faa96c05e708533a1c1a3b1,/,/.1,    [maven-release-plugin] rollback the release of mahout-14.1,/.2,/.3,100
ae64e017bb4722d13f2e4fe98796ae9eed3b2415,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
aa6948ac3dc7102bef8373575a8f0c7e9090fca3,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
60c7706dbba2cf6a7b04651b5bc7d1684d40e6b1,/,/,    Adding deploy plugin version per https://support.sonatype.com/hc/en-us/articles/360010223594-maven-deploy-plugin-version-3-0-0-M1-deploy-fails-with-401-ReasonPhrase-Unauthorized,/,/,100
d2fa55348780d9168e3d524f926b5f4a3fce7f27,/,/,    [maven-release-plugin] rollback the release of mahout-14.1,/,/,100
57d76991b0b5f4cae5c208e574abf27431ab2f36,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
2814553f061d7f63dd9ba52203dcb0522850c059,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
3fbfef895d004dfa3a8561d54076aff8061c0b63,/,/,    [maven-release-plugin] rollback the release of mahout-14.1,/,/,100
5eda1b98f8ff1b86c8ca24faca5672f602f50721,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
8aec9226eb903b60e74c0b5a07144bac949b4c39,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
838ecf7a521e06ab03366f129c880bdd953adc87,/,/,    [maven-release-plugin] rollback the release of mahout-14.1,/,/,100
a6938529052ba75c9841a4ea07a0dac1276375da,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
67140ac7be42eea68d16d170a35831b6d3acdb7f,/,/,    [maven-release-plugin] rollback the release of mahout-14.1,/,/,100
3b1bc874f15835cd4dbf3f25e9a51b3b269a1612,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
1ff489a36cec5465a305ee3487b939cf97111328,/,/,    [maven-release-plugin] rollback the release of mahout-14.1,/,/,100
50abf94b2b4206f68d35636250eadcbb25487c27,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
5250dee6fad895c33958a12b2e107eee3e102ef6,/,/,    [maven-release-plugin] rollback the release of mahout-14.1,/,/,100
67646078840c019805d80b05559b2bcab001a3e9,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
4458ef7a6bc006d2a17c7cc1b41e96ab40c70915,/,/,    Fixing version in downloads web page.,/,/,100
39c30cb801e6aeea573428f0bfe931826daa960a,/,/,    Getting pom versions in line.,/,/,100
87acf8b4b35febb7254a7ffd91c56c681b9e60f5,/,/,    scala-2.11 changes,/,/,100
b013d7e673d69b9377428731f1c5221569c09e06,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
979802b5f73d439fd0f09c0e1f0f28d453d70e3f,/,/,    [maven-release-plugin] prepare release mahout-14.1_2.11,/,/,100
70287115c2be807bc9f47e4637ea37f1b885a94d,/,/,    scala-2.12 changes,/,/,100
402fa0d7fa1c1effacab9297b185931f7e8dd85d,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
c80c3e5d3cae573df470e740200bc457d54147ab,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
ff691720ba9b6a825860ec88b177c5f282b5dfd4,/,/,    moved some settings.xml around to accomodate maven 3.3.9,/,/,100
cfe6d824777af1bd825a5f0d67c9f18dcdd368df,/,/,    add lifecycle to deploy plugin,/,/,100
daf2df23c901750d7450ec81c2594ceceb0174db,/,/,    more configuration,/,/,100
9c936635cb4e78143c708577860a736489837b2a,/,/,    doh,/,/,100
7fbaae4b820691ff60dc0774e53c2525c27f64db,/,/,    follow the instructions  change the version first.  Why not?,/,/,100
70112f4bc813ce797cd54b770ab9e6fbf9ec0aa6,/,/,    another attempt at mvn release profile,/,/,100
9c81e28ae1933fd0285ca773f81d501732f0f3c8,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
a515dd05685a6a996b5f13c2cd7dd3fd537fbc57,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
25f4a3b7da9dfea043b8a7522f7ff10d49cc73a2,/,/,    another attempt at mvn release profile,/,/,100
032b0332ad0e6e105429cc7bb3038ef459efce96,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
af28a672db544cccdb4888036f02030ba8a5103c,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
