,FCA
index,A2A
commit7--commit8,77.14285714
commit8--commit9,100
commit9--commit10,75.82417582
commit10--commit11,100
commit11--commit12,100
commit12--commit13,92.72727273
commit13--commit14,100
commit14--commit15,100
commit15--commit16,100
commit16--commit17,100
commit17--commit18,66.66666667
commit18--commit19,100
commit19--commit20,93.69369369
commit20--commit21,100
commit21--commit22,100
commit22--commit23,100
commit23--commit24,100
commit24--commit25,88.30188679
commit25--commit26,100
commit26--commit27,100
commit27--commit28,100
commit28--commit29,90.81967213
commit29--commit30,100
commit30--commit31,100
commit31--commit32,100
commit32--commit33,99.35483871
commit33--commit34,86.26865672
commit34--commit35,87.96296296
commit35--commit36,100
commit36--commit37,100
commit37--commit38,11.96013289
commit38--commit39,100
commit39--commit40,100
commit40--commit41,100
commit41--commit42,100
commit42--commit43,94.84848485
commit43--commit44,94.05405405
commit44--commit45,100
commit45--commit46,90.13333333
commit46--commit47,100
commit47--commit48,100
commit48--commit49,95.85635359
commit49--commit50,52.31213873
commit50--commit51,99.50738916
commit51--commit52,100
commit52--commit53,100
commit53--commit54,100
commit54--commit55,98.02371542
commit55--commit56,100
commit56--commit57,100
commit57--commit58,98.82352941
commit58--commit59,100
commit59--commit60,100
commit60--commit61,100
commit61--commit62,100
commit62--commit63,100
commit63--commit64,100
commit64--commit65,100
commit65--commit66,100
commit66--commit67,100
commit67--commit68,97.40500463
commit68--commit69,100
commit69--commit70,99.09255898
commit70--commit71,100
commit71--commit72,99.81343284
commit72--commit73,100
commit73--commit74,98.89604416
commit74--commit75,99.27797834
commit75--commit76,99.54914337
commit76--commit77,99.55156951
commit77--commit78,100
commit78--commit79,100
commit79--commit80,100
commit80--commit81,99.5571302
commit81--commit82,99.73591549
commit82--commit83,99.82394366
commit83--commit84,99.56024626
commit84--commit85,99.9122807
commit85--commit86,96.00665557
commit86--commit87,100
commit87--commit88,100
commit88--commit89,100
commit89--commit90,100
commit90--commit91,100
commit91--commit92,100
commit92--commit93,100
commit93--commit94,99.60598897
commit94--commit95,100
commit95--commit96,84.87874465
commit96--commit97,100
commit97--commit98,100
commit98--commit99,97.51677852
commit99--commit100,100
commit100--commit101,100
commit101--commit102,100
commit102--commit103,100
commit103--commit104,99.65564738
commit104--commit105,100
commit105--commit106,100
commit106--commit107,96.39037433
commit107--commit108,97.86959329
commit108--commit109,99.61290323
commit109--commit110,98.77022654
commit110--commit111,100
commit111--commit112,100
commit112--commit113,100
commit113--commit114,99.87113402
commit114--commit115,100
commit115--commit116,100
commit116--commit117,100
commit117--commit118,87.49194068
commit118--commit119,100
commit119--commit120,100
commit120--commit121,100
commit121--commit122,97.64780674
commit122--commit123,95.24103832
commit123--commit124,100
commit124--commit125,95.07692308
commit125--commit126,100
commit126--commit127,100
commit127--commit128,100
commit128--commit129,100
commit129--commit130,100
commit130--commit131,100
commit131--commit132,100
commit132--commit133,100
commit133--commit134,93.28703704
commit134--commit135,100
commit135--commit136,100
commit136--commit137,100
commit137--commit138,100
commit138--commit139,100
commit139--commit140,100
commit140--commit141,100
commit141--commit142,98.6537426
commit142--commit143,100
commit143--commit144,100
commit144--commit145,100
commit145--commit146,100
commit146--commit147,99.73333333
commit147--commit148,100
commit148--commit149,100
commit149--commit150,100
commit150--commit151,99.30666667
commit151--commit152,100
commit152--commit153,94.57735247
commit153--commit154,100
commit154--commit155,99.94714588
commit155--commit156,100
commit156--commit157,100
commit157--commit158,100
commit158--commit159,100
commit159--commit160,100
commit160--commit161,100
commit161--commit162,100
commit162--commit163,100
commit163--commit164,100
commit164--commit165,100
commit165--commit166,100
commit166--commit167,100
commit167--commit168,100
commit168--commit169,100
commit169--commit170,100
commit170--commit171,100
commit171--commit172,100
commit172--commit173,100
commit173--commit174,100
commit174--commit175,100
commit175--commit176,99.84143763
commit176--commit177,100
commit177--commit178,100
commit178--commit179,100
commit179--commit180,100
commit180--commit181,100
commit181--commit182,100
commit182--commit183,100
commit183--commit184,100
commit184--commit185,100
commit185--commit186,100
commit186--commit187,100
commit187--commit188,100
commit188--commit189,100
commit189--commit190,100
commit190--commit191,99.68337731
commit191--commit192,100
commit192--commit193,100
commit193--commit194,100
commit194--commit195,100
commit195--commit196,100
commit196--commit197,99.89451477
commit197--commit198,98.47207587
commit198--commit199,100
commit199--commit200,100
commit200--commit201,100
commit201--commit202,100
commit202--commit203,100
commit203--commit204,100
commit204--commit205,100
commit205--commit206,100
commit206--commit207,100
commit207--commit208,100
commit208--commit209,100
commit209--commit210,100
commit210--commit211,100
commit211--commit212,100
commit212--commit213,100
commit213--commit214,100
commit214--commit215,100
commit215--commit216,100
commit216--commit217,100
commit217--commit218,100
commit218--commit219,100
commit219--commit220,99.63293131
commit220--commit221,100
commit221--commit222,100
commit222--commit223,99.78902954
commit223--commit224,99.73446628
commit224--commit225,99.41737288
commit225--commit226,100
commit226--commit227,100
commit227--commit228,100
commit228--commit229,100
commit229--commit230,100
commit230--commit231,99.68186638
