NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
150,48,1014,28316,357,70.10804322
150,7,752,46463,366,70.10804322
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
150,48,1014,28316,357,70.10804322
150,7,752,46463,366,70.10804322
150,48,1014,28316,357,70.10804322
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
217,0,9524,1024968,2004,15.24008351
202,0,0,838,0,100
405,202,11916,1138921,3028,15.24008351
405,202,11916,1129569,3028,15.04702194
202,0,0,0,0,100
405,202,11916,1138921,3028,15.04702194
405,202,11916,1129569,3028,15.04702194
2,0,3,379,3,100
18,0,106,9252,39,94.52954048
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
388,202,999,126282,882,13.98907104
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
217,0,9524,1024968,2004,15.24008351
202,0,0,838,0,100
202,0,9261,1017652,1902,15.46499478
202,0,0,0,0,100
2,0,3,379,3,100
18,0,106,9252,39,94.52954048
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,2,28,1376,12,98.74857793
23,14,133,6031,79,96.31236443
0,0,0,0,0,100
19,4,53,1915,39,98.65145228
65,16,39,886,43,92.55861366
68,46,479,22822,271,89.45454545
0,0,0,0,0,100
0,0,0,0,0,100
254,1,0,0,0,99.83471074
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
51,16,1250,31143,500,91.37096774
0,0,0,0,0,100
57,37,206,10164,146,92.32488823
0,0,0,0,0,100
1,0,0,0,0,99.71751412
21,1,43,2448,19,99.64763918
0,0,0,0,0,100
0,0,0,0,0,100
13,5,72,3875,31,99.02166317
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
6,0,7,263,2,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
10,2,30,2794,10,99.37629938
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
50,12,111,6334,81,94.22680412
84,14,256,10565,118,91.58383035
1,0,1,2,0,100
4,2,37,2135,15,99.67928159
0,0,0,0,0,100
11,5,30,2224,18,98.3627204
0,0,0,0,0,100
16,0,0,0,0,100
0,0,0,0,0,100
16,9,149,2013,63,93.78531073
0,0,0,0,0,100
0,0,0,0,0,100
16,11,64,6679,42,91.79810726
15,9,58,5248,33,98.57761286
0,0,0,0,0,100
539,186,326,12939,17,17.44421907
0,0,0,0,0,100
