1252573eab087e87fb2938f8651c5b0b393aca9e,METRON-2358,Wish,Fix typos in descriptions in metron analytics module,None,Trivial,100
8fa25664fdff439ba28492bf43e26788691ec84b,METRON-2348,Bug,prepare-commit broken by github api change,,Major,100
dbacbc3cae9173466de14bbc49f7e49bf45b11e0,METRON-2341,Task,[dependabot] Bump nimbus-jose-jwt from 4.41.2 to 7.9 in /metron-interface/metron-rest,,Major,100
e57a795dc0f4781a9807bb08570b2b3948b79a97,METRON-2292,Bug,[UI] Manual query can&apos;t be saved on the Alerts UI,,Minor,100
0da31ba17a522b5afb5186d819e70999c4702e77,METRON-2276,Bug,[UI] Performance: Switching back from manual filtering fires a &quot;full query&quot;,,Minor,100
b71ddceeefb4efc677f800c66ca65fae46f4a45a,METRON-2307,Task,Migrate to JUnit5,,Minor,94.0312976
83effe49b5b996af16f68b67c6e998010a51513f,METRON-2324,Bug,verify_licenses.sh and list_dependencies.sh don&apos;t properly handle maven failures,,Major,100
b8ea1e22aebdd4e228f4c278c3171c18af664de4,METRON-2322,Improvement,Add Ambari connection check to upgrade_helper script,,Major,100
19dd9b173b5fbe3c4dc1e08a5d0498a1c441c6bc,METRON-2332,Improvement,Enable Tuning of the Profiler&apos;s Parallelism from Ambari,,Major,100
9b4979d69319436af5a65fd52bc555f794aa5029,METRON-2323,Improvement,Increase unit test coverage for Alerts List,,Major,100
ebed1db10644d769f23ef7266d8365adca7c13cb,METRON-2208,Improvement,[UI] Increase unit test coverage for Alert Details,,Major,100
1ece1ed0d2ac85d3d8114c45b555a657e2521be8,METRON-2316,Improvement,[UI] Drag drop sorting for the selected fields in the Alerts UI,,Minor,100
657028bc7f69fb7b4d54fae22b3c3fcb5d88b61b,METRON-2326,Bug,Unable to Call ENRICHMENT_GET from Threat Triage Rule Reason Field,,Major,97.68912987
101d4275ce09b819b2312407e427469370f69ef8,METRON-2285,Bug,Batch Profiler Cannot Persist Data Sketches,,Major,98.1498137
fc4bf498dc39a00715ec772a3ad4f9368b532101,METRON-2321,Bug,Remove Legacy AWS Deployment Path,,Major,100
20688203662663571ac02e6d5c80394ed0c0e206,METRON-2317,Sub-task,[UI] Delete confirmation dialogue looks visually broken,,Major,100
650c6cb39ae089c9bd8d8b039cd6a67140dbf085,METRON-2304,Improvement,Update node and npm version to LTS releases,,Major,100
97d7e46f53376303e18540075b0aa53198b0a1cb,METRON-2311,Bug,Remove JUnit from all our uber jars,,Major,100
fca9ebf0dc945bea485be334e4fcfcbe7ed179cf,METRON-2239,Improvement,Metron Automated backup and restore,,Blocker,100
12e16df4c340be169ff0d0190c732948fdcd2e44,METRON-2308,Bug,Fix &apos;Degrees&apos; Example Profile,,Major,100
604a106f74ba0d2151e805b261f04b91a14fa2f6,METRON-2310,Bug,Remove metron-integration-test from compile dependencies,,Major,100
8686f5265e68a5fb861f944b4b3b086c807618f2,METRON-2284,Bug,Metron Profiler for Spark doesn&apos;t work as expected,,Major,100
fb3986e3ec6c39838fec2cf96020d84dd2ff86bc,METRON-2290,Bug,[UI] Delaying first auto polling request on app start,,Major,100
6c064b76e2252776cde64280b9ee15091339cf5a,METRON-2293,Bug,Fix some inaccuracies in the MaaS README example,,Major,100
eb1dda62eccc5f6e9ae402d743b11564b4506ba5,METRON-2302,Bug,[UI] Change the default polling interval for Alerts UI to longer time,,Major,100
df6e18154c508cd803095d31f8ff9cf96e05406b,METRON-2295,Improvement,[UI] Displaying &quot;No Data&quot; message in the Alerts UI screen,,Minor,100
581a43f870de3940cadd9cf8170d43a598f89640,METRON-2294,Improvement,[UI] Fixing Stale mode issue in Alert UI Manual Query Mode,,Minor,100
d0d64d4ad227711b3cf842bca2965087ed191f59,METRON-2291,Bug,[UI] Fixing and rephrasing warning messages on Alerts UI,,Minor,100
37a8e2e8211dd2c8a56c8e75b516e3029c421099,METRON-2303,Bug,Change Default HDFS Port for Batch Profiler,,Major,100
e645ffe34a98617b91261738477358c760bb60cf,METRON-2300,Task,Fix Brad Kolarov&apos;s Apache ID,,Major,100
67b4d0b2c84f7f370890c1caf639459a4c40b37a,METRON-2280,Bug,PCAP queries no longer work,,Major,100
bb9a244d81feb54bc93456310f57a92d63cea38f,METRON-2259,Bug,[UI] Hide Resolved and Hide Dismissed toggles not works when filtering is in manual mode,,Major,100
50b5c50d93db92ff0d13de7d640187b614fd5de6,METRON-2278,Improvement,&quot;Metron on CentOS 6&quot; Documentation is outdated,,Minor,100
895fe493f38fd85abd3e0f14df507293b977ccfe,METRON-2274,Bug,Flatfile loader and summarizer mapreduce mode broken,,Major,100
03e0977ffa0815f129fcb5a1340f6a2b2f0212c6,METRON-2272,Bug,[UI] Performance: Switching manual filtering on and off multiple times leads slow typing,,Major,100
d693e282342afb8e67a57744ee3505262295dd35,METRON-2190,Bug,[UI] Alerts UI: Indicating loading and preventing parallel requests,,Major,100
080e074e9d3861f102e74a46a30f6b90ac2da1c9,METRON-2271,Improvement,Reorganize Travis Build,,Major,100
eaee9f84f27c9fcf35cf2b0492352016b5b88b76,METRON-2266,Improvement,REST debug instructions,,Major,100
3a666d5d8d6489882bcc32ded5f53bb5225c3ab1,METRON-2235,Bug,Full dev deployment server startup timeout,,Minor,100
92220ced649b14d90fd7bc27b66a3d2eca651475,METRON-2257,Bug,Metron-Alerts GUI testing failing on MacOS builds,,Minor,100
0e2eadf7dc7aa9db3e77f97b43c5846625162059,METRON-2247,Improvement,rpm-docker: Provide an option to bypass running rpmlint,,Minor,100
