CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
c7d4888692b3847fb215f21156098b3a526e18b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
155aa696c8b1cb3649ab1d0c8ddea38ecdd4b44e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
ecfc90604c258196e0e3456bb4857276c80eabe7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
a919cc191a207373c7aa854dfe4949f9f0fe9daa,150,8197,1567,6630,48,0,48,2,2,0,1,51,6.107247668,10844,0,0,2214,1200,1014,99347,71031,28316,917,560,357,70.10804322
a64c9125ab72089e96facab691e9cfe7f165fd34,150,1539,10579,9040,7,0,7,1,1,0,1,50,6.177309106,15036,0,0,1328,2080,752,61731,108194,46463,554,920,366,70.10804322
b0684a18811241e913f4ef6452513532f06674a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
5e72a63a191488a52155cb62fa6d0bfe540a4129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
dd93eb022716ad414f92c17a8b89ebeb890e61fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100
7db4a66269ff0ff593d4589262b0fd374d5cfcfa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100
999d0bbc342185763164a64bfdf8e750c26e64f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,100
5d510e90573fbe6111014438ca9e6721e1db5899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,100
7fb7745f08ee8c74e209a24703f47a04bed43090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,100
34faa3004615c37c4117016a9200b94b2a248b3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,100
70e84c0318f76190d85a84ec2bdc1f5f1f78fbd0,150,8197,1567,6630,48,0,48,2,2,0,1,51,6.107247668,10844,0,0,2214,1200,1014,99347,71031,28316,917,560,357,70.10804322
008a7f8f47bb25fc77d87e83c7d57967963cc998,150,1539,10579,9040,7,0,7,1,1,0,1,50,6.177309106,15036,10,0,1328,2080,752,61731,108194,46463,554,920,366,70.10804322
fb9af7edd2101abb0fc2e9dd3162d0d1c3b350b3,150,8197,1567,6630,48,0,48,2,2,0,1,51,6.107247668,10844,0,0,2214,1200,1014,99347,71031,28316,917,560,357,70.10804322
af743223827ef48d4868d42d825340c78890800a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100
ac5ecf5035b87d0cdc25fb3cf77b242d321b1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,100
41fdc1cfbf92e11fb39fe4a2b70c0b984a164b12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
d797c6b0476fa491833aa0b3cff3661a3cff3ba3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
842462fcee2973da4dd2d04122e385cb3c2347db,217,0,2493,2493,0,0,0,2,2,0,2,64,3.137231339,19809,0,0,2659,12183,9524,119967,1144935,1024968,1130,3134,2004,15.24008351
2a6d996beebf26ac603b8ac85e63c2f2dcc9fe65,202,752,752,0,0,0,0,1,2,0,1,60,6.795286505,18443,1,1,2657,2657,0,120618,119780,838,1128,1128,0,100
29c089e3f0c162c2410c8bf2f1c397daded3c8f5,405,28790,28790,0,202,0,202,2,2,0,2,121,8.074526777,18464,3,3,2659,14575,11916,119967,1258888,1138921,1130,4158,3028,15.24008351
2411e40faf41c79ac996531ca2e4b9c5c1e798af,405,28790,28790,0,202,0,202,3,3,0,2,121,8.074526777,18464,2,2,2659,14575,11916,120805,1250374,1129569,1130,4158,3028,15.04702194
1ae657ae03cce670577f1f288d5929e9799fa5a7,202,469,469,0,0,0,0,1,2,0,1,60,7.233776945,18443,3,3,2657,2657,0,120618,120618,0,1128,1128,0,100
0ef9478fd418f8695b75618c0f332dcb62650155,405,28790,28790,0,202,0,202,2,2,0,2,121,8.074526777,18464,4,4,2659,14575,11916,119967,1258888,1138921,1130,4158,3028,15.04702194
7c51b5a5995b6a4af7bfbe7b0d23fca95de9edea,405,28790,28790,0,202,0,202,3,3,0,2,121,8.074526777,18464,5,5,2659,14575,11916,120805,1250374,1129569,1130,4158,3028,15.04702194
c73db58ffa1d21e3b8e4ce53f409c0e17336be7d,2,115,102,13,0,0,0,2,3,26,1,2,0.458685816,174,6,3,26,23,3,2249,1870,379,9,6,3,100
b24d27c27902a1e8784a147cfe5b188b1d732a74,18,3,2055,2052,0,0,0,2,3,18,1,3,2.911385158,1642,7,4,12,118,106,384,9636,9252,8,47,39,94.52954048
0232b1da744bdfabe2c2fc79ae5cb53f848599dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,100
3bbde87916f02c6e34004b8949d847d99bd78412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3f3890e2f2fd0816599e1ca1823c2b8ff96a01dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
f66f099c999b56a6e3e67cadcbc0f932bc1f87cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
10a58f6e6a203cd4de29b0e80f48f8359565d598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
fd99302aa10e638f98c08d6d892576358430150c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
ae321aadd9b1a75a97ff8a3f0542d04bc4a184bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100
ab6d60d6a323d1da7fad073a961414dad39f9d2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
6fccedad04f128efe26d574b6a191a04799f319f,388,28790,26751,2039,202,0,202,2,2,0,2,119,8.036223278,16937,1,0,2659,3658,999,119967,246249,126282,1130,2012,882,13.98907104
979dee01a27b67b4d659fd60ff906fbd3ecc9593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,100
13e8a716e71954e54b78e94ec87f233c7db95d52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,100
0544c2665ebae6f0b5c62728abd77fa2c9167137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100
90cda3ff2d9e45af9b00a71ba9d2e870cb39ee84,217,0,2493,2493,0,0,0,2,2,0,2,64,3.137231339,19809,0,0,2659,12183,9524,119967,1144935,1024968,1130,3134,2004,15.24008351
dd8f0ca2933e7d41fb7bef8ffb2e2096ada6a9ec,202,752,752,0,0,0,0,1,2,0,1,60,6.795286505,18443,1,1,2657,2657,0,120618,119780,838,1128,1128,0,100
3854e07588e02d0f3fa41aee2ef4385fc49ae1d0,202,0,0,0,0,0,0,1,1,0,1,60,0,18443,2,2,2657,11918,9261,120618,1138270,1017652,1128,3030,1902,15.46499478
d504487d19c5f2a16e3f255945c8a3ee3c4b54f7,202,469,469,0,0,0,0,1,2,0,1,60,7.233776945,18443,3,3,2657,2657,0,120618,120618,0,1128,1128,0,100
9d5374cc9ef1952d9a51b272dae4e5762ea582a6,2,115,102,13,0,0,0,2,3,0,1,2,0.458685816,174,2,1,26,23,3,2249,1870,379,9,6,3,100
a9d4eece160bad5e8c374d7d4e4b22abed904d24,18,3,2055,2052,0,0,0,2,3,0,1,3,2.911385158,1642,3,2,12,118,106,384,9636,9252,8,47,39,94.52954048
9149957339144216f3520f10aa1ab78b40bb4909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,100
57e3a8f8c082d591c0257981009752f4570c3630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
88ded5f08a081097bebae93e334f3deb92244e1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100
6dc127518f1eabd7a5c134699c6d10551f5daf33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
d91387e892b8b5e363cdc31eedfc2cb4d0d9ccbc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
47226af261b7b94776032244df83056b2e3d1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
97f25dfdda60bc6b5496736fc7809376aea1ac19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
c5d80a83189b70e39aafbfb12d00b17c6905521e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
e639420938e5356f79ad2c2e4d8661edcb73a439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
af3066d5c1b1b5145d3ce8c482323448821ccd93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
b15ec5a58a9970dc3c0df705303bb0fd03b7f644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100
c2e85f4e2d5a6bf1b33a24a2f28eca70262d0a3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
6cbd6a7b7db21d92bec39fc27108972011b18685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,100
4a414a18b8a45116b898f7962690df11fac581f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,100
aeba74c50535d835a9d431b5c21b04e1c1b6499e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,100
65dfc82f00889bc49b8915cefd20e2331d8e2e51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,100
1eb0862f9e7d66d897a11cf8480cb0f94354c91f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,100
e6945f29acb8ebb2c6198ec1e05a2251561ba0d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,100
6b79ed171ebe3b73a89cd84669886ebb6f3d8ba9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,100
d8c9dbec436d56549c0ceeb68e05298e2f22bf49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,100
14e656c101d69186dfa672dbf64df97805e8bfa9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,100
425cc8bf9d56cbe8f8f8c67b8a28a9d60dfd4a10,2,325,0,325,2,0,2,1,1,0,1,1,0.977696346,0,14,14,28,0,28,1376,0,1376,12,0,12,98.74857793
fd35b10dd25fce278962ab87b574ad9acd15d19f,23,992,24,968,14,0,14,1,4,17,1,11,3.621400534,763,2,1,237,104,133,10873,4842,6031,146,67,79,96.31236443
bc140a571a78c428e9ae5a3315c427724183782f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,100
40be20a6a1f78d0097b678bf8a7cee45779f4a63,19,826,185,641,4,0,4,2,3,60,1,9,2.89112068,1317,0,0,285,232,53,8943,7028,1915,205,166,39,98.65145228
5bd1ddaf4af2fefd3843aae7df0c0313114aec36,65,1673,2057,384,16,0,16,1,5,33,1,24,5.132262992,3972,0,0,544,505,39,27825,26939,886,282,239,43,92.55861366
2c379a239ea19a509e8d3636d087c80f080dda8d,68,4068,204,3864,46,0,46,1,5,1,1,37,5.225481521,1981,0,0,786,307,479,35786,12964,22822,431,160,271,89.45454545
