NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,8,0,100
1,0,4,275,2,100
1,0,0,6,0,100
2,2,50,2800,32,93.33333333
0,0,0,0,0,100
1,0,0,12,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,1,121,0,100
2,0,0,18,0,100
2,0,0,24,0,100
1,0,1,45,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,22,0,100
2,0,9,276,0,99.23954373
5,0,5,113,2,96.95387293
1,0,0,0,0,100
34,0,65,14503,55,85.12173129
0,0,0,0,0,100
3,3,25,848,11,99.28498468
0,0,0,0,0,100
0,0,0,0,0,100
32,0,4,13,2,94.68302658
11,0,0,0,0,100
7,0,3,525,3,99.58762887
1,0,0,0,0,100
1,0,0,6,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
61,15,7,461,13,84.00392542
15,0,5,28,0,98.61495845
0,0,0,0,0,100
11,0,6,121,1,97.3357016
13,1,8,375,4,97.38267148
10,0,11,333,9,98.27089337
1,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
29,7,53,3477,28,91.43730887
2,0,3,538,1,99.89384289
2,0,8,285,8,100
0,0,0,0,0,100
2,0,0,24,0,100
3,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
15,0,9,200,9,100
1,0,3,34,0,100
1,0,0,0,0,100
5,0,11,366,8,100
1,0,4,102,1,100
1,0,0,0,0,100
1,0,0,1,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,18,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,4,76,0,100
1,0,4,101,1,100
1,0,2,45,1,100
1,0,0,23,0,100
1,0,0,0,0,100
4,3,86,1927,73,99.26238145
3,1,34,892,18,99.47862357
2,0,13,320,4,100
1,0,0,32,0,100
2,0,4,184,1,100
1,0,0,9,0,100
1,0,2,84,0,100
0,0,0,0,0,100
4,4,54,2848,24,94.28060769
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
3,0,1,9,0,100
1,0,1,13,0,100
15,0,2,245,2,93.55628059
4,0,2,15,0,99.05660377
1,0,0,14,0,100
8,0,3,52,1,100
5,0,9,302,2,100
1,0,0,5,0,100
0,0,0,0,0,100
1,0,3,65,2,100
11,2,15,480,14,94.41048035
2,0,0,104,0,96.26556017
0,0,0,0,0,100
2,0,0,4,0,100
1,0,1,6,1,100
2,0,8,285,8,100
1,0,0,0,0,100
0,0,0,0,0,100
3,0,6,64,0,100
5,0,31,1555,20,100
1,0,0,0,0,100
1,0,0,8,0,100
12,0,15,293,10,99.92163009
4,4,19,655,17,99.22299922
3,0,0,0,0,100
1,0,0,0,0,100
1,0,1,25,0,100
2,2,10,273,8,99.07120743
155,0,0,11,0,100
7,0,0,0,0,100
33,0,0,0,0,100
2,0,0,0,0,100
3,0,0,0,0,100
4,0,0,0,0,100
20,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
