CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP
11dc3bfbc0b731656f32b2eeec00659a1bbf9e4a,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,8,4
60c30dcab158b8166295ed6b6c28b948039add39,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,9,5
853c331a55ad97bf88ed20b252e3e25122807330,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,10,6
6e28cb05f57c803480177f6898973fca591d16f8,1,2,2,core/src/main/java/org/apache/mina/transport/vmpipe/support/VmPipeSessionImpl.java,2,2,161,0,0,2,2,5.0,1,1,0.0,161,0,0
40e72b428eba8664a13fe87993d3a4324ecedfd4,1,93,56,core/src/test/java/org/apache/mina/transport/AbstractTrafficControlTest.java,93,56,152,0,0,2,2,5.0,1,1,0.0,152,1,1
e5387cf62394aa7a044da11b620696fc2bd775c0,1,1,1,core/src/test/java/org/apache/mina/transport/socket/nio/SocketBindTest.java,1,1,62,0,0,1,2,5.0,1,1,0.0,62,11,7
5351ccfb462570c6cc9d9ab50ae7fab40369fcbf,2,703,0,core/src/main/java/org/apache/mina/filter/StreamWriteFilter.java,178,0,0,2,0,1,1,0.0,1,2,0.8163116083718265,0,2,2
,,,,core/src/test/java/org/apache/mina/filter/StreamWriteFilterTest.java,525,0,0
794d4dc31d660823f551835cfceab365defcac6d,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,12,7
f94d4e9c30ea2b73e67b2c3c11d7f35462304217,1,1,2,core/src/main/java/org/apache/mina/transport/socket/nio/support/SocketAcceptorDelegate.java,1,2,478,0,0,1,2,10.0,1,1,0.0,478,13,8
7117290e4d31ac6ba343af71ec19a3f0116ff87e,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,14,9
a0644eedf991e27bebce31739a7dad121d95eef8,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,15,9
795bf59a821b3cc227f8d7aa66bf187642dbe5e0,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
36a0fb8865fcbcffbff2f16e6ae1f34cb9eb350b,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,1,1
6ca54a996ff9c37292b31a888bf3f8cab6733e79,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,2,2
d5a92d15ae960931335542d5945e404b03543760,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,3,3
88cad3cb5848e7c90a4540ff3eb963ab9bca0c8e,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,4,4
97f2243843d3088be06eb767bd514a965fe972f9,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,5,5
ad4ab62b259298073f1d3ababa294359c43ea711,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
c99f7401676ebdc87929f4421161d26b5fe8e628,2,14,1,core/src/main/java/org/apache/mina/common/ByteBuffer.java,1,1,1495,0,0,2,2,16.0,1,2,0.5665095065529053,1921,1,1
,,,,core/src/test/java/org/apache/mina/common/ByteBufferTest.java,13,0,426
0479c1950cceff40cb87a9c51217909caf203820,2,4,5,examples/src/test/java/org/apache/mina/examples/echoserver/AcceptorTest.java,2,2,164,0,0,2,2,18.0,1,1,0.9910760598382222,375,3,3
,,,,examples/src/test/java/org/apache/mina/examples/echoserver/ConnectorTest.java,2,3,211
af1a26208876f516f9e6f2982c67927fecc095c7,2,2,0,spring/src/test/java/org/apache/mina/integration/spring/support/AbstractIoAcceptorFactoryBeanTest.java,1,0,219,0,0,2,2,18.0,1,1,1.0,337,4,4
,,,,spring/src/test/java/org/apache/mina/integration/spring/support/AbstractIoConnectorFactoryBeanTest.java,1,0,118
9a430f1be21d9f156386640b9622db0a3a6ff844,1,15,5,spring/src/test/java/org/apache/mina/integration/spring/InetAddressEditorTest.java,15,5,40,0,0,2,2,18.0,1,1,0.0,40,5,5
4415d3276684ef7646a160a70911582a4165c385,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
74855162131030ea439ae5c13b90daf96a1231a0,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,1,1
166303a59aa2dbfd593f9748876628630a1c074a,2,2,6,core/src/test/java/org/apache/mina/transport/socket/nio/DatagramTrafficControlTest.java,1,3,46,0,0,2,2,26.0,1,1,1.0,92,6,6
,,,,core/src/test/java/org/apache/mina/transport/socket/nio/SocketTrafficControlTest.java,1,3,46
