CommitID,FileName,FileComplexity,FileTokenCount,FileMethodNum,CommitComplexity,CommitTokenCount,CommitMethodNum,LastFileComplexity,LastFileTokenCount,LastFileMethodNum,LastCommitComplexity,LastCommitTokenCount,LastCommitMethodNum
11dc3bfbc0b731656f32b2eeec00659a1bbf9e4a,/,0,0,0,0,0,0,0,0,0,0,0,0
60c30dcab158b8166295ed6b6c28b948039add39,/,0,0,0,0,0,0,0,0,0,0,0,0
853c331a55ad97bf88ed20b252e3e25122807330,/,0,0,0,0,0,0,0,0,0,0,0,0
6e28cb05f57c803480177f6898973fca591d16f8,core/src/main/java/org/apache/mina/transport/vmpipe/support/VmPipeSessionImpl.java,21,901,15,21,901,15,21,909,15,21,909,15
40e72b428eba8664a13fe87993d3a4324ecedfd4,core/src/test/java/org/apache/mina/transport/AbstractTrafficControlTest.java,15,1225,13,15,1225,13,11,950,11,11,950,11
e5387cf62394aa7a044da11b620696fc2bd775c0,core/src/test/java/org/apache/mina/transport/socket/nio/SocketBindTest.java,5,320,3,5,320,3,5,314,3,5,314,3
5351ccfb462570c6cc9d9ab50ae7fab40369fcbf,core/src/main/java/org/apache/mina/filter/StreamWriteFilter.java,12,493,5,50,2800,32,0,0,0,0,0,0
,core/src/test/java/org/apache/mina/filter/StreamWriteFilterTest.java,38,2307,27,,,,0,0,0,,,
794d4dc31d660823f551835cfceab365defcac6d,/,0,0,0,0,0,0,0,0,0,0,0,0
f94d4e9c30ea2b73e67b2c3c11d7f35462304217,core/src/main/java/org/apache/mina/transport/socket/nio/support/SocketAcceptorDelegate.java,69,2046,18,69,2046,18,69,2058,18,69,2058,18
7117290e4d31ac6ba343af71ec19a3f0116ff87e,/,0,0,0,0,0,0,0,0,0,0,0,0
a0644eedf991e27bebce31739a7dad121d95eef8,/,0,0,0,0,0,0,0,0,0,0,0,0
795bf59a821b3cc227f8d7aa66bf187642dbe5e0,/,0,0,0,0,0,0,0,0,0,0,0,0
36a0fb8865fcbcffbff2f16e6ae1f34cb9eb350b,/,0,0,0,0,0,0,0,0,0,0,0,0
6ca54a996ff9c37292b31a888bf3f8cab6733e79,/,0,0,0,0,0,0,0,0,0,0,0,0
d5a92d15ae960931335542d5945e404b03543760,/,0,0,0,0,0,0,0,0,0,0,0,0
88cad3cb5848e7c90a4540ff3eb963ab9bca0c8e,/,0,0,0,0,0,0,0,0,0,0,0,0
97f2243843d3088be06eb767bd514a965fe972f9,/,0,0,0,0,0,0,0,0,0,0,0,0
ad4ab62b259298073f1d3ababa294359c43ea711,/,0,0,0,0,0,0,0,0,0,0,0,0
c99f7401676ebdc87929f4421161d26b5fe8e628,core/src/main/java/org/apache/mina/common/ByteBuffer.java,256,7304,118,284,11086,138,255,7295,118,283,10965,138
,core/src/test/java/org/apache/mina/common/ByteBufferTest.java,28,3782,20,,,,28,3670,20,,,
0479c1950cceff40cb87a9c51217909caf203820,examples/src/test/java/org/apache/mina/examples/echoserver/AcceptorTest.java,15,957,7,40,2208,21,15,960,7,40,2226,21
,examples/src/test/java/org/apache/mina/examples/echoserver/ConnectorTest.java,25,1251,14,,,,25,1266,14,,,
