CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,A2A
11dc3bfbc0b731656f32b2eeec00659a1bbf9e4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,100
60c30dcab158b8166295ed6b6c28b948039add39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,100
853c331a55ad97bf88ed20b252e3e25122807330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,100
6e28cb05f57c803480177f6898973fca591d16f8,1,2,2,0,0,0,0,2,2,5,1,1,0,161,0,0,21,21,0,901,909,8,15,15,0,100
40e72b428eba8664a13fe87993d3a4324ecedfd4,1,93,56,37,0,0,0,2,2,5,1,1,0,152,1,1,15,11,4,1225,950,275,13,11,2,100
e5387cf62394aa7a044da11b620696fc2bd775c0,1,1,1,0,0,0,0,1,2,5,1,1,0,62,11,7,5,5,0,320,314,6,3,3,0,100
5351ccfb462570c6cc9d9ab50ae7fab40369fcbf,2,703,0,703,2,0,2,1,1,0,1,2,0.816311608,0,2,2,50,0,50,2800,0,2800,32,0,32,93.33333333
794d4dc31d660823f551835cfceab365defcac6d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,100
f94d4e9c30ea2b73e67b2c3c11d7f35462304217,1,1,2,1,0,0,0,1,2,10,1,1,0,478,13,8,69,69,0,2046,2058,12,18,18,0,100
7117290e4d31ac6ba343af71ec19a3f0116ff87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,100
a0644eedf991e27bebce31739a7dad121d95eef8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,100
795bf59a821b3cc227f8d7aa66bf187642dbe5e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
36a0fb8865fcbcffbff2f16e6ae1f34cb9eb350b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
6ca54a996ff9c37292b31a888bf3f8cab6733e79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
d5a92d15ae960931335542d5945e404b03543760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
88cad3cb5848e7c90a4540ff3eb963ab9bca0c8e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100
97f2243843d3088be06eb767bd514a965fe972f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,100
