NMF,NAD,CFC,NCC,NMC,a2a
1,1,2,59,2,83.33333333
2,0,0,0,0,100
1,1,7,266,3,76.47058824
1,1,1,34,1,86.36363636
1,1,1,34,1,92.30769231
1,1,18,390,7,93.33333333
0,0,0,0,0,100
1,1,0,34,0,88.57142857
1,1,4,122,4,95
2,0,0,19,0,100
1,1,3,73,3,91.11111111
1,1,5,124,5,96
1,1,3,111,3,92.72727273
5,0,20,539,16,65.51724138
1,1,0,74,0,96.66666667
2,0,0,15,0,98.38709677
0,0,0,0,0,100
1,1,9,365,3,96.875
1,0,1,30,1,100
3,0,7,224,3,95.3125
1,1,1,53,1,96.875
1,1,1,53,1,97.05882353
1,1,0,23,0,97.22222222
1,1,0,20,0,94.80519481
1,1,0,20,0,97.56097561
1,1,0,96,0,97.6744186
1,0,0,0,0,100
1,1,2,53,2,97.77777778
1,0,0,0,0,100
1,0,0,0,0,100
1,1,1,105,1,95.78947368
1,1,1,105,1,98
1,1,10,315,3,97.11538462
1,0,2,82,0,100
1,0,0,2,0,100
1,1,5,238,3,94.39252336
1,1,5,252,3,94.49541284
1,1,1,60,1,91.22807018
1,1,1,60,1,90.6779661
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,1,3,117,2,91.80327869
1,1,3,117,2,93.98496241
6,0,2,154,2,94.36619718
1,1,0,119,0,97.24137931
1,1,12,430,3,88.54961832
1,0,7,180,0,100
1,0,4,224,4,100
1,0,0,0,0,100
1,0,1,27,0,100
2,0,5,214,1,100
1,0,7,238,0,92.42424242
1,0,0,3,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,1,4,341,2,96.42857143
2,0,2,103,1,100
1,0,0,0,0,100
1,0,0,0,0,100
1,1,3,219,2,93.00699301
1,1,1,241,1,94.93670886
1,1,1,86,1,96.96969697
1,0,1,46,1,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,2,52,1,100
1,0,0,12,0,100
1,0,0,0,0,100
1,0,0,6,0,100
1,1,1,86,1,98.8372093
