a847c13a29e545524420bde68e186a8a1b913acf,OLTU-215,Dependency upgrade,Upgrade to Java 8,general,Major,100
778c47e2ba3bdd34f06d76e14c9f50d930a941e7,OLTU-209,Improvement,remove org.json,commons-json,Major,100
800a2aaa83db383896a05511a472cb8585804a00,/,/,    updated copyright year,/,/,100
6b93bf80d92cade8826e75e4525e6a57ec41c71a,OLTU-205,Bug,JSON token response incorrect  google token has a unexpected format,oauth2-common,Major,100
abca6bd23ba9e448479199126a3a7436c58c9a8b,OLTU-205,Bug,JSON token response incorrect  google token has a unexpected format,oauth2-common,Major,100
b2d427c68264368c273ad7e5765a64852376285b,OLTU-197,Bug,OAuthFilter looks for oauth.rs.provider-class init parameter in wrong place,oauth2-resourceserver-filter,Major,100
205b9eae4b86785166dd279556f95ff46bf18fff,OLTU-202,Improvement,Add possibility to use OAuthClient behind proxy,oauth2-client,Major,100
2d37dbaae654415187d1a08c8561fd4de72c5ee6,OLTU-214,Bug,The Facebook client demo flow is broken,demo-client,Major,100
37de1733ce8dd4b64dcf8866b2c6eb9bb15ec956,OLTU-209,Improvement,remove org.json,commons-json,Major,100
09ce2154c69f6952a948fea77623554296413caf,OLTU-209,Improvement,remove org.json,commons-json,Major,100
8542de34111d2fdef8e0b891eabe096bae5608c0,/,/,    add svn ignore,/,/,100
76fb9c00f244be7eacd178d94b445aaf6f9cb329,/,/,    Bumb version of jwt module after release,/,/,100
ba23bc9f9d2642acbbfaaf807db663daf71a13f0,/,/,    @releng increase development version number,/,/,100
ffe18290a2e8744f17f83ea0dc42440e0e29b51a,/,/,    [maven-release-plugin] rollback the release of org.apache.oltu.oauth2.jwt-1.0.3,/,/,100
e398ff693a66748e639ae58aa1432d2597ab0e82,/,/,    [maven-release-plugin] prepare release org.apache.oltu.oauth2.jwt-1.0.3,/,/,100
5a8c9491433de19d48905e91e2554a465d4a72ef,/,/,    @releng no snapshot dependencies in intermediate releases,/,/,100
1634a76b8f5f6ee30d2b3d139d481d2d3f7e7701,/,/,    @releng: preparing JWT fix release as agreed in dev ML,/,/,100
afa268414c8bb7fc3472364fb227a85565331a3b,OLTU-206,Bug,org.apache.oltu.oauth2 packages are exported twice,JWT,Minor,100
fda5a0fa5a16416a5f727c658fe3ecfe50fec10e,OLTU-203,Bug,Extend client demo with more provider,demo-client,Major,100
22287d00b6ea63b551f0279942b1d4d7f4a8b30e,OLTU-203,Bug,Extend client demo with more provider,demo-client,Major,100
c09d79fc81e22346abe91d5464667f61d8ae433f,/,/,    Update parent to latest release,/,/,100
9a082c94dbfce9fde3024ee6b30fb2ad7ffab645,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
bd69a35df7cf8ed1eaac77765393b3f074b50158,/,/,    [maven-release-plugin] prepare release org.apache.oltu.jose.parent-2,/,/,100
f9693f44cde18fbede0f7d162ab08fc0a1c57524,/,/,    @releng updating dependencies to prepare next releases,/,/,100
af16cb54ac6302e86211f6914ea42b0080a9d704,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
eaf7d3620c7db3c7f21db630d1178f2799f74782,/,/,    [maven-release-plugin] prepare release org.apache.oltu.commons.parent-2,/,/,100
f080591de09bb14d215d9e12eb7cf7fb2a4b3376,/,/,    releng: update dependencies,/,/,100
ec5d53b8e9f9d798079ab6014c8d5d24e86dc16d,OLTU-200,Bug,Wrong regex in TokenReader,oauth2-common,Major,98.25870647
db3383120e57221086c5ff689231444d2c281beb,OLTU-201,Bug,Issue in JWS validation ,JWT,Major,100
5d24a0dda6713135e0ec3e160d1a6e609290a017,OLTU-201,Bug,Issue in JWS validation ,JWT,Major,99.0228013
cbc627a008b89e735a9c4501d19166e67408ddc2,OLTU-196,Bug,Type cast error in JWTClaimsSetParser,JWT,Major,100
77d3a60e6a373332e6d5b24a01f7530e90dc1cd6,/,/,    Resolve dependencies after release,/,/,100
101ff39fc4d84551d75ba3b9fb38aaf9d7caf251,/,/,    Update downloads page with latest releases,/,/,100
07e4429f1beb4f3591fdd9556f80053010da5be8,OLTU-196,Bug,Type cast error in JWTClaimsSetParser,JWT,Major,100
20689de4ad598ab8aba6c7cd92bb44e2e573b2e5,/,/,    update pmc list,/,/,100
85a132c6e16058f25ddc95808bec54f13604a2bd,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
d7b4297278a2a8b669f6c2a0781eb7c285f57309,/,/,    [maven-release-plugin] prepare release org.apache.oltu.oauth2.parent-1.0.2,/,/,100
f3f83ad90aafa43011a2a40885f23a56fc026a75,/,/,    added missing Apache License header,/,/,100
d51e4abff96b427de15acbca099a14abd675ed84,/,/,    added missing Apache License header,/,/,100
5ad421775a66ea3781d47b5ba2a9e33d63b8aef6,/,/,    org.apache.oltu.parent updated to v4,/,/,100
9ed0e188c9e6f0e6237caf4457a35ee1a4b57f20,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
c01289ce92a8784386e73c7e52565538547f757c,/,/,    [maven-release-plugin] prepare release org.apache.oltu.parent-4,/,/,100
c11613e8eeeeb256c7d239ccfbbf721d1d7d0720,OLTU-195,Bug,URLConnectionClient PUT body content,oauth2-client,Minor,100
14a181734037219800277321cc158c82a01427a6,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,100
41e129c7199ac631e5dd9f0d14942d6fda25835a,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,99.17627677
28e2276fcab55a3e4606eef70967cd41ca79cf7d,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,97.06129303
5810a2454129ed8d1996dca9cd4387e6ca3747a3,OLTU-193,Improvement,Add examples for scope and resource endpoints in demo client,demo-client,Minor,100
6e95312f9f43b6af75132eb5070c0c0242aded6c,OLTU-177,Bug,ConditionalTagSupport error on startup,demo-client,Minor,100
4a75dce5a98b94e077e0f02abc6830bbaf4027ca,OLTU-59,Bug,Method isAuthorized() from OAuthDecision is not used in the OAuthFilter,oauth2-resourceserver-filter,Trivial,100
a986b8df8ea8c6a67704ae2cfa9c230c2dca3a07,/,/,    Tommaso Teofili went Emeritus,/,/,100
296f5099f1d81e2c68fbd1d92988815b2f87afdc,/,/,    junit.assert.* is deprecated  use org.junit.*,/,/,100
9a0386b2080950a3e175661ec706de12da1cc1f9,OLTU-68,Bug,Add junit tests to OAuthUtilsTest.java,oauth2-common,Major,100
88732d523c00f27a47b2a0b72bdcb6f69c88a94e,OLTU-68,Bug,Add junit tests to OAuthUtilsTest.java,oauth2-common,Major,100
e6b738739d9a1ac48993f36d7bb7d814475a7f88,OLTU-12,Bug,[oauth2-resourceserver] resource access validation always fails if there is more than one parameter style defined,,Major,100
bebe70a21a90c7fe7f98845c48a97addc2265571,OLTU-174,Bug,OAuthResourceResponse does not support binary response bodies,oauth2-client,Major,99.82993197
380cdce8ffb027afe723935a3ee9c6aab8fe5263,OLTU-192,Bug,Bundle org.apache.oltu.openidconnect.client does not contain classes,openidconnect-common,Major,100
59ee35337f3957748878c34650ecae0ab4593460,OLTU-173,Bug,getRefreshToken() in GitHubTokenResponse class retrieves the wrong parameter,oauth2-client,Major,100
ea97a198ce62e561731060b06e6de7622970f41e,OLTU-29,Bug,OAuthAuthorizationResponseBuilder missing setTokenType,oauth2-authzserver,Major,96.79098005
793714753f368a87f62fce6b5e52bb8e30f2b869,OLTU-191,Task,Get resource fails with NPE,oauth2-client,Major,99.64570416
396cafc29fab3f611b343ea279e07c40b42d5ba8,OLTU-50,Bug,Improve the client demo in order to work with context root different than &apos;/&apos;,oauth2-client-demo,Minor,100
bdd10e2f1e3cb66725a10a84c029f29a1daae39d,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,100
