CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
e9104e7697439eadf7b4103b0cf2ed0bc57655c8,1,50,0,50,1,0,1,1,1,0,1,1,0,0,15,15,2,0,2,59,0,59,2,0,2,83.33333333
15cb95908577e8a9bf4ac03bec73b504f86cb5d1,2,4,0,4,0,0,0,1,2,0,1,1,1,103,16,16,16,16,0,363,363,0,16,16,0,100
b7a2777ea8f458859ce0c9c6bfbeaa9ad684d6a7,1,85,0,85,1,0,1,1,1,0,1,1,0,0,17,17,7,0,7,266,0,266,3,0,3,76.47058824
bab628f22fe1313b43de46a91327d39fbfa2d460,1,34,0,34,1,0,1,1,1,0,1,1,0,0,18,18,1,0,1,34,0,34,1,0,1,86.36363636
e0e74df20e9ca7fbb35ad9339a2c0fafc23d7319,1,34,0,34,1,0,1,1,1,0,1,1,0,0,19,19,1,0,1,34,0,34,1,0,1,92.30769231
45f3e76588eb141b975fd3e943795ad3df41f894,1,147,0,147,1,0,1,1,1,0,1,1,0,0,20,20,18,0,18,390,0,390,7,0,7,93.33333333
3878091e9733bad416b187cdd1d4d674682d2e51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,100
c46af4598d466def7d92f3b9e062d3da8068f4f6,1,69,0,69,1,0,1,1,1,0,1,1,0,0,22,22,0,0,0,34,0,34,0,0,0,88.57142857
3371c20cdf029952dec5cf5727f37622f74cb7da,1,81,0,81,1,0,1,1,1,0,1,1,0,0,23,23,4,0,4,122,0,122,4,0,4,95
7fda4653767b45673317735a97f53e24d51c929a,2,21,3,18,0,0,0,1,4,0,1,1,0.870864469,103,24,24,14,14,0,404,385,19,14,14,0,100
19876b5ca2d7f339b36fd7ab5751397a1191067e,1,60,0,60,1,0,1,1,1,0,1,1,0,0,25,25,3,0,3,73,0,73,3,0,3,91.11111111
0c2ca11ede75dbb84c40dd65d3d4de8996ec463a,1,85,0,85,1,0,1,1,1,0,1,1,0,0,26,26,5,0,5,124,0,124,5,0,5,96
a2b3166ecabbf61c5bc09416686d83380cdc0b02,1,64,0,64,1,0,1,1,1,0,1,1,0,0,27,27,3,0,3,111,0,111,3,0,3,92.72727273
216d030a48e3118156a97d2e6fe47bd078a119c9,5,14,14,0,0,0,0,1,1,0,1,1,2.005977711,211,28,28,25,5,20,709,170,539,21,5,16,65.51724138
ae8bebb901af07171fe01367edf26c8fbb933801,1,40,0,40,1,0,1,1,1,0,1,1,0,0,29,29,0,0,0,74,0,74,0,0,0,96.66666667
0692956fef65e3ce495cc297ae3f3a75a5dd4326,2,3,0,3,0,0,0,1,2,0,1,1,0.918295834,79,30,30,8,8,0,250,235,15,8,8,0,98.38709677
98055c0409848d70b91536932290e2cdaca46581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,100
a41b051642550022d589c6fcf6b3d772c55c1996,1,115,0,115,1,0,1,1,1,0,1,1,0,0,32,32,9,0,9,365,0,365,3,0,3,96.875
522ed1825d1bb00e83c4c0af77e2c2c8d21e704f,1,16,0,16,0,0,0,1,2,0,1,1,0,73,33,33,10,9,1,395,365,30,4,3,1,100
813d593bb6199f3dea101a054efe83511885e65c,3,8,89,81,0,0,0,1,2,3,1,1,0.663647073,97,34,34,2,9,7,110,334,224,2,5,3,95.3125
9752ad9ec5f6dbb4944b1690193f20cb21eb15ca,1,33,0,33,1,0,1,1,1,0,1,1,0,0,35,35,1,0,1,53,0,53,1,0,1,96.875
3fbe347493f1fc43c77c936b1390ba136bf7f250,1,33,0,33,1,0,1,1,1,0,1,1,0,0,36,36,1,0,1,53,0,53,1,0,1,97.05882353
9ad37b2a503c4ea5c60798d3fea7e57eb934639a,1,33,0,33,1,0,1,1,1,0,1,1,0,0,37,37,0,0,0,23,0,23,0,0,0,97.22222222
5ea1d64845336227fb679bc9e0dc01423b6d576a,1,26,0,26,1,0,1,1,1,0,1,1,0,0,38,38,0,0,0,20,0,20,0,0,0,94.80519481
58ad6c01fb6e51225bfe4a95047df3dc2ca648d6,1,26,0,26,1,0,1,1,1,0,1,1,0,0,39,39,0,0,0,20,0,20,0,0,0,97.56097561
09bdc4c3b9fc6716fcb0545af1f8db183629462d,1,45,0,45,1,0,1,1,1,0,1,1,0,0,40,40,0,0,0,96,0,96,0,0,0,97.6744186
71be5ff127ad1408324a2f1c051e20f473d163c6,1,1,1,0,0,0,0,1,2,0,1,1,0,20,41,41,0,0,0,23,23,0,0,0,0,100
d9f74b54d5afde65e3915459274b876622a908a8,1,47,0,47,1,0,1,1,1,0,1,1,0,0,42,42,2,0,2,53,0,53,2,0,2,97.77777778
a309ba5fbe0fc9290f8514ce7c3cb8300b70a63d,1,1,1,0,0,0,0,1,2,0,1,1,0,30,43,43,0,0,0,96,96,0,0,0,0,100
2513877d8dd79f3715ef3b557cdcc28db9b5fd42,1,1,1,0,0,0,0,1,2,0,1,1,0,26,44,44,2,2,0,53,53,0,2,2,0,100
54881689baf14aa43a7661c644cd9c306af4be0d,1,42,0,42,1,0,1,1,1,0,1,1,0,0,45,45,1,0,1,105,0,105,1,0,1,95.78947368
c4af0fc4a4c5a42f00527971aef3f66c09be57a5,1,42,0,42,1,0,1,1,1,0,1,1,0,0,46,46,1,0,1,105,0,105,1,0,1,98
f31b4ee64ad75a09d99b31886e752a55e0f23441,1,113,0,113,1,0,1,1,1,0,1,1,0,0,47,47,10,0,10,315,0,315,3,0,3,97.11538462
ab2591e66120da9463f4df73dc88d03f73a5d4d8,1,29,13,16,0,0,0,1,2,0,1,1,0,64,48,48,12,10,2,397,315,82,3,3,0,100
bcba47a7357ed2bd8e18ab713988f737775da6dd,1,3,1,2,0,0,0,1,3,0,1,1,0,77,49,49,12,12,0,399,397,2,3,3,0,100
20935aa3fd0116a6969745023d442ada30940586,1,86,0,86,1,0,1,1,1,0,1,1,0,0,50,50,5,0,5,238,0,238,3,0,3,94.39252336
55c221eda1e44c8414b1b9ff3f3bdd45dffda95f,1,88,0,88,1,0,1,1,1,0,1,1,0,0,51,51,5,0,5,252,0,252,3,0,3,94.49541284
174d76af3413e4d8b7f9ef43d095f7ad78d4f5a6,1,41,0,41,1,0,1,1,1,0,1,1,0,0,52,52,1,0,1,60,0,60,1,0,1,91.22807018
ded219dacf46c896d873c0da0802510603be8ce0,1,41,0,41,1,0,1,1,1,0,1,1,0,0,53,53,1,0,1,60,0,60,1,0,1,90.6779661
346138db7e5f1df11c837f1e640b457547f8b4c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0,100
1b8bd788198566f683fe264edc6838e9e2e8ef89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,100
27e7222daa69ba5a5d07d5040fc4d6e93cbb6bcd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,0,100
67a40729a2ea044d8853dda2be58f91c51854f89,1,55,0,55,1,0,1,1,1,0,1,1,0,0,57,57,3,0,3,117,0,117,2,0,2,91.80327869
b60e658aca3b571d66e00dc4534ef718a26909b0,1,55,0,55,1,0,1,1,1,0,1,1,0,0,58,58,3,0,3,117,0,117,2,0,2,93.98496241
9c872077dc0a15dfb75fe287197a78510eb752bd,6,94,178,84,0,0,0,1,2,0,1,1,2.031393719,217,59,59,16,18,2,690,844,154,10,12,2,94.36619718
2bda5483b5f2899cbb35827b737c49498a53b141,1,68,0,68,1,0,1,1,1,0,1,1,0,0,60,29,0,0,0,119,0,119,0,0,0,97.24137931
a721f2475e9a40fe6f0df78a2f1cdb134bc65ff2,1,149,0,149,1,0,1,1,1,0,1,1,0,0,61,30,12,0,12,430,0,430,3,0,3,88.54961832
977121e9faa56571fe0e0299675ad2c668f383a1,1,32,0,32,0,0,0,1,2,12,1,1,0,69,62,2,19,12,7,610,430,180,3,3,0,100
