65eab774b3d41f978174a8777018e0f1c105d996,/,/.1,    Bump org.apache.maven:maven-compat (#113),/.2,/.3,100
dd30243f6bc8597b0771deb7cadd69f780e5acf9,/,/,    Apache BVal 3.0.0 is now available,/,/,100
815ef2349f5857f1ad017020d6d84f60261839cd,OPENJPA-2917,Improvement,Subclass enhancement might fail on long fields,Enhance,Major,98.59261553
33372a718ef48243f7774af43c4172d8407dfe18,OPENJPA-2915,Bug,commons-dbcp2 2.10.0 breaks OpenJPA because of changed configuration methods,third-party,Minor,100
a1e46a10c68c8176cda82db3d1b60e97ca412b75,OPENJPA-2914,Improvement,upgrade xbean to 4.23,kernel,Major,100
0729141c31e8aad297b0cdc7cfb651363e84dfd9,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
bb11f022d8ad03c1289d0d65d08201969132ca46,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
0ea92f44a4e2044d6c76461a3396f66f741ffc6e,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
1f8db2ade4bb46ab42ca1f2602e76545cdaebac2,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
8759f6fa7eebb4ed3f5a1cc7d0aa5e8c12197bbc,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
07edae25bf11bd496fcc94bebbc57cd5f6e27f75,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
1fa918c8611c4f3a774e126d22f90912b0b92d6f,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
e62e7eaa7c656ee5c900395c5d450dc30d642467,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
c75e666452b386535c98baee3b481be07b272c8e,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
f009f39150c3d8f30dd601a4048580ded5f0bddd,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,99.99333156
f1993f14628580737bfa0f4b46238d2c72ccee43,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
