NMF,NAD,CFC,NCC,NMC,a2a
306,0,1480,37421,554,9.992652461
1430,1430,16650,672996,6829,41.66359956
306,0,2704,100457,1166,87.50924784
83,83,745,27608,319,92.75926727
1430,0,16650,672996,6829,16.6442953
404,404,4484,185850,1872,40.63260341
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
47,47,415,20712,207,86.86174978
0,0,0,0,0,100
0,0,0,0,0,100
6,0,3,100,2,99.91885312
2,0,5,606,4,92.7238806
2,0,0,9,1,100
0,0,0,0,0,100
0,0,0,0,0,100
10,0,0,0,0,100
17,0,0,0,0,100
16,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
3,0,0,0,0,100
6,0,0,0,0,100
5,0,0,0,0,100
1,0,0,0,0,100
2,0,0,0,0,100
1,0,0,0,0,100
6,0,0,0,0,100
1,0,0,0,0,100
2,0,0,0,0,89.96897622
1,0,0,0,0,89.96897622
3,0,0,0,0,100
1,0,0,0,0,100
7,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,80,0,99.59897922
1,0,0,9,0,100
0,0,0,0,0,100
1,0,0,6,0,100
1,1,2,336,2,99.85470396
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,0,11,0,100
2,0,5,113,1,100
3,0,0,43,0,100
0,0,0,0,0,100
1,0,0,11,0,100
0,0,0,0,0,100
2,0,3,399,3,100
8,5,39,2388,18,99.42342342
2,0,4,254,2,100
6,4,59,2184,21,99.46619217
3,2,12,667,7,99.92952784
1,0,8,281,0,100
2,0,2,76,0,100
1,0,0,0,0,100
1,0,3,171,3,100
10,0,192,4919,70,99.29627023
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
3,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,0,1,0,100
1,0,0,0,0,100
0,0,0,0,0,100
3,2,3,161,3,99.78925184
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,63,0,100
4,2,11,690,4,94.11990776
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,2,7,496,6,99.61750956
1,0,1,38,1,100
2,0,0,0,0,100
0,0,0,0,0,100
1,0,0,27,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,565,1,100
0,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
10,0,0,0,0,100
14,0,0,0,0,100
6,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
2,0,6,222,2,100
3,0,2,107,2,99.83022071
1,0,0,13,0,100
1,1,6,831,6,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,12,0,100
2,0,2,451,6,100
4,0,3,165,3,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,1,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,0,1,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,1,6,236,2,99.83058026
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,19,0,100
1,0,11,262,0,100
0,0,0,0,0,100
3,0,3,7,0,99.31885909
1,0,0,0,0,100
2,0,0,15,0,99.10371319
2,0,14,454,0,100
1,1,12,761,12,99.91503823
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,16,1,100
1,1,15,532,5,94.95571814
17,1,58,3085,19,94.9942241
13,0,1,217,3,100
9,0,86,3603,15,100
1,0,2,171,1,100
1,0,0,37,0,100
1,0,4,137,0,100
1,0,0,0,0,100
2,1,24,633,7,99.83043663
9,0,2,20,1,100
6,0,1,236,0,100
1,0,0,0,0,100
1,0,0,9,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,19,668,6,99.91532599
1,0,0,10,0,100
1,0,0,14,0,100
1,0,1,16,0,100
3,0,2,92,1,100
1,0,0,0,0,100
1,0,0,29,0,100
1,0,0,9,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,5,128,2,100
1,0,0,0,0,100
1,0,0,0,0,100
2,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,0,59,0,99.91525424
1,0,0,0,0,100
4,0,0,0,0,100
2,0,0,0,0,100
2,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
2,0,0,38,1,100
4,1,14,711,10,90.14084507
1,0,0,2,0,100
1,0,1,13,0,100
3,1,0,28,0,99.80263158
1,0,0,4,0,100
1,1,46,1642,28,91.4919852
1,0,1,43,1,100
1,0,13,479,7,93.21503132
1,0,4,191,1,100
2,0,12,407,2,100
1,0,0,0,0,100
2,0,0,11,0,100
1,0,0,0,0,100
1,0,0,2,0,100
0,0,0,0,0,100
1,1,4,248,3,92.78623428
0,0,0,0,0,100
2,0,6,235,2,100
7,0,80,4549,23,99.46552646
3,1,12,615,5,99.9465812
1,0,0,0,0,100
1,0,3,144,0,100
3,0,34,1346,18,95.20652728
1,0,2,71,2,99.95117188
3,0,12,383,3,100
1,0,5,158,1,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,5,173,3,100
1,0,0,16,0,100
1,0,0,82,0,100
1,0,0,30,0,100
1,0,0,7,0,100
1,0,0,7,0,100
1,0,0,0,0,100
1,0,2,113,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,54,2,100
0,0,0,0,0,100
1,0,0,3,0,100
2,0,2,2,2,100
4,1,15,833,9,99.87816764
1,0,1,18,0,100
1,0,2,49,0,100
1,0,0,0,0,100
1,0,1,12,0,100
1,0,0,0,0,100
1,0,1,22,0,100
3,2,9,344,7,99.83005584
2,1,8,166,3,89.05784138
1,0,0,3,0,100
1,0,0,15,0,100
1,0,1,12,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
2,0,6,239,6,100
1,0,7,390,2,99.69028262
1,0,1,18,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,1,0,132,0,99.76753196
2,0,1,146,0,99.65197216
2,0,1,34,0,100
2,0,3,62,2,100
4,0,7,345,5,100
1,0,0,0,0,100
1,0,0,9,0,100
1,0,0,4,0,100
3,1,2,5,0,99.80747016
1,0,10,117,3,100
1,0,4,152,1,100
3,2,37,1152,7,90.02217295
4,1,4,229,2,98.65282066
2,0,1,31,0,100
3,0,3,123,0,98.77163596
3,1,0,19,0,99.8934186
