NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
66,19,270,20095,168,88.27930175
66,0,270,20095,168,88.27930175
0,0,0,0,0,100
4,0,0,80,0,100
2,0,0,30,0,100
9,0,0,0,0,100
1,0,2,90,2,100
5,0,1,98,0,100
4,1,27,1470,12,99.71014493
10,5,46,1813,30,98.27833572
0,0,0,0,0,100
1,0,1,19,0,100
4,0,10,405,0,100
0,0,0,0,0,100
1,0,0,15,0,100
48,6,180,5645,126,93.5483871
3,1,58,1696,29,99.44979367
1,0,0,10,0,100
0,0,0,0,0,100
1,0,0,4,0,100
1,0,3,56,3,100
2,0,5,188,0,100
3,0,6,431,3,100
1,0,1,42,1,100
0,0,0,0,0,100
3,0,6,252,2,100
49,6,123,5375,31,90.90909091
1,1,0,33,0,99.11167513
1,0,0,2,0,100
4,0,9,182,1,100
2,0,0,0,0,99.48979592
2,0,1,14,0,100
1,0,0,30,0,100
0,0,0,0,0,100
84,8,43,759,47,85.41666667
85,3,57,1194,44,87.7688172
1,0,0,3,0,100
0,0,0,0,0,100
1,0,2,30,0,100
89,8,71,1599,50,90.86419753
89,3,68,1400,47,90.86419753
1,0,0,0,0,100
108,42,378,20584,240,77.25674091
0,0,0,0,0,100
27,0,2,122,0,100
3,0,9,210,0,100
2,0,0,5,0,100
118,0,0,0,0,100
15,2,23,785,13,95.46891465
1,0,0,4,0,100
32,0,4,399,2,99.89177489
1,1,0,0,0,99.78308026
23,1,11,345,2,94.00785855
14,0,2,352,1,100
1,0,0,11,0,100
0,0,0,0,0,100
1,0,0,10,0,100
0,0,0,0,0,100
5,0,8,213,0,100
15,1,10,536,5,91.25840538
209,27,230,10841,262,74.85436893
209,52,373,18157,276,74.85436893
2,1,6,392,5,99.79381443
0,0,0,0,0,100
213,30,137,8590,233,71.45969499
213,53,280,15906,247,71.45969499
139,9,152,5525,9,85.68443051
139,3,156,5739,13,85.68443051
0,0,0,0,0,100
13,0,0,115,0,100
144,13,244,9151,57,84.88612836
145,3,252,9437,60,84.88612836
1,0,3,211,1,99.69167523
6,3,79,2585,41,92.45647969
1,0,4,32,0,100
0,0,0,0,0,100
5,3,61,2995,29,96.33699634
2,0,0,0,0,100
1,0,3,161,0,100
164,16,12,379,41,86.08156028
165,11,9,63,43,83.37975859
0,0,0,0,0,100
42,0,12,2267,0,100
176,17,14,2004,38,81.724846
176,11,13,1872,37,81.724846
5,0,29,1006,11,87.40310078
1,0,0,2,0,100
3,1,5,139,3,94.97797357
4,1,9,412,3,98.35119538
26,0,1,1244,4,95.25423729
10,10,118,4051,72,95.66613162
193,16,87,6859,115,85.64013841
13,0,31,41,32,86.45294726
193,21,51,6723,75,81.56329652
223,42,28,4039,17,81.18234804
223,26,35,3900,22,81.18234804
1,0,0,0,0,100
244,63,242,4747,170,78.61089187
244,26,250,4904,175,78.61089187
22,5,83,3460,49,93.04812834
249,63,151,1179,113,78.34710744
260,40,126,362,98,74.81542248
271,71,248,8387,126,66.48841355
271,39,262,9003,150,66.48841355
3,0,2,149,0,100
282,82,618,23597,226,70.49924357
3,2,75,3854,18,98.81744272
15,5,46,2007,40,93.99717514
289,39,748,29690,310,69.16967509
0,0,0,0,0,100
2,1,2,489,2,99.8427673
4,3,263,9155,40,99.45355191
1,0,0,7,0,100
40,3,42,2006,19,87.79884584
0,0,0,0,0,100
1,0,0,18,0,100
2,0,1,275,1,100
23,11,377,15147,92,86.67157585
1,0,0,1,0,100
3,0,0,27,0,100
5,0,4,97,2,100
312,88,39,1984,130,72.49373434
312,57,61,2691,155,72.49373434
1,0,0,7,0,100
6,2,30,1290,17,96.61835749
320,95,144,6091,183,68.96551724
320,59,166,6877,208,68.96551724
329,102,201,9920,219,67.66169154
329,59,220,10705,239,67.66169154
4,0,0,253,0,95.04573171
2,0,9,362,1,100
2,0,9,310,1,100
330,102,209,9781,218,67.80523256
332,59,229,10661,241,67.80523256
1,0,0,0,0,100
3,0,5,251,3,96.94779116
2,0,4,2,0,96.91558442
2,0,1,77,1,100
1,0,1,18,0,100
345,115,452,19189,311,66.9630643
346,60,465,19746,332,66.34746922
1,0,0,10,0,100
4,0,6,172,1,100
3,0,5,153,3,99.5308835
19,1,8,882,21,96.92780338
11,1,8,317,6,93.81898455
3,0,6,169,1,100
2,0,4,149,0,100
358,123,609,27407,415,69.09518214
358,62,640,28402,449,69.09518214
359,124,655,29100,423,66.32191338
359,62,684,30075,457,66.32191338
1,0,2,20,0,100
361,126,514,27476,319,66.52694611
361,75,541,27969,355,66.52694611
0,0,0,0,0,100
3,0,0,30,0,100
366,131,568,30067,355,63.45646438
75,22,509,25509,253,90.45848823
31,0,63,1848,29,99.93710692
42,0,0,0,0,100
19,0,163,12236,61,98.26410415
3,2,30,1056,22,97.2972973
33,9,150,13104,75,90.75425791
10,0,20,638,12,99.81167608
15,1,0,521,1,90.57692308
1,0,3,77,3,100
13,0,49,1551,31,93.84203481
6,2,256,11844,38,88.77216021
48,0,479,21067,216,86.09656777
8,0,1,106,0,100
22,1,1,441,9,89.56857695
11,2,237,11013,79,90.92198582
2,0,4,187,0,100
20,4,165,15648,71,95.72158365
6,0,2,11,0,100
416,114,1769,105581,842,57.22972973
416,179,1740,104075,807,57.22972973
94,0,219,8566,62,82.76539974
414,113,1767,102865,836,55.03122831
415,177,1748,101646,814,55.03122831
1,0,1,7,1,100
120,0,9,380,5,93.49865952
2,0,0,21,0,100
4,0,15,299,1,96.95922598
2,0,1,87,0,100
1,0,0,7,0,100
8,3,84,2841,30,93.92156863
420,115,1878,106864,879,55.29411765
420,182,1848,105322,846,55.29411765
420,115,1881,106983,879,55.29411765
1,0,0,16,0,100
420,182,1847,105395,846,55.29411765
8,0,3,240,3,100
420,115,1871,105628,875,56.19781631
434,196,2055,110987,958,54.18559377
3,0,3,41,1,100
8,2,21,1456,13,99.51159951
436,115,2079,113985,972,53.97543633
444,206,2157,116267,1025,55.59610706
444,115,2157,117641,1025,55.59610706
2,2,3,565,3,92.72131148
2,1,14,385,9,94.864397
1,0,0,18,0,100
38,38,210,12668,145,86.59734258
485,206,1930,102818,850,53.40710542
486,157,1916,103640,838,53.11496468
486,206,2200,112296,881,53.83631714
69,1,34,3371,9,91.68765743
8,0,39,1785,7,100
494,161,2254,117111,899,54.22360248
495,207,2205,114856,850,54.22360248
495,161,2233,116501,893,54.22360248
2,0,7,224,1,100
1,0,2,185,0,100
492,204,2163,111516,812,53.74677003
29,8,143,5172,81,87.80626781
2,0,29,1437,10,100
7,0,18,912,6,100
503,165,2267,113851,905,52.05167173
504,213,2259,112636,892,53.25177077
504,165,2307,114836,940,53.25177077
504,213,2259,112640,892,53.25177077
0,0,0,0,0,100
500,165,2312,115115,945,53.25177077
0,0,0,0,0,100
500,212,2118,114874,985,49.06275469
2,0,10,158,0,100
3,0,25,447,3,100
27,0,2,1147,2,100
1,0,3,62,2,100
2,1,14,424,9,99.85074627
4,0,2,49,2,100
1,0,0,18,0,100
499,164,2194,119601,1023,49.3083808
499,212,2184,117390,1009,49.42731278
18,0,38,2044,14,95.93165175
3,0,9,211,3,100
1,1,16,1575,7,99.69395562
2,0,4,1033,2,100
2,1,32,1431,18,99.69512195
501,164,2302,126079,1072,50.69958848
501,214,2287,123793,1053,50.69958848
501,164,2306,126278,1072,50.69958848
