CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
a44121e3ecafb3288650bfc1139c233a3d980839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
ced84c8dbb23aba17b93a3455b796a6621714bbd,66,6269,2204,4065,19,0,19,2,2,0,2,13,4.919330342,6756,1,1,1439,1169,270,63383,43288,20095,631,463,168,88.27930175
b4a10bdc73e47e8a6a6b9634d0825a394596820b,66,2202,6267,4065,0,0,0,1,1,0,2,13,4.920009084,9625,0,0,1169,1439,270,43288,63383,20095,463,631,168,88.27930175
6a92db4be1416b70b095410a0dcada97f05702bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
a1d6293708dd7d3e375e2642e96cd6bae0cc0172,4,15,5,10,0,0,0,2,2,32,1,3,1.921928095,752,1,1,146,146,0,4951,4871,80,63,63,0,100
7e540f48f4abe29531a32f2a728bd3e39258602c,2,4,2,2,0,0,0,2,2,42,2,2,0.918295834,592,0,0,99,99,0,4084,4054,30,32,32,0,100
ecd006eb24da9e4b34aa2787c8854ef5975747fc,9,468,460,8,0,0,0,2,2,36,1,1,3.003824898,716,2,2,121,121,0,3369,3369,0,71,71,0,100
ee8dd8f1051c967c1d5d024356a29b6da4a467de,1,16,1,15,0,0,0,1,2,54,1,1,0,221,2,1,39,37,2,1694,1604,90,5,3,2,100
8511d545f1c02752270887efbbe6e8733eedaae3,5,33,26,7,0,0,0,1,3,47,1,4,1.809877096,1500,3,2,321,320,1,10862,10764,98,106,106,0,100
5b8edb0bc19f770d1cd73be98033b2e70fe0c982,4,325,15,310,1,0,1,1,4,31,2,4,1.314990421,983,4,2,250,223,27,8547,7077,1470,85,73,12,99.71014493
a3276d890bbd369b0ac8552a050dae894c21c4f8,10,416,14,402,5,0,5,1,4,34,2,5,2.343547487,780,3,0,177,131,46,7301,5488,1813,81,51,30,98.27833572
14956a71d9acf41094c2654c86b6dc7a3caf865b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,100
bf5a56513b3da5b3e529c02a5c7e3af13f52b0e1,1,5,1,4,0,0,0,2,3,47,1,1,0,328,6,4,78,77,1,1880,1861,19,24,24,0,100
68ae18630f90cb2714fe25e2d3de16a5f9a186cc,4,80,6,74,0,0,0,2,4,56,2,3,1.826660568,853,7,5,166,156,10,5886,5481,405,62,62,0,100
d13f9cd2884b60eb86d2a2759ba0934da5609887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,100
ff7a5c1e6a01e2bda96ffb20e97f5b560cacbb89,1,4,1,3,0,0,0,2,2,104,1,1,0,44,0,0,8,8,0,173,158,15,6,6,0,100
c0aa63bdc913ae89035985842b05fecc79da6448,48,1602,106,1496,6,0,6,2,5,65,2,9,4.12628448,4574,4,1,930,750,180,32042,26397,5645,485,359,126,93.5483871
6d970266390c530b55b9a4f156536652312229a5,3,306,2,304,1,0,1,1,4,4,1,2,0.135498864,225,0,0,99,41,58,2854,1158,1696,46,17,29,99.44979367
91373c004ead334f8932cfd320208673a5c8eda1,1,8,4,4,0,0,0,2,4,8,1,1,0,335,5,2,61,61,0,2693,2683,10,23,23,0,100
58f38d59dee540eb3a4f348e3451190dacbc9d55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,100
eba8163b132b519c2e583103c4ce5be7bf47eb5d,1,1,1,0,0,0,0,2,3,9,1,1,0,117,7,4,15,15,0,817,813,4,5,5,0,100
c8b0a87a557084fda1c60677c198dbe48742cfc7,1,15,1,14,0,0,0,2,2,116,1,1,0,90,1,1,21,18,3,579,523,56,13,10,3,100
5299eab429d3bdf359860760f11fc6ed69fed1a0,2,45,9,36,0,0,0,2,5,73,1,2,0.133039649,678,8,5,141,136,5,4745,4557,188,36,36,0,100
da14fbb9ae1873fbcf8c578aaf450414e1b0232e,3,96,171,75,0,0,0,3,5,55,2,3,0.81564187,666,2,2,116,110,6,4030,4461,431,40,37,3,100
