,FCA
index,A2A
commit1--commit2,100
commit2--commit3,100
commit3--commit4,89.18918919
commit4--commit5,100
commit5--commit6,88.88888889
commit6--commit7,27.5862069
commit7--commit8,100
commit8--commit9,100
commit9--commit10,92.43697479
commit10--commit11,92.30769231
commit11--commit12,96.66666667
commit12--commit13,97.52066116
commit13--commit14,81.53846154
commit14--commit15,85.9375
commit15--commit16,100
commit16--commit17,89.25619835
commit17--commit18,95.79831933
commit18--commit19,100
commit19--commit20,100
commit20--commit21,97.39130435
commit21--commit22,71.96969697
commit22--commit23,89.08045977
commit23--commit24,97.08737864
commit24--commit25,98.13953488
commit25--commit26,98.2300885
commit26--commit27,98.27586207
commit27--commit28,94.11764706
commit28--commit29,98.37398374
commit29--commit30,96.28099174
commit30--commit31,100
commit31--commit32,94.3231441
commit32--commit33,99.54545455
commit33--commit34,100
commit34--commit35,98.06763285
commit35--commit36,93.30357143
commit36--commit37,100
commit37--commit38,100
commit38--commit39,100
commit39--commit40,100
commit40--commit41,99.60629921
commit41--commit42,100
commit42--commit43,98.06949807
commit43--commit44,90.59233449
commit44--commit45,93.24324324
commit45--commit46,93.7694704
commit46--commit47,94.28571429
commit47--commit48,93.33333333
commit48--commit49,94.44444444
commit49--commit50,95.32163743
commit50--commit51,95.83333333
commit51--commit52,97.8978979
commit52--commit53,89.96539792
commit53--commit54,96.58119658
commit54--commit55,80.8
commit55--commit56,89.86486486
commit56--commit57,95.07692308
commit57--commit58,99.04761905
commit58--commit59,88.60294118
commit59--commit60,83.00395257
commit60--commit61,74.80916031
commit61--commit62,80.42168675
commit62--commit63,89.20454545
commit63--commit64,98.66220736
commit64--commit65,100
commit65--commit66,89.36170213
commit66--commit67,95.76271186
commit67--commit68,99.15254237
commit68--commit69,88.88888889
commit69--commit70,80.61538462
commit70--commit71,85.63968668
commit71--commit72,90.53117783
commit72--commit73,98.03439803
commit73--commit74,99.26650367
commit74--commit75,91.26213592
commit75--commit76,90.84821429
commit76--commit77,95.18828452
commit77--commit78,95.13274336
commit78--commit79,99.06542056
commit79--commit80,100
commit80--commit81,99.76635514
commit81--commit82,96.92671395
commit82--commit83,12.76595745
commit83--commit84,91.12709832
commit84--commit85,87.97169811
commit85--commit86,94.53302961
commit86--commit87,95.44419134
commit87--commit88,96.78800857
commit88--commit89,100
commit89--commit90,95.92668024
commit90--commit91,93.17697228
commit91--commit92,97.74266366
commit92--commit93,100
commit93--commit94,99.3166287
commit94--commit95,21.89473684
commit95--commit96,94.76635514
commit96--commit97,100
commit97--commit98,100
commit98--commit99,97.06422018
commit99--commit100,94.65020576
commit100--commit101,100
commit101--commit102,100
commit102--commit103,99.3227991
commit103--commit104,95.59471366
commit104--commit105,90.61135371
commit105--commit106,92.15686275
commit106--commit107,97.43040685
commit107--commit108,91.77489177
commit108--commit109,97.81181619
commit109--commit110,93.34637965
