NMF,NAD,CFC,NCC,NMC,a2a
5,0,21,525,12,100
2,0,25,514,14,100
5,1,38,1011,16,89.18918919
2,0,1,22,0,100
7,2,27,630,12,88.88888889
30,11,27,1188,29,27.5862069
5,0,7,166,3,100
3,0,2,25,1,100
5,0,13,367,6,92.43697479
12,2,40,1313,21,92.30769231
7,0,1,43,0,96.66666667
7,0,6,343,4,97.52066116
15,2,8,327,6,81.53846154
12,2,57,1297,26,85.9375
3,0,8,190,3,100
13,0,13,737,7,89.25619835
7,0,5,261,2,95.79831933
9,0,5,74,2,100
3,0,3,155,1,100
13,0,24,606,13,97.39130435
17,0,21,659,12,71.96969697
9,1,22,617,11,89.08045977
5,1,17,314,7,97.08737864
10,1,25,922,11,98.13953488
14,2,21,1340,11,98.2300885
7,0,13,644,5,98.27586207
12,1,23,813,13,94.11764706
1,0,0,14,0,98.37398374
5,0,19,623,11,96.28099174
4,0,5,21,0,100
10,0,46,1242,23,94.3231441
5,0,16,640,11,99.54545455
2,0,1,10,1,100
9,0,13,316,3,98.06763285
15,1,31,752,13,93.30357143
3,0,1,16,1,100
4,0,2,60,0,100
9,0,0,868,4,100
9,0,5,128,1,100
4,0,15,703,2,99.60629921
7,0,2,30,0,100
13,0,5,169,4,98.06949807
11,6,101,3306,61,90.59233449
9,2,1,288,0,93.24324324
15,7,201,5791,101,93.7694704
14,1,23,1185,12,94.28571429
15,0,4,35,4,93.33333333
21,2,92,4844,16,94.44444444
4,2,20,1369,10,95.32163743
5,1,4,193,4,95.83333333
5,1,33,1899,11,97.8978979
8,0,1,122,1,89.96539792
2,0,46,1346,23,96.58119658
13,1,2,113,2,80.8
2,0,0,37,0,89.86486486
12,0,41,1381,17,95.07692308
9,0,9,815,7,99.04761905
13,1,21,749,15,88.60294118
21,2,298,8195,122,83.00395257
10,6,53,2765,35,74.80916031
22,0,16,659,6,80.42168675
9,1,14,356,11,89.20454545
7,1,2,84,2,98.66220736
5,0,2,73,2,100
4,1,4,295,6,89.36170213
4,0,1,80,1,95.76271186
19,1,37,1501,18,99.15254237
10,1,0,99,0,88.88888889
12,1,4,183,4,80.61538462
14,0,3,110,3,85.63968668
13,5,29,1631,23,90.53117783
5,1,1,31,2,98.03439803
4,0,1,129,0,99.26650367
19,3,59,2399,30,91.26213592
18,6,26,1341,14,90.84821429
20,0,29,1473,17,95.18828452
16,0,8,371,7,95.13274336
5,1,6,204,4,99.06542056
5,0,3,71,1,100
8,0,5,216,0,99.76635514
31,4,107,4923,54,96.92671395
92,0,324,107366,171,12.76595745
1,1,5,229,3,91.12709832
11,0,7,205,5,87.97169811
8,0,5,220,2,94.53302961
7,0,1,451,4,95.44419134
19,0,7,167,4,96.78800857
8,0,1,2,1,100
17,0,32,1294,13,95.92668024
2,1,0,12,0,93.17697228
41,0,0,270,0,97.74266366
1,0,0,37,0,100
20,0,21,1103,13,99.3166287
94,0,322,107601,172,21.89473684
17,1,23,2202,13,94.76635514
0,0,0,0,0,100
0,0,0,0,0,100
15,1,18,521,6,97.06422018
8,2,14,1191,6,94.65020576
0,0,0,0,0,100
16,0,4,49,3,100
5,0,9,171,7,99.3227991
14,1,1,282,1,95.59471366
10,1,4,120,1,90.61135371
2,0,1,3,0,92.15686275
7,1,7,575,4,97.43040685
16,1,21,1211,4,91.77489177
15,1,3,47,3,97.81181619
6,0,4,278,2,93.34637965
12,0,0,392,0,94.42231076
11,11,102,4696,76,93.19148936
26,0,0,653,2,95.16441006
16,0,4,270,3,99.0619137
14,1,17,1388,8,98.68913858
7,1,10,378,7,95.42124542
11,0,18,573,11,100
5,1,1,67,1,99.64157706
26,6,55,2785,41,93.09309309
28,2,8,844,12,92.35382309
8,0,4,29,0,99.46524064
1,0,0,0,0,100
21,0,57,2149,66,82.56578947
18,1,12,532,11,99.69604863
12,1,21,1299,12,98.33585477
19,1,6,241,3,88.6627907
3,0,1,23,0,100
10,2,5,205,6,92.3566879
12,5,24,1755,16,90.84249084
5,0,0,0,0,100
