CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP
d7d8369282bb2870b748ad1a89930cd63e79735a,5,161,43,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftConstants.java,4,0,13,0,0,1,2,0,1,1,0.798943353,272,1,1
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftProtocol.java,4,4,26,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,146,32,169,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServerException.java,3,3,12,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/ServerState.java,4,4,52,,,,,,,,,,,
3ae4fb01ca2dd157bc5370a32a43c1a389be1b52,2,180,73,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftLog.java,73,6,27,0,0,1,3,0,1,1,0.895757024,287,2,2
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,107,67,260,,,,,,,,,,,
6f0b3db27fcef3e9d71754fbcf042fb94de95415,5,345,171,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/LeaderElection.java,108,0,0,1,0,1,4,0,1,1,1.612596102,435,3,3
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftLog.java,41,9,72,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftProtocol.java,1,0,26,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,153,149,285,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/ServerState.java,42,13,52,,,,,,,,,,,
c299c624870e05f60a208880eb7e0369d17c4a91,2,12,7,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftProtocol.java,2,2,26,0,0,1,5,0,1,1,0.74248757,315,4,4
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,10,5,289,,,,,,,,,,,
c45272e1312150dc9753f76ae93c2dde2dac6d8e,7,168,23,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/LeaderElection.java,2,2,90,2,0,1,6,0,1,2,2.272962989,588,5,5
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftLog.java,20,4,101,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftProtocol.java,1,1,26,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,46,16,294,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/ServerState.java,9,0,77,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/raft/MiniRaftCluster.java,51,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/raft/TestRaft.java,39,0,0,,,,,,,,,,,
fdf8224104342fb6d047b13f9ced200229d4705e,30,1319,998,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/LeaderElection.java,0,108,90,11,0,2,7,0,1,6,4.116518534,849,0,0
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftLog.java,0,166,114,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftProtocol.java,0,51,26,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,0,407,319,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/ServerState.java,0,120,84,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/client/RaftClient.java,6,14,14,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/protocol/ClientRaftProtocol.java,8,15,14,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/protocol/Message.java,5,17,14,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/protocol/NotLeaderException.java,7,14,14,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/protocol/RaftException.java,4,4,14,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/protocol/Response.java,2,17,14,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/LeaderElection.java,163,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/LeaderState.java,229,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftConfiguration.java,52,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftConstants.java,2,2,16,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftLog.java,105,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftServer.java,280,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftServerException.java,3,1,12,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/Role.java,6,17,14,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/ServerState.java,140,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/protocol/AppendEntriesRequest.java,50,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/protocol/Entry.java,49,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/protocol/RaftPeer.java,10,11,14,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/protocol/RaftServerProtocol.java,11,12,14,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/protocol/RaftServerRequest.java,11,11,14,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/protocol/RaftServerResponse.java,49,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/protocol/RequestVoteRequest.java,44,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/protocol/TermIndex.java,68,0,0,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/raft/MiniRaftCluster.java,13,9,29,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/raft/TestRaft.java,2,2,19,,,,,,,,,,,
9bc37c8bf58e906b1145f34a83db1cf883bc1ba9,5,86,51,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/LeaderElection.java,44,22,122,0,0,1,2,0,1,1,1.71580288,641,1,1
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/LeaderState.java,3,3,172,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftLog.java,1,1,68,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftServer.java,28,16,206,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/ServerState.java,10,9,73,,,,,,,,,,,
574f3bdd14e71a1484eeb86b519ad9d2a74cde1f,3,37,31,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/LeaderElection.java,22,20,141,0,0,2,3,0,1,1,1.340406214,529,6,6
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/LeaderState.java,5,7,172,,,,,,,,,,,
,,,,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/server/RaftServer.java,10,4,216,,,,,,,,,,,
