CommitID,FileName,FileComplexity,FileTokenCount,FileMethodNum,CommitComplexity,CommitTokenCount,CommitMethodNum,LastFileComplexity,LastFileTokenCount,LastFileMethodNum,LastCommitComplexity,LastCommitTokenCount,LastCommitMethodNum
d7d8369282bb2870b748ad1a89930cd63e79735a,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftConstants.java,1,100,1,68,2271,34,1,79,1,47,1746,22
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftProtocol.java,2,163,2,,,,2,163,2,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,49,1652,21,,,,28,1146,9,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServerException.java,2,74,2,,,,2,74,2,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/ServerState.java,14,282,8,,,,14,284,8,,,
3ae4fb01ca2dd157bc5370a32a43c1a389be1b52,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftLog.java,22,488,13,80,2341,39,6,175,4,55,1827,25
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,58,1853,26,,,,49,1652,21,,,
6f0b3db27fcef3e9d71754fbcf042fb94de95415,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/LeaderElection.java,13,648,5,134,3797,65,0,0,0,96,2786,49
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftLog.java,29,737,18,,,,22,488,13,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftProtocol.java,2,163,2,,,,2,163,2,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,66,1830,29,,,,58,1853,26,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/ServerState.java,24,419,11,,,,14,282,8,,,
c299c624870e05f60a208880eb7e0369d17c4a91,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftProtocol.java,2,163,2,69,2015,31,2,163,2,68,1993,31
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,67,1852,29,,,,66,1830,29,,,
c45272e1312150dc9753f76ae93c2dde2dac6d8e,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/LeaderElection.java,13,654,5,162,4449,77,13,648,5,135,3819,65
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftLog.java,37,839,21,,,,29,737,18,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftProtocol.java,2,161,2,,,,2,163,2,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,76,2015,32,,,,67,1852,29,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/ServerState.java,26,462,13,,,,24,419,11,,,
,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/raft/MiniRaftCluster.java,6,192,3,,,,0,0,0,,,
,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/raft/TestRaft.java,2,126,1,,,,0,0,0,,,
fdf8224104342fb6d047b13f9ced200229d4705e,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/LeaderElection.java,0,0,0,,,,13,654,5,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftLog.java,0,0,0,199,6442,116,37,839,21,172,5254,87
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftProtocol.java,0,0,0,,,,2,161,2,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/RaftServer.java,0,0,0,,,,76,2015,32,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/ServerState.java,0,0,0,,,,26,462,13,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/client/RaftClient.java,1,50,1,,,,0,0,0,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/protocol/ClientRaftProtocol.java,0,62,0,,,,0,0,0,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/protocol/Message.java,0,16,0,,,,0,0,0,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/protocol/NotLeaderException.java,1,57,1,,,,0,0,0,,,
,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/raft/protocol/RaftException.java,3,77,3,,,,2,161,2,,,
