CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
d7d8369282bb2870b748ad1a89930cd63e79735a,5,161,43,118,0,0,0,1,2,0,1,1,0.798943353,272,1,1,68,47,21,2271,1746,525,34,22,12,100
3ae4fb01ca2dd157bc5370a32a43c1a389be1b52,2,180,73,107,0,0,0,1,3,0,1,1,0.895757024,287,2,2,80,55,25,2341,1827,514,39,25,14,100
6f0b3db27fcef3e9d71754fbcf042fb94de95415,5,345,171,174,1,0,1,1,4,0,1,1,1.612596102,435,3,3,134,96,38,3797,2786,1011,65,49,16,89.18918919
c299c624870e05f60a208880eb7e0369d17c4a91,2,12,7,5,0,0,0,1,5,0,1,1,0.74248757,315,4,4,69,68,1,2015,1993,22,31,31,0,100
c45272e1312150dc9753f76ae93c2dde2dac6d8e,7,168,23,145,2,0,2,1,6,0,1,2,2.272962989,588,5,5,162,135,27,4449,3819,630,77,65,12,88.88888889
fdf8224104342fb6d047b13f9ced200229d4705e,30,1319,998,321,11,0,11,2,7,0,1,6,4.116518534,849,0,0,199,172,27,6442,5254,1188,116,87,29,27.5862069
9bc37c8bf58e906b1145f34a83db1cf883bc1ba9,5,86,51,35,0,0,0,1,2,0,1,1,1.71580288,641,1,1,145,138,7,4524,4358,166,72,69,3,100
574f3bdd14e71a1484eeb86b519ad9d2a74cde1f,3,37,31,6,0,0,0,2,3,0,1,1,1.340406214,529,6,6,105,103,2,3644,3619,25,49,48,1,100
be6432ebf1fe40c5ae0b4778f587ba352e32e65e,5,86,20,66,0,0,0,2,4,0,1,2,1.860491462,361,7,7,82,69,13,2754,2387,367,46,40,6,92.43697479
2b7c5c94754f8e80bb44fb2a8c1d0a9740d54310,12,315,43,272,2,0,2,2,5,0,1,4,2.306487472,791,2,2,201,161,40,6453,5140,1313,107,86,21,92.30769231
