CommitID,FileName,FileComplexity,FileTokenCount,FileMethodNum,LastFileComplexity,LastFileTokenCount,LastFileMethodNum,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC
a53c9a5d06767276ace353a6e54ff324a14f20ae,QuickStartProgram.java,2,504,1,1,20,1,2,1,1,504,20,484,1,1,0
f258bb831a1dd6e7e7807b0a224d17f66ee3d1c2,QuickStartProgram.java,2,504,1,2,504,1,2,2,0,504,504,0,1,1,0
6f83187af00d739ae10ca13f3b1603c34c7039f9,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96dabd0ff78accd58098b6f351b091598fdc910a,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77977138dd8dc7e7a1bd7cb00142c2f35a426ad9,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0eaa1bc72fd494e8c5f14769edd59f34f69091c2,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dec70940e91a8308c0c842d67275e1e9c8ce382b,PointRDD.java,46,2750,10,51,2558,9,108,118,10,6536,6043,493,26,25,1
,PolygonRDD.java,32,2022,8,34,1813,8,,,,,,,,,
,RectangleRDD.java,30,1764,8,33,1672,8,,,,,,,,,
e100d1f500c433b133fb9fa3f60ffb2f67c96ae2,PointRDD.java,56,3513,10,46,2750,10,56,46,10,3513,2750,763,10,10,0
4b220333134afc0b2b3447f697b925c848caf1b8,RectangleRDD.java,61,3866,10,30,1764,8,61,30,31,3866,1764,2102,10,8,2
683b7ecb730313dd6f02adbe6665239349af416b,RectangleRDD.java,41,2775,9,61,3866,10,41,61,20,2775,3866,1091,9,10,1
4370752868ca724d50ba1a0a06cdc003980e9d3d,PolygonRDD.java,52,3674,10,32,2022,8,52,32,20,3674,2022,1652,10,8,2
4d8f04f673b0773539f955f241d0ef098561c51e,PolygonRDD.java,52,3674,10,52,3674,10,52,52,0,3674,3674,0,10,10,0
08ed6d1b2f96b0b0a1b9b7dbaaed0fec3c791d88,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720d80247f3185dc67ca2fb930a5dbfc5d1a0619,PolygonRDD.java,54,3825,11,52,3674,10,54,52,2,3825,3674,151,11,10,1
4be0f52be9b242b6340ec6705c3e05a4c9e5197d,PolygonPairRDD.java,11,929,7,0,0,0,11,0,11,929,0,929,7,0,7
51a62783645be0fd7d092d20c52c470cfb590b36,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6bcf568b75490f75d719d264f24049fcb091767e,PointRDD.java,56,3508,10,56,3513,10,56,56,0,3508,3513,5,10,10,0
ceea1c2226ddbb4f062236242b800db7cd26cc99,RectangleRDD.java,41,2792,9,41,2775,9,41,41,0,2792,2775,17,9,9,0
f90bc3447b09805a66398d39701eb3a1d29a3420,PolygonRDD.java,54,3832,11,54,3825,11,54,54,0,3832,3825,7,11,11,0
74949488b67d6b64dec8ca50ef942a89e0bf9e31,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094f2a4f6333f5de82fe7efe55d97609153e6367,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87654a6897d57bb5521363fc122791dd27fdff6c,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29b9e2e0510154261f400bc25d53f4f946fba5b9,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15dd494e677e4885db603c58b1033cfd0a7f9d63,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e7c83e75c7b799ccb14dfd521f64b02e0933382,PolygonRDD.java,90,6353,13,54,3832,11,90,54,36,6353,3832,2521,13,11,2
a963345a56bc8ed57b91db39bf63607647d8cd30,RectangleRDD.java,56,3797,10,41,2792,9,56,41,15,3797,2792,1005,10,9,1
383aa33953ae4f68f830d3e80893493ef70d2a08,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f04169b6264ceb756c130f8a79282acae5cf78a5,PolygonPairRDD.java,0,0,0,11,929,7,0,11,11,0,929,929,0,7,7
1a2e602a52f8dec388b20f9b8cc9698dcdf29b96,SpatialPairRDD.java,9,331,9,0,0,0,9,0,9,331,0,331,9,0,9
cf363e216f4d2187b51e779437d8001fcd906fba,PointRDD.java,58,4062,10,56,3508,10,58,56,2,4062,3508,554,10,10,0
b1788b3c9af81e3d063de4950b13727b30e35bde,RectangleRDD.java,58,4343,10,56,3797,10,58,56,2,4343,3797,546,10,10,0
58e7c34bf3ea6caffa70029856765afb9129bd05,PolygonRDD.java,96,7401,13,90,6353,13,96,90,6,7401,6353,1048,13,13,0
15b89162206b29accd286724c63f65a94fd5685a,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759f5c22ba15087097fe6bd774a0b5048ba22676,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778ec09bf0ff9e35b53ebe196e1d62fa10ae1d55,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6c1a29b82adf34dfc232662fd31e86adf005bae1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33d25d594c4bc9496a19d0d8a3fef23045478016,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90c545d475a19fd36669693b15aacdf65d047ea3,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317efaa34b5a961029e7fbaee5cc402bbaa8995,function/PartitionAssignGridPoint.java,7,328,2,9,318,2,7,9,2,328,318,10,2,2,0
177a3d2a0aea749864ddabc6b96d6e7c65b08d7c,function/PartitionAssignGridRectangle.java,8,331,2,15,418,2,8,15,7,331,418,87,2,2,0
27494df67cd919adb8cf4a6c45a5464e4bced352,function/PartitionAssignGridPolygon.java,8,350,2,15,456,2,8,15,7,350,456,106,2,2,0
4855cbfb41bccb428819f1eb85c05397e34732f8,PointRDD.java,75,5348,12,58,4062,10,75,58,17,5348,4062,1286,12,10,2
8b939d81c448ff39ac015b7461369b3550d2e6b8,SpatialPairRDD.java,15,951,12,9,331,9,15,9,6,951,331,620,12,9,3
1d400ba4c819157d20477dfb346dc676e73123e7,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a69299f6b980758605c4f1705f13df21f5acafb2,test case/SpatialAggregation.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,test case/SpatialAutocorrelation.java,0,0,0,0,0,0,,,,,,,,,
,test case/SpatialColocation.java,0,0,0,0,0,0,,,,,,,,,
f8da125512700a5adf0219c8389fb36742eefd67,test case/SpatialAggregation.java,3,498,1,0,0,0,16,0,16,3197,0,3197,3,0,3
,test case/SpatialAutocorrelation.java,5,1723,1,0,0,0,,,,,,,,,
,test case/SpatialColocation.java,8,976,1,0,0,0,,,,,,,,,
2ccd3efa0600a5955c105c31ab28a56afbff7dd3,Circle.java,11,404,9,0,0,0,91,83,8,6254,6324,70,30,13,17
