CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
b7cc991c6906efc1e48a4fc2d7a5707561fbd06b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
daa1640cc17acfcbc0145f7f568d568a7cb599a0,12,29,29,0,0,0,0,1,1,0,2,4,2.870889516,615,1,1,39,36,3,3468,8820,5352,26,36,10,11.11111111
e9f9cdba27d3f17ca719f0c9a51dd434ebd2a79e,11,111,476,365,0,0,0,1,2,11,2,4,2.699970233,595,2,2,30,39,9,1215,3450,2235,20,26,6,66.66666667
ca4326eb97d65115e9edbf3de290aad1b46e5bfc,11,708,0,708,11,0,11,1,1,0,2,3,3.151520251,0,0,0,43,0,43,3507,0,3507,25,0,25,50.90909091
1f2b9a78357a1183416c5300aa9a3908dc309eae,8,1050,0,1050,8,0,8,1,1,0,1,4,2.779247559,0,1,1,79,0,79,5057,0,5057,52,0,52,77.47747748
f8aa965760fcdac84a46d9f4272fef1c25455d9c,2,35,1,34,0,0,0,1,2,4,1,2,0.997772472,50,2,2,5,5,0,344,344,0,4,4,0,100
77526056556f5785ab9b15206e7d3152b5d46189,1,128,0,128,1,0,1,1,1,0,1,1,0,0,0,0,8,0,8,403,0,403,7,0,7,98.61111111
6694f1e89426da5bb784cf239441e8ccfa10db39,9,222,28,194,4,0,4,2,3,2,3,5,2.490590749,672,3,3,78,67,11,5328,4726,602,46,41,5,87.07482993
2f67f176c3c62b4aff3e083c86155772afefdffb,8,173,3,170,2,0,2,1,4,8,2,3,2.670082445,365,4,4,43,29,14,2871,2226,645,28,19,9,96.62162162
c1919b9671767a038d77af22643d18b64493a54d,1,78,96,18,0,0,0,2,3,3,1,1,0,96,1,1,7,8,1,417,450,33,6,7,1,100
ae9bbac92bbe75873162c6c439e112e9ad414eff,15,224,228,4,0,0,0,3,5,12,4,8,2.663470469,1321,3,1,125,125,0,8435,8455,20,76,76,0,100
e69f31826f9738320642eadfb51354751350c16f,1,14,19,5,0,0,0,2,3,2,1,1,0,69,4,2,8,9,1,315,312,3,5,6,1,100
ceb2353fa980962d71221fe36a58a1392d2ce038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,100
f3b65d5128c0f30cb5dfe55746af62d0daa5ebaf,2,598,6,592,1,0,1,1,5,1,1,1,0.581805524,88,0,0,51,7,44,3077,427,2650,23,6,17,97.35099338
fa5834196717e062265d67c6221023b4d315b43d,14,417,21,396,3,0,3,1,6,0,3,6,2.255252369,1312,6,4,198,152,46,10392,8223,2169,104,84,20,95.0310559
cfe94023cd54e308abeb142739517a65aa68a5cc,1,5,5,0,0,0,0,2,4,0,1,1,0,91,5,5,10,10,0,606,599,7,5,5,0,100
316b504681e6d74bfa0af47cfb69f1c1ba7ab5c3,5,751,706,45,2,0,2,1,7,1,1,1,1.616714744,494,1,1,55,56,1,3167,3262,95,24,26,2,94.64285714
5e5a7d6dd7f93c6d1172e99d3631c4fbce33f719,1,1,1,0,0,0,0,2,3,18,1,1,0,36,7,4,1,1,0,172,164,8,1,1,0,100
556b10d6ce7dc8969b54a5225199c903c8c0d552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
0bd75199d95efd253c1df20e84c16681aa096e04,2,726,1,725,1,0,1,1,2,6,1,1,0.222518367,128,3,3,53,17,36,4697,869,3828,19,6,13,94.28571429
cc0f0266342873950e8b76f4f64d8e0fe0556278,5,624,32,592,1,0,1,2,3,5,1,1,1.1586737,1198,6,3,168,108,60,10760,8094,2666,64,46,18,97.83783784
6e4c34faa58652d2626420900394793015bc2a35,6,71,51,20,0,0,0,1,5,9,2,3,1.85089892,1087,7,3,135,131,4,7118,7014,104,54,54,0,100
f528e312658baa05b945cef868425aefc56233e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,100
033aba8988c71d03185b21dcc81bc21eac17d6f4,7,747,342,405,0,0,0,2,4,3,2,3,1.328189316,1462,2,2,177,173,4,11895,9639,2256,73,72,1,98.39572193
a0e3cda67ef2ffae27f2da6522dc3d1838f700de,6,71,51,20,0,0,0,2,5,9,2,3,1.85089892,1417,3,3,139,135,4,9242,9138,104,58,58,0,100
2d1f50b2e9b72276fd06ff48079510959d57d7fd,3,216,58,158,1,0,1,3,5,0,1,1,1.121210191,931,8,5,98,85,13,6559,5810,749,42,32,10,98.93617021
e60518753cfbfd9381b44fc83a538eedb3307649,1,4,4,0,0,0,0,2,5,18,1,1,0,150,8,4,15,15,0,1154,1138,16,15,15,0,100
6a7e9ac49ceea0e8f69f868deca22ab1d7d1f25b,1,26,10,16,0,0,0,2,3,4,1,1,0,550,9,5,32,32,0,3683,3669,14,10,9,1,100
cb615d36a1d3d960986e24383def5d47758348a8,1,573,0,573,1,0,1,1,1,0,1,1,0,0,10,5,30,0,30,2702,0,2702,9,0,9,94.55445545
ec8678dad02f8951a5c04cba16118bf0135895ca,3,401,30,371,1,0,1,2,6,3,1,1,0.632893054,842,4,2,96,80,16,7461,5575,1886,36,30,6,99.07407407
8e6383b73db275d2cb421f308ae07e1a50d6b430,1,239,0,239,1,0,1,1,1,0,1,1,0,0,4,4,5,0,5,1297,0,1297,4,0,4,99.09090909
db81fae90cc214c52ab4fc1095a3e51c9d7ddad6,1,298,0,298,1,0,1,1,1,0,1,1,0,0,5,5,13,0,13,1387,0,1387,5,0,5,99.10714286
79f98dcf38e4ff922d030387ccd1cec523e7923b,28,1257,252,1005,13,0,13,1,7,17,3,6,4.118974336,1213,9,3,221,120,101,13103,7932,5171,107,59,48,86.4
6946c60f80f4cd1b51702cb18a2ed6d8a39dbf46,9,99,99,0,0,0,0,2,6,9,2,3,2.657574108,2655,11,6,184,184,0,17199,17201,2,76,76,0,100
78312c206dd8ff2dea38a124cdf803bdad08ca91,4,1312,302,1010,1,0,1,2,7,1,1,1,1.560027357,1292,6,4,225,94,131,13555,8113,5442,46,33,13,99.27536232
b52393f7bf6734257d0880784894b77079bdf149,1,205,0,205,1,0,1,1,1,0,1,1,0,0,10,2,11,0,11,943,0,943,4,0,4,98.57142857
d76e796c9caf642ae0f5553119f76cf0afce45f6,8,156,4,152,3,0,3,2,4,23,2,3,1.879880802,376,11,3,61,46,15,2778,2225,553,32,18,14,96.88581315
6090039bfd8c7e32eb483936e4e565b242f31a4a,8,647,38,609,2,0,2,1,7,25,3,4,2.116643066,816,12,6,145,106,39,8726,5350,3376,67,49,18,95.34883721
5daca5f66ea741ad83ce8a4930e6d2296ab7a878,16,393,59,334,3,0,3,2,7,19,3,4,3.444030211,964,12,4,131,93,38,7953,6124,1829,75,52,23,96.22641509
bc621faf896ab727008698653489376cc6af0426,5,36,14,22,0,0,0,2,8,15,1,1,2.101202511,2162,13,6,195,195,0,14119,13921,198,47,47,0,100
f0a0ae3a9840a92da2143fccef3861132328bd7b,4,60,43,17,0,0,0,2,9,0,1,1,1.776616519,1899,14,7,183,180,3,12293,12220,73,41,41,0,100
5784633986f5fac3f48015a818dc7f04cf24285f,1,1609,130,1479,0,0,0,1,2,17,1,1,0,568,7,3,213,53,160,13919,3811,10108,24,13,11,100
c06332b0a05dff16d1e57bf620bc871b443b7342,6,68,13,55,0,0,0,1,8,13,1,2,2.093301132,506,13,4,60,56,4,3785,3363,422,28,26,2,99.38461538
a3ed2ee50e0ff87cbd9af3965c3f3a786cec92f7,3,18,8,10,0,0,0,2,8,7,2,2,1.072737286,460,14,5,55,54,1,3553,3433,120,29,28,1,100
e3424238945d539dd8de7e49b956d93a8db5cbd0,6,430,239,191,1,0,1,1,9,4,2,4,2.467102597,738,15,4,101,80,21,6212,5395,817,51,42,9,91.09195402
