NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
0,0,0,0,0,100
5,0,29,1460,24,99.62570181
0,0,0,0,0,100
457,0,4376,262551,773,42.28482003
0,0,0,0,0,100
457,0,4376,262551,773,43.02825553
457,0,4376,262551,773,42.55050505
457,0,0,2164,0,91.11691705
210,0,0,1034,0,91.11691705
136,0,1079,7848,971,80.41758937
136,0,1079,7848,971,82.07430341
0,0,0,0,0,100
136,0,1079,7848,971,81.39829168
9,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,12,328,11,99.93674889
1,0,16,495,11,99.93666878
1,1,16,495,11,99.93666878
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,19,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
131,1,386,4989,519,94.40203562
0,0,0,0,0,100
55,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
5,2,70,2523,24,99.84040855
0,0,0,0,0,100
0,0,0,0,0,100
57,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
50,0,290,6890,217,93.61837907
0,0,0,0,0,100
916,458,9618,431388,3664,37.13739241
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
136,0,1079,7784,971,79.13646391
1,0,0,0,0,100
2,0,0,5,0,99.75015615
1,0,0,29,0,99.96876952
13,0,345,8587,264,98.32037325
1188,594,10098,371839,8910,32.05495135
74,0,340,8108,241,92.02241195
3,0,2,215,1,100
231,0,0,0,0,100
0,0,0,0,0,100
654,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,20,774,16,99.89281886
673,2,6385,252330,3739,24.04309612
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,21,0,100
2,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,3,200,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,79,0,100
1,0,0,9,0,100
1,0,0,0,0,100
0,0,0,0,0,100
3,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
8,0,47,549,51,99.03788334
0,0,0,0,0,100
1,0,0,24,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,24,598,17,99.84953355
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,3,122,3,100
1,0,0,26,0,100
1,0,0,0,0,100
1,0,0,26,0,100
2,0,0,34,0,100
1,0,0,12,0,100
1,0,0,0,0,100
313,0,0,7,0,100
8,0,0,0,0,100
133,0,0,46,0,100
