30aee93f7dcfd5868b34e64cff41c06047bb4cc5,/,/.1,    Merge pull request #788 from apache/feature/notifications-list,/.2,/.3,100
fadfe24c5f77b9531f0eef185424e1e7c505ee7d,/,/,    Uses the new notifications@ list for all the messages form Github,/,/,100
4a206d83f818f91943328bbee265722c54493ef5,WW-5333,Improvement,Refactor AttributeMap,Core,Minor,100
f326ce32772710dc3959fdab779b85cf91b96180,WW-5333,Improvement,Refactor AttributeMap,Core,Minor,95.15223175
9d6fe74935b8869ddacf14b2f7ef7425231130bd,WW-5350,Improvement,Implement optional strict class/package allowlist for OGNL,Core,Minor,100
e3241388dc05ddb33bdecd1154c247433dcc6a05,WW-5350,Improvement,Implement optional strict class/package allowlist for OGNL,Core,Minor,100
f511034acd7b97e07d281169b38e2af40c94903d,/,/,    Merge pull request #784 from apache/dependabot/maven/net.sf.jasperreports-jasperreports-6.20.6,/,/,100
d8bc96d17e8726aecd2b31719c04992656fd1eda,/,/,    Merge pull request #783 from apache/dependabot/maven/slf4j.version-2.0.9,/,/,100
601fb0ff5cc32e9fdfac054c73ccd7379a1f56ab,/,/,    Bump net.sf.jasperreports:jasperreports from 6.20.5 to 6.20.6,/,/,100
72d617012b1248205629a686c3e9d9e730b595db,/,/,    Bump slf4j.version from 2.0.7 to 2.0.9,/,/,100
9cbe10f06be979997d76043ddd8508f50f0ed172,WW-5350,Improvement,Implement optional strict class/package allowlist for OGNL,Core,Minor,100
0928a6ae683995743ee83a49b97e58be08dfeec0,WW-5350,Improvement,Implement optional strict class/package allowlist for OGNL,Core,Minor,100
c85d7ebf5dbe9e3e85a464d17b123a7dc3cd4b3a,WW-5350,Improvement,Implement optional strict class/package allowlist for OGNL,Core,Minor,100
39787947f181550e9f96f562df9494f1932abcc6,WW-5350,Improvement,Implement optional strict class/package allowlist for OGNL,Core,Minor,100
82647959b2a7db068bbb219fd07128e6b32fdc5b,WW-5350,Improvement,Implement optional strict class/package allowlist for OGNL,Core,Minor,100
56fc1ddc5b21b149607c117331f78bcbeb66de3b,/,/,    Merge pull request #777 from apache/dependabot/maven/org.jacoco-jacoco-maven-plugin-0.8.11,/,/,100
48b0c1173dc311148a95b28039bba032594153cf,/,/,    Merge pull request #776 from apache/dependabot/maven/junit-junit-4.13.2,/,/,100
574da8111f08010defe226382dc29389e55d5466,/,/,    Merge pull request #775 from apache/dependabot/github_actions/ossf/scorecard-action-2.3.1,/,/,100
4531306664dd4ad858a19c8a7d147fda798bc63c,/,/,    Bump org.jacoco:jacoco-maven-plugin from 0.8.8 to 0.8.11,/,/,100
f13284832df0229f868ba30e33ef1fff3148d314,/,/,    Bump junit:junit from 4.13.1 to 4.13.2,/,/,100
3ef0aa709250a072fd1b8e044ac836b039314a81,/,/,    Bump ossf/scorecard-action from 2.3.0 to 2.3.1,/,/,100
bd388956cd48460564d2aaeb4e68132e99290716,WW-5358,,,,,100
b15b83dd070816e7d72ba31dbea91e959a39546b,/,/,    Merge pull request #773 from mygreen/improve-urldecoder-peformance,/,/,100
c2aec9c0761df0140d8ce9328d8d7bb2aa4b309a,WW-5358,,,,,100
faa98d7af13df21fbcb2fd5c633867b57707edeb,/,/,    Update core/src/main/java/org/apache/struts2/url/StrutsUrlDecoder.java,/,/,100
