,FCA
index,A2A
commit2--commit3,100
commit3--commit4,100
commit4--commit5,99.62570181
commit5--commit6,100
commit6--commit7,42.28482003
commit7--commit8,100
commit8--commit9,43.02825553
commit9--commit10,42.55050505
commit10--commit11,91.11691705
commit11--commit12,91.11691705
commit12--commit13,80.41758937
commit13--commit14,82.07430341
commit14--commit15,100
commit15--commit16,81.39829168
commit16--commit17,100
commit17--commit18,100
commit18--commit19,100
commit19--commit20,99.93674889
commit20--commit21,99.93666878
commit21--commit22,99.93666878
commit22--commit23,100
commit23--commit24,100
commit24--commit25,100
commit25--commit26,100
commit26--commit27,100
commit27--commit28,100
commit28--commit29,100
commit29--commit30,100
commit30--commit31,100
commit31--commit32,100
commit32--commit33,100
commit33--commit34,100
commit34--commit35,94.40203562
commit35--commit36,100
commit36--commit37,100
commit37--commit38,100
commit38--commit39,100
commit39--commit40,100
commit40--commit41,100
commit41--commit42,100
commit42--commit43,100
commit43--commit44,100
commit44--commit45,100
commit45--commit46,100
commit46--commit47,100
commit47--commit48,99.84040855
commit48--commit49,100
commit49--commit50,100
commit50--commit51,100
commit51--commit52,100
commit52--commit53,100
commit53--commit54,100
commit54--commit55,93.61837907
commit55--commit56,100
commit56--commit57,37.13739241
commit57--commit58,100
commit58--commit59,100
commit59--commit60,100
commit60--commit61,79.13646391
commit61--commit62,100
commit62--commit63,99.75015615
commit63--commit64,99.96876952
commit64--commit65,98.32037325
commit65--commit66,32.05495135
commit66--commit67,92.02241195
commit67--commit68,100
commit68--commit69,100
commit69--commit70,100
commit70--commit71,100
commit71--commit72,100
commit72--commit73,100
commit73--commit74,100
commit74--commit75,100
commit75--commit76,99.89281886
commit76--commit77,24.04309612
commit77--commit78,100
commit78--commit79,100
commit79--commit80,100
commit80--commit81,100
commit81--commit82,100
commit82--commit83,100
commit83--commit84,100
commit84--commit85,100
commit85--commit86,100
commit86--commit87,100
commit87--commit88,100
commit88--commit89,100
commit89--commit90,100
commit90--commit91,100
commit91--commit92,100
commit92--commit93,100
commit93--commit94,100
commit94--commit95,100
commit95--commit96,100
commit96--commit97,100
commit97--commit98,100
commit98--commit99,100
commit99--commit100,100
commit100--commit101,100
commit101--commit102,100
commit102--commit103,100
commit103--commit104,100
commit104--commit105,100
commit105--commit106,100
commit106--commit107,100
commit107--commit108,100
commit108--commit109,100
commit109--commit110,100
commit110--commit111,100
commit111--commit112,100
commit112--commit113,100
commit113--commit114,100
commit114--commit115,99.03788334
commit115--commit116,100
commit116--commit117,100
commit117--commit118,100
commit118--commit119,100
commit119--commit120,100
commit120--commit121,100
commit121--commit122,100
commit122--commit123,100
commit123--commit124,99.84953355
commit124--commit125,100
commit125--commit126,100
commit126--commit127,100
commit127--commit128,100
commit128--commit129,100
commit129--commit130,100
commit130--commit131,100
commit131--commit132,100
commit132--commit133,100
commit133--commit134,100
commit134--commit135,100
commit135--commit136,100
commit136--commit137,100
commit137--commit138,100
commit138--commit139,100
commit139--commit140,100
commit140--commit141,100
commit141--commit142,100
commit142--commit143,100
commit143--commit144,100
commit144--commit145,100
commit145--commit146,100
commit146--commit147,100
commit147--commit148,100
commit148--commit149,100
commit149--commit150,100
commit150--commit151,100
commit151--commit152,100
commit152--commit153,100
commit153--commit154,100
commit154--commit155,100
commit155--commit156,100
commit156--commit157,100
commit157--commit158,99.66777409
commit158--commit159,100
commit159--commit160,100
commit160--commit161,100
commit161--commit162,100
commit162--commit163,100
commit163--commit164,100
commit164--commit165,100
commit165--commit166,99.93946731
commit166--commit167,99.78871114
commit167--commit168,100
commit168--commit169,100
commit169--commit170,100
commit170--commit171,100
commit171--commit172,100
commit172--commit173,100
commit173--commit174,100
commit174--commit175,100
commit175--commit176,100
commit176--commit177,100
commit177--commit178,100
commit178--commit179,100
commit179--commit180,100
commit180--commit181,99.7281788
commit181--commit182,100
commit182--commit183,100
commit183--commit184,100
commit184--commit185,100
commit185--commit186,100
