CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,TLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
6c6c0711e30d4ae8932acad0abe53fd755292e70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
2065a195c3ad9cb1da2882a5c1b080bf0292aad0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100
3afa19788c42980b9be83b0a66b1dbe570ee9963,5,0,286,286,0,0,0,1,2,0,1,1,1.982790486,211,3,3,0,29,29,0,1460,1460,0,24,24,99.62570181
2d87df186307f50e9f45795f0a3b8a5f99f25bd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100
cfe77b1f8230ef18dfb2063806ebbfbc2d7d45bb,457,0,0,0,0,0,0,1,1,0,1,53,0,25743,5,5,5221,9597,4376,164744,427295,262551,2883,3656,773,42.28482003
3a06c7bd8912a45b94546b2727204499b58e9878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,100
9783b0a83980b5c2f62f940fbdd47b158cf37e84,457,0,0,0,0,0,0,1,1,0,1,53,0,25743,7,7,5221,9597,4376,164744,427295,262551,2883,3656,773,43.02825553
f02c429125af0279ffe25b8267d7f29942f0ad44,457,0,0,0,0,0,0,1,1,0,1,53,0,25743,8,8,5221,9597,4376,164744,427295,262551,2883,3656,773,42.55050505
c94ad18aa3b632c5b7fda42d87a2d9324656c1db,457,1257,1257,0,0,0,0,1,2,0,1,53,8.529299403,25743,9,9,5221,5221,0,166908,164744,2164,2883,2883,0,91.11691705
7b54a93676808d1b3bc618cb30b130d8dc9a3afd,210,558,558,0,0,0,0,1,2,0,2,45,7.249587225,16305,10,10,1795,1795,0,108197,107163,1034,1532,1532,0,91.11691705
