,FCA
index,A2A
commit4--commit5,22.40437158
commit5--commit6,39.34262948
commit6--commit7,65.39050536
commit7--commit8,100
commit8--commit9,97.70114943
commit9--commit10,96.74922601
commit10--commit11,100
commit11--commit12,100
commit12--commit13,100
commit13--commit14,100
commit14--commit15,100
commit15--commit16,100
commit16--commit17,100
commit17--commit18,100
commit18--commit19,100
commit19--commit20,100
commit20--commit21,100
commit21--commit22,100
commit22--commit23,100
commit23--commit24,100
commit24--commit25,100
commit25--commit26,100
commit26--commit27,100
commit27--commit28,100
commit28--commit29,100
commit29--commit30,100
commit30--commit31,100
commit31--commit32,100
commit32--commit33,100
commit33--commit34,100
commit34--commit35,100
commit35--commit36,100
commit36--commit37,100
commit37--commit38,100
commit38--commit39,100
commit39--commit40,100
commit40--commit41,100
commit41--commit42,99.60906959
commit42--commit43,99.30394432
commit43--commit44,100
commit44--commit45,98.56169569
commit45--commit46,100
commit46--commit47,99.8509687
commit47--commit48,99.26035503
commit48--commit49,100
commit49--commit50,99.77973568
commit50--commit51,100
commit51--commit52,99.63369963
commit52--commit53,100
commit53--commit54,100
commit54--commit55,100
commit55--commit56,99.41690962
commit56--commit57,98.63505747
commit57--commit58,98.72971066
commit58--commit59,100
commit59--commit60,100
commit60--commit61,100
commit61--commit62,70.70979335
commit62--commit63,100
commit63--commit64,100
commit64--commit65,97.78869779
commit65--commit66,96.80365297
commit66--commit67,100
commit67--commit68,98.83474576
commit68--commit69,97.13983051
commit69--commit70,100
commit70--commit71,100
commit71--commit72,80.72417465
commit72--commit73,100
commit73--commit74,97.73462783
commit74--commit75,100
commit75--commit76,100
commit76--commit77,100
commit77--commit78,99.22651934
commit78--commit79,97.9143798
commit79--commit80,100
commit80--commit81,100
commit81--commit82,100
commit82--commit83,100
commit83--commit84,100
commit84--commit85,100
commit85--commit86,100
commit86--commit87,100
commit87--commit88,100
commit88--commit89,97.31471536
commit89--commit90,100
commit90--commit91,100
commit91--commit92,100
commit92--commit93,98.1443299
commit93--commit94,75.10288066
commit94--commit95,99.58158996
commit95--commit96,99.79123173
commit96--commit97,100
commit97--commit98,100
commit98--commit99,100
commit99--commit100,100
commit100--commit101,100
commit101--commit102,100
commit102--commit103,100
commit103--commit104,95.55984556
commit104--commit105,100
commit105--commit106,100
commit106--commit107,100
commit107--commit108,100
commit108--commit109,100
commit109--commit110,100
commit110--commit111,100
commit111--commit112,100
commit112--commit113,100
commit113--commit114,99.729973
commit114--commit115,100
commit115--commit116,100
commit116--commit117,100
commit117--commit118,100
commit118--commit119,100
commit119--commit120,100
commit120--commit121,100
commit121--commit122,100
commit122--commit123,46.09665428
commit123--commit124,98.86148008
commit124--commit125,100
commit125--commit126,99.62476548
commit126--commit127,95.7771788
commit127--commit128,100
commit128--commit129,97.88494078
commit129--commit130,100
commit130--commit131,99.25249169
commit131--commit132,98.8420182
commit132--commit133,76.21753247
commit133--commit134,99.44311854
commit134--commit135,100
commit135--commit136,100
commit136--commit137,99.05956113
commit137--commit138,100
commit138--commit139,99.68944099
commit139--commit140,100
commit140--commit141,100
commit141--commit142,100
commit142--commit143,100
commit143--commit144,95.1320132
commit144--commit145,100
commit145--commit146,100
commit146--commit147,100
commit147--commit148,100
commit148--commit149,99.82425308
commit149--commit150,100
commit150--commit151,100
commit151--commit152,100
commit152--commit153,100
commit153--commit154,100
commit154--commit155,100
commit155--commit156,100
commit156--commit157,99.56331878
commit157--commit158,100
commit158--commit159,98.54327335
commit159--commit160,99.7470489
commit160--commit161,100
commit161--commit162,90.25356577
commit162--commit163,99.69992498
commit163--commit164,99.2486852
commit164--commit165,74.18096724
commit165--commit166,100
commit166--commit167,100
commit167--commit168,95.599022
commit168--commit169,100
commit169--commit170,100
commit170--commit171,100
commit171--commit172,99.75429975
commit172--commit173,100
commit173--commit174,99.10569106
commit174--commit175,100
commit175--commit176,100
commit176--commit177,94.30132709
commit177--commit178,99.69765684
commit178--commit179,100
commit179--commit180,100
commit180--commit181,99.6985682
commit181--commit182,96.06081548
commit182--commit183,100
commit183--commit184,100
commit184--commit185,100
commit185--commit186,100
commit186--commit187,100
commit187--commit188,100
commit188--commit189,98.1314433
commit189--commit190,99.6763754
commit190--commit191,100
commit191--commit192,100
commit192--commit193,100
commit193--commit194,97.28506787
commit194--commit195,96.875
commit195--commit196,100
commit196--commit197,100
commit197--commit198,100
commit198--commit199,100
commit199--commit200,98.86159377
commit200--commit201,100
commit201--commit202,98.18067754
commit202--commit203,100
commit203--commit204,99.86702128
commit204--commit205,99.73351099
commit205--commit206,100
commit206--commit207,100
commit207--commit208,99.46666667
commit208--commit209,100
commit209--commit210,100
commit210--commit211,100
commit211--commit212,99.33774834
commit212--commit213,100
commit213--commit214,100
commit214--commit215,100
commit215--commit216,100
commit216--commit217,100
commit217--commit218,100
commit218--commit219,100
commit219--commit220,100
commit220--commit221,100
commit221--commit222,100
commit222--commit223,100
commit223--commit224,100
commit224--commit225,100
commit225--commit226,100
commit226--commit227,100
commit227--commit228,100
commit228--commit229,100
commit229--commit230,99.08972692
commit230--commit231,99.55128205
commit231--commit232,100
commit232--commit233,100
commit233--commit234,100
commit234--commit235,99.87228608
commit235--commit236,99.61759082
commit236--commit237,100
commit237--commit238,100
commit238--commit239,100
commit239--commit240,100
commit240--commit241,100
commit241--commit242,99.68253968
commit242--commit243,98.74529486
commit243--commit244,100
commit244--commit245,100
commit245--commit246,99.8757764
commit246--commit247,100
commit247--commit248,100
commit248--commit249,100
commit249--commit250,100
commit250--commit251,100
commit251--commit252,100
commit252--commit253,99.81504316
commit253--commit254,100
commit254--commit255,100
commit255--commit256,100
commit256--commit257,100
commit257--commit258,100
commit258--commit259,100
commit259--commit260,100
commit260--commit261,99.26425506
commit261--commit262,96.54747226
commit262--commit263,100
commit263--commit264,99.62894249
commit264--commit265,100
commit265--commit266,100
commit266--commit267,100
commit267--commit268,100
commit268--commit269,100
commit269--commit270,100
commit270--commit271,100
commit271--commit272,100
commit272--commit273,100
commit273--commit274,100
commit274--commit275,100
commit275--commit276,99.87669544
commit276--commit277,100
commit277--commit278,100
commit278--commit279,100
commit279--commit280,100
commit280--commit281,100
commit281--commit282,100
commit282--commit283,100
commit283--commit284,100
commit284--commit285,100
commit285--commit286,99.87699877
commit286--commit287,100
commit287--commit288,99.45021381
commit288--commit289,99.38687922
commit289--commit290,100
commit290--commit291,100
commit291--commit292,100
commit292--commit293,100
commit293--commit294,100
commit294--commit295,100
commit295--commit296,100
commit296--commit297,100
commit297--commit298,98.06371018
commit298--commit299,100
commit299--commit300,99.56112853
commit300--commit301,99.875467
commit301--commit302,100
commit302--commit303,100
commit303--commit304,100
commit304--commit305,100
commit305--commit306,100
commit306--commit307,100
commit307--commit308,100
commit308--commit309,100
commit309--commit310,99.8757764
commit310--commit311,100
commit311--commit312,96.76237019
commit312--commit313,100
commit313--commit314,99.87980769
commit314--commit315,100
commit315--commit316,100
commit316--commit317,100
commit317--commit318,99.87980769
commit318--commit319,100
commit319--commit320,100
commit320--commit321,100
commit321--commit322,99.28272564
commit322--commit323,100
commit323--commit324,100
commit324--commit325,100
commit325--commit326,100
commit326--commit327,100
commit327--commit328,100
commit328--commit329,100
commit329--commit330,100
commit330--commit331,100
commit331--commit332,100
commit332--commit333,100
commit333--commit334,100
commit334--commit335,99.88137604
commit335--commit336,99.76303318
commit336--commit337,99.8816568
commit337--commit338,100
commit338--commit339,100
commit339--commit340,100
commit340--commit341,100
commit341--commit342,100
commit342--commit343,99.88193625
commit343--commit344,100
commit344--commit345,100
commit345--commit346,100
commit346--commit347,100
commit347--commit348,100
commit348--commit349,100
commit349--commit350,100
commit350--commit351,100
commit351--commit352,100
commit352--commit353,100
commit353--commit354,98.29009434
commit354--commit355,100
commit355--commit356,100
commit356--commit357,100
commit357--commit358,96.13325402
commit358--commit359,100
commit359--commit360,100
commit360--commit361,100
commit361--commit362,100
commit362--commit363,100
commit363--commit364,100
commit364--commit365,100
commit365--commit366,100
commit366--commit367,100
commit367--commit368,100
commit368--commit369,100
commit369--commit370,100
commit370--commit371,100
commit371--commit372,100
commit372--commit373,100
commit373--commit374,100
commit374--commit375,100
commit375--commit376,98.69668246
commit376--commit377,100
commit377--commit378,100
commit378--commit379,100
commit379--commit380,100
commit380--commit381,100
commit381--commit382,100
commit382--commit383,100
commit383--commit384,100
commit384--commit385,100
commit385--commit386,100
commit386--commit387,100
commit387--commit388,100
commit388--commit389,100
commit389--commit390,100
commit390--commit391,96.83257919
