NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
32,32,352,12530,191,75.64102564
0,0,0,0,0,100
0,0,0,0,0,100
24,0,0,2,0,100
2,0,6,322,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
1,0,0,0,0,100
1,0,1,10,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,13,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,4,118,4,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,2,56,0,100
3,0,5,191,2,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,4,0,100
7,0,0,6,0,100
153,58,1077,72971,587,14.81481481
153,95,357,11771,155,14.81481481
0,0,0,0,0,100
153,58,1077,72971,587,14.81481481
0,0,0,0,0,100
153,95,357,11771,155,14.81481481
63,0,38,27729,115,45.51282051
0,0,0,0,0,100
1,0,0,4,0,100
1,0,18,830,2,98.85321101
34,0,17,1430,6,91.78403756
1,0,4,173,3,99.27884615
1,0,3,220,1,99.02676399
1,0,29,961,12,97.78325123
1,0,32,969,8,99.50248756
1,0,1,57,1,97.72727273
1,0,8,362,7,99.48717949
27,0,0,72,0,90.20618557
0,0,0,0,0,100
2,2,29,1085,16,93.76693767
1,0,13,853,9,99.42528736
0,0,0,0,0,100
0,0,0,0,0,100
19,13,181,7943,84,85.57457213
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,51,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,66,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
31,3,183,6036,75,87.26851852
0,0,0,0,0,100
0,0,0,0,0,100
3,0,4,106,1,100
0,0,0,0,0,100
0,0,0,0,0,100
1,1,12,608,6,97
1,0,0,0,0,100
1,0,0,0,0,100
1,0,1,11,0,100
1,0,7,94,0,100
2,0,4,171,0,99.26650367
0,0,0,0,0,100
1,0,7,156,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,1,0,67,0,99.51456311
16,2,19,521,16,96.61835749
57,0,576,19226,229,44.55205811
57,0,576,19226,229,47.35632184
23,17,444,11146,255,92.26069246
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
5,0,40,864,27,99.61685824
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,7,0,100
1,0,13,339,3,100
1,0,0,222,0,100
1,0,1,46,1,100
1,0,1,21,1,100
1,0,2,148,1,99.42196532
1,0,2,16,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
2,0,0,0,0,99.22779923
1,0,4,78,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,2,34,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,16,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
3,0,4,83,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
