NMF,NAD,CFC,NCC,NMC,a2a
0,0,0,0,0,100
1,0,2,16,0,100
1,0,4,127,2,100
1,1,11,395,2,96.52406417
10,10,265,12421,77,93.58024691
3,0,0,14,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,9,0,99.07834101
1,0,0,4,0,100
0,0,0,0,0,100
2,0,0,8,0,100
0,0,0,0,0,100
1,0,0,14,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,92.53012048
0,0,0,0,0,100
3,0,0,7,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,92.53012048
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,0,40,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
13,0,19,689,5,99.53161593
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,1,167,1,100
1,0,0,13,0,100
5,0,2,118,2,100
1,0,1,10,1,100
10,0,42,1224,4,93.92523364
1,0,0,18,0,100
0,0,0,0,0,100
1,0,0,14,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,0,0,100
0,0,0,0,0,100
1,0,1,26,0,100
0,0,0,0,0,100
0,0,0,0,0,100
4,0,0,21,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,1,0,20,0,99.543379
1,0,0,0,0,100
1,0,0,8,0,100
1,0,0,0,0,100
2,0,2,49,1,100
2,1,23,739,10,99.09706546
14,2,33,822,30,98.89135255
8,5,236,8647,50,94.7257384
2,0,6,260,1,98.6328125
2,0,1,58,1,100
1,0,0,10,0,100
1,1,29,858,12,99.62686567
1,1,36,1074,13,98.56630824
1,0,0,1,0,100
1,0,29,858,12,98.56630824
1,0,2,18,0,100
1,1,4,225,3,96.42248722
1,0,0,0,0,100
1,0,0,3,0,100
0,0,0,0,0,100
33,4,74,1958,51,92.19600726
5,0,10,273,6,98.52631579
0,0,0,0,0,100
1,0,0,27,0,100
2,0,4,64,4,100
1,1,3,542,3,99.58677686
0,0,0,0,0,100
0,0,0,0,0,100
2,0,5,304,1,100
1,0,1,1,0,100
1,0,0,9,0,100
2,2,22,989,20,98.32635983
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
36,0,10,184,8,99.13419913
1,0,10,264,1,100
0,0,0,0,0,100
4,0,12,275,1,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,1,0,100
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,88,0,100
1,0,1,17,0,100
24,1,25,911,7,94.87179487
0,0,0,0,0,100
0,0,0,0,0,100
0,0,0,0,0,100
15,0,0,94,0,94.17293233
1,0,3,85,1,100
0,0,0,0,0,100
23,0,39,561,22,100
0,0,0,0,0,100
0,0,0,0,0,100
16,0,0,57,0,100
0,0,0,0,0,100
42,42,196,8281,152,77.87307033
1,0,0,44,0,100
5,0,44,995,13,97.43589744
0,0,0,0,0,100
150,0,7527,241188,140,17.53424658
0,0,0,0,0,100
